at_vs,Opponent,League,GS,CG,SHO,GF,SV,IP,H,BFP,HR,R,ER,BB,IB,SO,SH,SF,WP,HBP,BK,2B,3B,GDP,ROE,W,L,ERA,Date,dblhead_num
AT,LA,N,0,0,0,1,0,4.1,5,23,1,5,5,5,0,3,0,0,1,0,0,0,0,0,0,0,0,10.38,6-17-1969,2
AT,HOU,N,0,0,0,1,0,1,0,4,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,8.44,6-20-1969,1
AT,CIN,N,0,0,0,0,0,2.2,2,10,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,5.62,6-23-1969,
VS,LA,N,1,0,0,0,0,2.2,6,17,1,6,6,3,1,2,0,0,3,0,0,0,0,0,0,0,1,9.28,6-28-1969,
VS,ATL,N,1,0,0,0,0,3.2,4,22,0,4,4,7,0,1,2,1,0,0,0,0,0,0,0,0,0,9.82,9- 9-1970,2
AT,ATL,N,1,1,1,0,0,9,7,34,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,2.84,9-23-1970,
VS,SF,N,1,0,0,0,0,6.1,4,29,0,4,4,4,0,7,0,0,0,1,0,1,0,0,1,0,0,5.68,4- 8-1971,
VS,CHI,N,1,0,0,0,0,3,8,16,0,4,4,0,0,2,0,0,0,0,0,1,0,0,0,0,1,7.71,4-15-1971,
VS,LA,N,1,0,0,0,0,2.1,5,14,0,5,5,2,0,0,0,0,0,0,0,0,0,0,1,0,1,10.03,4-20-1971,
VS,LA,N,0,0,0,1,0,1,4,8,0,2,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,10.66,4-21-1971,
AT,CIN,N,1,0,0,0,0,4,3,20,0,4,3,3,0,1,0,1,0,0,0,0,0,0,2,0,1,9.72,4-27-1971,
AT,PIT,N,1,0,0,0,0,6.1,8,29,0,4,3,3,0,0,0,0,0,0,0,1,0,2,1,0,1,8.22,5- 2-1971,
VS,CIN,N,1,1,1,0,0,9,7,35,0,0,0,1,0,8,0,0,0,1,0,1,0,1,0,1,0,5.91,5- 8-1971,1
AT,CHI,N,1,0,0,0,0,6,3,26,1,3,2,4,0,3,0,0,0,0,0,0,0,0,1,0,1,5.45,5-14-1971,
AT,HOU,N,1,0,0,0,0,7.1,4,26,0,2,2,2,0,5,0,0,0,0,0,2,1,0,0,0,0,4.96,5-18-1971,
AT,STL,N,1,0,0,0,0,5.1,7,27,0,5,4,3,0,2,1,0,0,1,0,2,2,0,0,0,1,5.15,5-23-1971,
VS,NY,N,1,0,0,0,0,7.1,8,33,0,4,4,3,1,5,1,0,0,0,0,2,0,0,1,0,1,5.12,5-29-1971,1
VS,PHI,N,1,1,1,0,0,9,5,37,0,0,0,5,0,7,0,0,1,0,0,0,0,0,0,1,0,4.43,6- 2-1971,
AT,NY,N,1,0,0,0,0,2.1,5,16,1,4,4,5,0,1,0,0,0,0,0,0,0,1,0,0,1,4.80,6- 8-1971,
AT,PHI,N,1,0,0,0,0,7,4,28,0,3,2,2,0,5,0,0,2,0,0,1,0,0,2,0,1,4.60,6-12-1971,
AT,SF,N,1,0,0,0,0,6.1,8,32,0,6,5,4,0,8,0,0,0,0,0,1,0,0,1,0,1,4.79,6-18-1971,1
VS,HOU,N,1,0,0,0,0,7,5,33,0,4,0,6,0,5,1,0,0,0,0,0,1,0,2,0,1,4.42,6-22-1971,
AT,LA,N,1,0,0,0,0,6,7,27,0,2,2,4,1,4,0,0,0,0,0,2,0,2,0,0,0,4.33,6-26-1971,2
VS,SF,N,1,1,0,0,0,9,5,36,1,1,1,4,1,5,0,0,0,0,0,2,0,0,0,1,0,4.04,6-30-1971,
VS,STL,N,1,0,0,0,0,8,10,33,0,3,2,2,0,8,0,0,0,0,0,2,0,1,0,0,1,3.91,7- 4-1971,
VS,CHI,N,1,1,0,0,0,9,5,35,0,2,0,4,0,7,0,0,0,0,0,0,0,2,1,1,0,3.62,7- 9-1971,2
AT,PIT,N,1,1,0,0,0,8,8,34,1,2,2,3,2,7,0,0,1,0,0,2,0,0,0,0,1,3.54,7-16-1971,
AT,ATL,N,1,0,0,0,0,3.1,7,19,2,6,6,2,0,1,2,1,0,1,0,0,0,0,0,0,0,3.86,7-21-1971,1
VS,PIT,N,1,1,1,0,0,9,3,32,0,0,0,2,0,7,0,0,0,0,1,1,0,0,0,1,0,3.61,7-25-1971,2
