at_vs,Opponent,League,GS,CG,SHO,GF,SV,IP,H,BFP,HR,R,ER,BB,IB,SO,SH,SF,WP,HBP,BK,2B,3B,GDP,ROE,W,L,ERA,Date,dblhead_num
AT,MIL,A,1,0,0,0,0,1.2,5,12,0,6,6,1,0,0,0,1,0,1,0,1,1,0,0,0,1,32.40,7-18-1982,
VS,TOR,A,1,0,0,0,0,6.2,4,26,0,3,0,2,0,0,0,0,0,0,0,2,0,0,2,0,1,6.48,7-23-1982,
AT,NY,A,0,0,0,1,1,3,2,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.76,8- 3-1982,2
AT,BOS,A,0,0,0,1,0,2.2,3,13,0,1,1,1,0,2,0,0,0,1,0,1,0,0,0,0,0,4.50,8- 8-1982,
AT,TEX,A,0,0,0,1,0,2,7,14,1,5,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,5.06,8-18-1982,
AT,KC,A,0,0,0,1,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.76,8-20-1982,
VS,BOS,A,0,0,0,0,0,6.1,6,28,0,1,1,5,1,1,0,0,0,0,0,2,0,0,0,1,0,1.42,9-10-1983,
VS,NY,A,1,0,0,0,0,0,4,5,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.68,9-18-1983,2
VS,MIL,A,0,0,0,1,0,1,0,4,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,4.91,9-21-1983,
AT,NY,A,1,0,0,0,0,4.1,8,22,0,5,5,4,1,1,0,0,0,0,0,2,0,2,0,0,1,6.94,9-25-1983,
