at_vs,Opponent,League,GS,CG,SHO,GF,SV,IP,H,BFP,HR,R,ER,BB,IB,SO,SH,SF,WP,HBP,BK,2B,3B,GDP,ROE,W,L,ERA,Date,dblhead_num
AT,DET,A,0,0,0,1,0,1.1,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.00,8-23-2018,
VS,BOS,A,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,8-30-2018,
VS,BOS,A,0,0,0,0,0,1.1,2,5,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.45,9- 1-2018,
VS,DET,A,0,0,0,0,0,1,2,4,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3.86,9- 4-2018,
AT,KC,A,0,0,0,0,0,1.2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.84,9-11-2018,
AT,BAL,A,0,0,0,0,0,0.1,2,5,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,4.05,9-16-2018,
VS,CHI,N,0,0,0,0,0,2,1,9,0,0,0,2,1,2,0,0,0,0,0,1,0,0,0,0,0,3.12,9-23-2018,
VS,CLE,A,0,0,0,0,0,1,3,9,1,5,5,3,0,0,0,0,0,0,0,1,0,0,0,0,0,7.45,9-26-2018,
AT,KC,A,0,0,0,0,0,0.2,1,4,0,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,27.00,3-28-2019,
AT,KC,A,0,0,0,0,0,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.00,3-31-2019,
AT,CLE,A,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9.00,4- 3-2019,
VS,SEA,A,0,0,0,0,0,1.1,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,5.40,4- 5-2019,
VS,SEA,A,0,0,0,0,0,1.1,1,6,1,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7.71,4- 7-2019,
VS,TB,A,0,0,0,0,0,1.2,1,7,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,5.68,4-10-2019,
AT,NY,A,0,0,0,1,0,2,3,9,1,2,2,0,0,2,1,1,0,0,0,0,0,0,0,0,0,6.48,4-13-2019,
VS,KC,A,0,0,0,0,0,1.2,1,8,0,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,5.40,4-17-2019,
AT,DET,A,0,0,0,0,0,1,1,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.73,4-19-2019,
AT,BAL,A,0,0,0,0,0,1.2,2,7,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5.68,4-22-2019,
AT,CLE,A,0,0,0,0,0,1,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.27,5- 6-2019,
AT,TOR,A,0,0,0,0,0,1,0,5,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,4.91,5-10-2019,
AT,TOR,A,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.60,5-12-2019,
VS,TOR,A,0,0,0,1,0,1,2,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4.32,5-17-2019,
AT,HOU,A,1,0,0,0,0,2,1,8,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,3.86,5-20-2019,
AT,MIN,A,0,0,0,0,0,1,2,6,0,2,2,1,0,3,0,0,0,0,0,1,0,0,0,0,0,4.58,5-24-2019,
AT,CLE,A,0,0,0,0,0,1.1,0,4,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0.00,5-31-2021,2
AT,CLE,A,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00,6- 1-2021,
AT,DET,A,0,0,0,0,0,2,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0.00,6-12-2021,
VS,TB,A,0,0,0,1,0,1,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0.00,6-16-2021,
AT,HOU,A,0,0,0,0,0,2,1,7,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0.00,6-19-2021,
AT,PIT,N,0,0,0,1,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00,6-22-2021,
AT,PIT,N,0,0,0,0,0,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,6-23-2021,
VS,SEA,A,1,0,0,0,0,2,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.00,6-27-2021,
VS,MIN,A,0,0,0,0,0,1.1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,6-29-2021,
VS,MIN,A,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,7- 1-2021,
