at_vs,Opponent,League,GS,CG,SHO,GF,SV,IP,H,BFP,HR,R,ER,BB,IB,SO,SH,SF,WP,HBP,BK,2B,3B,GDP,ROE,W,L,ERA,Date,dblhead_num
VS,PIT,N,0,0,0,1,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,10- 1-1983,
VS,ATL,N,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00,7- 6-1984,
AT,HOU,N,0,0,0,1,0,2,3,12,0,1,1,3,3,2,0,0,2,0,0,1,0,0,0,0,1,3.00,7-15-1984,
AT,ATL,N,0,0,0,0,0,1.1,3,8,1,3,2,0,0,2,0,0,0,0,0,0,1,0,1,0,0,6.23,7-20-1984,
VS,CHI,N,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.06,7-25-1984,
VS,LA,N,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.26,8-25-1984,
VS,STL,N,0,0,0,1,0,2,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3.24,9-13-1984,
VS,MON,N,0,0,0,1,0,1,2,6,0,1,1,1,1,3,0,0,1,0,0,1,0,0,0,0,0,3.86,9-16-1984,
VS,NY,N,0,0,0,1,0,1,3,6,1,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.10,9-19-1984,
AT,PIT,N,0,0,0,1,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.56,9-21-1984,
VS,PIT,N,0,0,0,1,0,1,2,6,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.84,9-29-1984,
VS,PIT,N,0,0,0,1,0,1,1,5,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,5.40,9-30-1984,2
VS,ATL,N,0,0,0,0,0,1,1,6,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0.00,4- 9-1985,
AT,HOU,N,0,0,0,0,0,1.2,2,7,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00,4-12-1985,
AT,HOU,N,0,0,0,0,0,0.1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.00,4-13-1985,
AT,CHI,N,0,0,0,0,0,0.1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.00,4-15-1985,
VS,NY,N,0,0,0,0,0,0.1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,4-19-1985,
AT,MON,N,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,4-22-1985,
AT,MON,N,0,0,0,1,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,4-24-1985,
VS,CHI,N,0,0,0,1,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00,4-26-1985,
VS,MON,N,0,0,0,0,0,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,4-29-1985,
VS,HOU,N,0,0,0,0,0,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,5- 3-1985,
VS,HOU,N,0,0,0,0,0,0.2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,5- 4-1985,
VS,CIN,N,0,0,0,0,0,0.2,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00,5- 8-1985,
AT,NY,N,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,5-11-1985,
AT,NY,N,0,0,0,1,0,1.1,1,6,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0.00,5-12-1985,
AT,CIN,N,0,0,0,1,0,1,2,5,0,1,1,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0.82,5-14-1985,
AT,ATL,N,0,0,0,0,0,0.1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79,5-15-1985,
VS,LA,N,0,0,0,1,1,3,0,8,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0.63,5-18-1985,
VS,SF,N,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.63,5-21-1985,
VS,SF,N,0,0,0,1,0,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59,5-22-1985,
VS,SD,N,0,0,0,0,0,1,0,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.55,5-25-1985,
AT,LA,N,0,0,0,1,0,2,0,7,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0.98,5-29-1985,
AT,SF,N,0,0,0,1,0,0.1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.96,5-31-1985,
AT,SF,N,0,0,0,1,0,1.1,0,5,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0.90,6- 2-1985,
AT,SD,N,0,0,0,0,0,0.1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.89,6- 4-1985,
AT,SD,N,0,0,0,1,0,1,1,4,1,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1.27,6- 5-1985,
VS,MON,N,0,0,0,0,0,0.2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.23,6- 9-1985,
VS,NY,N,0,0,0,1,0,1,3,6,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.35,6-10-1985,
VS,NY,N,0,0,0,0,0,3,2,12,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,2.08,6-12-1985,
AT,PIT,N,0,0,0,0,0,0.2,3,6,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,1,2.70,6-14-1985,
AT,PIT,N,0,0,0,0,0,1.1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.57,6-16-1985,
AT,STL,N,0,0,0,1,1,3,0,10,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,2.32,6-19-1985,
VS,PIT,N,0,0,0,0,0,1,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2.25,6-21-1985,
VS,PIT,N,0,0,0,1,0,2,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2.12,6-22-1985,
VS,PIT,N,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.06,6-23-1985,
VS,STL,N,0,0,0,0,0,2,0,6,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1.95,6-26-1985,
VS,CHI,N,0,0,0,1,0,2,2,8,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1.85,7- 1-1985,
VS,CIN,N,0,0,0,1,1,2,1,7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1.76,7- 5-1985,
VS,CIN,N,0,0,0,0,0,2,2,8,0,1,1,1,0,2,0,0,0,0,0,0,1,0,1,0,0,1.88,7- 7-1985,
AT,HOU,N,0,0,0,0,0,0.1,3,5,0,3,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2.49,7- 8-1985,
AT,HOU,N,0,0,0,0,0,2,2,9,0,1,1,1,0,2,0,0,0,0,0,1,0,0,0,0,0,2.58,7- 9-1985,
AT,ATL,N,0,0,0,0,0,0.1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.56,7-11-1985,
AT,ATL,N,0,0,0,0,0,0.1,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2.74,7-12-1985,
AT,CIN,N,0,0,0,0,0,2,2,7,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,2.62,7-19-1985,
AT,CIN,N,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.62,7-20-1985,
AT,CIN,N,0,0,0,1,0,2,2,8,1,2,2,1,0,3,0,0,0,0,0,0,0,0,0,0,1,2.88,7-21-1985,
VS,HOU,N,0,0,0,1,0,1,0,4,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,2.82,7-22-1985,
AT,PIT,N,0,0,0,0,0,2,0,7,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2.72,7-30-1985,
AT,PIT,N,0,0,0,0,0,2,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2.62,7-31-1985,
AT,STL,N,0,0,0,1,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.57,8- 2-1985,
AT,STL,N,0,0,0,0,0,1.1,1,7,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,1,0,2.67,8- 3-1985,
VS,PIT,N,0,0,0,1,1,2,0,7,0,0,0,2,0,3,0,0,0,0,0,0,0,1,0,0,0,2.58,8- 8-1985,
VS,STL,N,0,0,0,1,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.54,8-10-1985,1
AT,NY,N,0,0,0,1,1,1,0,4,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,2.49,8-14-1985,
AT,NY,N,0,0,0,1,0,1,2,7,0,3,1,1,1,1,1,0,0,0,0,1,0,0,1,0,1,2.60,8-15-1985,
VS,LA,N,0,0,0,0,0,2,1,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.52,8-20-1985,
VS,SF,N,0,0,0,1,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.48,8-25-1985,
VS,SD,N,0,0,0,1,0,2,1,8,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,2.41,8-26-1985,
