at_vs,Opponent,League,GS,CG,SHO,GF,SV,IP,H,BFP,HR,R,ER,BB,IB,SO,SH,SF,WP,HBP,BK,2B,3B,GDP,ROE,W,L,ERA,Date,dblhead_num
AT,MIN,A,1,0,0,0,0,3,8,21,0,7,5,3,0,5,0,0,1,0,0,2,0,0,1,0,1,15.00,5-12-1997,
VS,CLE,A,1,0,0,0,0,2.1,9,17,3,7,7,2,0,2,0,0,0,0,0,1,0,1,0,0,1,20.25,5-18-1997,
VS,ANA,A,0,0,0,1,0,6,11,31,1,4,4,3,0,4,0,0,1,0,0,2,0,1,0,0,0,12.71,5-23-1997,
AT,MIL,A,1,0,0,0,0,5.2,10,27,0,3,2,1,0,6,0,0,1,0,1,0,0,1,1,0,1,9.53,7-29-1997,2
AT,MIN,A,1,0,0,0,0,4.1,8,22,0,6,6,3,0,3,0,0,0,0,0,3,0,2,0,0,1,10.12,8- 4-1997,
VS,DET,A,1,0,0,0,0,6,8,27,0,3,3,1,0,3,0,1,0,0,0,0,0,0,0,0,1,8.89,8- 9-1997,
AT,CHI,A,1,0,0,0,0,6,10,29,0,4,3,4,0,0,0,1,0,0,0,2,0,2,1,1,0,8.10,8-19-1997,1
AT,KC,A,1,0,0,0,0,7,6,29,2,6,6,3,0,8,0,0,0,1,0,1,0,1,0,0,0,8.03,8-24-1997,
VS,FLA,N,1,0,0,0,0,7.1,8,33,0,4,3,3,0,1,1,0,0,0,0,1,0,1,1,0,1,7.36,8-30-1997,
VS,TEX,A,1,0,0,0,0,5,6,23,0,5,1,1,0,5,0,0,1,0,0,2,0,0,1,0,1,6.84,9- 4-1997,
VS,ANA,A,1,1,1,0,0,9,3,28,0,0,0,3,0,4,0,0,1,0,0,0,0,2,0,1,0,5.84,9- 9-1997,
AT,SEA,A,1,0,0,0,0,6,4,26,0,1,1,5,0,8,0,0,0,1,0,0,0,1,0,0,0,5.45,9-14-1997,
AT,NY,A,1,0,0,0,0,6.2,8,30,0,3,3,3,0,3,0,0,2,0,0,2,0,0,0,0,0,5.33,9-20-1997,
VS,BAL,A,1,0,0,0,0,7,9,31,1,2,2,2,0,3,0,0,0,0,0,2,0,1,0,1,0,5.09,9-25-1997,
VS,TEX,A,1,0,0,0,0,6,6,27,0,4,4,3,0,6,0,1,0,0,0,1,0,0,0,0,0,6.00,4- 5-1998,
AT,TEX,A,1,0,0,0,0,4,9,23,1,6,6,3,0,7,0,0,0,0,0,2,0,0,0,0,0,9.00,4-11-1998,
AT,KC,A,0,0,0,1,0,1.2,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7.71,4-15-1998,
VS,CHI,A,0,0,0,1,0,2,1,9,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,1,0,6.59,4-19-1998,
AT,CHI,A,0,0,0,0,0,1.2,0,6,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,5.87,4-25-1998,
VS,KC,A,0,0,0,0,0,2.1,1,10,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,5.09,4-29-1998,
AT,OAK,A,0,0,0,0,0,1.1,0,5,0,0,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,4.74,5- 1-1998,
AT,OAK,A,0,0,0,0,0,3,7,16,0,3,3,1,0,1,0,0,0,1,0,2,0,1,0,0,0,5.32,5- 4-1998,
VS,ANA,A,0,0,0,1,0,2,1,8,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,4.88,5-15-1998,
VS,SEA,A,0,0,0,1,0,4,2,15,0,0,0,2,0,6,0,0,0,0,0,1,0,0,0,0,0,4.18,5-18-1998,
AT,CLE,A,0,0,0,0,0,4.2,7,20,1,3,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,4.41,5-22-1998,
VS,CLE,A,1,0,0,0,0,6,7,29,1,5,4,3,0,3,0,0,1,0,0,4,0,0,1,0,1,4.66,5-28-1998,
VS,BOS,A,1,0,0,0,0,7.2,8,33,2,7,7,2,0,6,0,0,0,0,0,2,0,1,1,0,1,5.24,6- 2-1998,
VS,PHI,N,1,0,0,0,0,7.2,8,30,0,1,1,0,0,4,0,0,0,0,0,2,0,1,0,1,0,4.67,6- 7-1998,
VS,BAL,A,1,0,0,0,0,0.2,2,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.77,6-13-1998,
AT,BAL,A,1,0,0,0,0,7,9,30,0,6,6,1,0,4,0,0,0,0,0,4,0,1,0,1,0,5.11,6-18-1998,
VS,MON,N,1,0,0,0,0,8,8,29,0,1,1,0,0,5,0,0,0,0,0,1,0,2,0,1,0,4.65,6-23-1998,
AT,ATL,N,1,0,0,0,0,2.1,8,18,0,7,6,2,0,3,0,0,0,1,0,1,0,0,1,0,1,5.25,6-28-1998,
VS,TB,A,1,1,1,0,0,9,4,32,0,0,0,2,0,3,0,0,0,0,0,2,0,1,0,1,0,4.67,7- 4-1998,
AT,DET,A,1,0,0,0,0,5,7,22,2,5,5,2,0,4,0,0,0,0,0,3,0,0,0,0,1,4.92,7-11-1998,
AT,CHI,A,1,0,0,0,0,8,4,29,0,2,2,1,0,10,0,0,0,1,0,1,0,0,0,1,0,4.69,7-16-1998,
AT,BOS,A,1,0,0,0,0,7.1,7,31,0,4,4,2,0,6,0,0,0,0,0,1,0,0,0,0,0,4.71,7-23-1998,
VS,TEX,A,1,0,0,0,0,3,4,17,0,4,4,5,0,2,0,1,1,0,0,1,1,0,0,0,1,4.92,7-29-1998,
AT,TEX,A,1,0,0,0,0,4.2,8,28,0,10,3,7,0,5,1,1,0,0,0,4,0,2,1,0,1,4.95,8- 4-1998,
VS,SEA,A,1,0,0,0,0,7,6,29,2,3,3,2,0,6,0,0,0,1,0,0,0,0,0,1,0,4.89,8-11-1998,
VS,ANA,A,1,0,0,0,0,8.2,10,35,2,4,4,1,0,7,0,0,0,1,0,1,0,3,0,1,0,4.84,8-16-1998,
AT,ANA,A,1,0,0,0,0,7,5,28,1,3,3,4,0,3,0,0,0,0,0,0,0,3,1,1,0,4.78,8-21-1998,
VS,KC,A,1,0,0,0,0,8,11,34,1,5,5,0,0,6,0,0,1,0,0,2,0,0,0,0,1,4.83,8-26-1998,
AT,KC,A,1,0,0,0,0,7,4,27,0,1,1,3,0,6,0,1,0,0,0,2,1,0,0,1,0,4.66,9- 1-1998,
