at_vs,Opponent,League,GS,CG,SHO,GF,SV,IP,H,BFP,HR,R,ER,BB,IB,SO,SH,SF,WP,HBP,BK,2B,3B,GDP,ROE,W,L,ERA,Date,dblhead_num
VS,TB,A,1,0,0,0,0,7.1,6,28,0,2,1,2,0,3,0,0,1,1,0,0,0,3,1,1,0,1.23,4-27-2014,
AT,CLE,A,1,0,0,0,0,6,5,25,0,2,0,1,0,0,1,1,0,1,0,1,0,1,1,0,1,0.68,5- 3-2014,
VS,CHI,N,1,0,0,0,0,4,11,27,2,6,6,2,0,2,0,0,0,2,0,0,2,1,1,0,1,3.63,5- 8-2014,
AT,OAK,A,1,0,0,0,0,5,11,26,1,6,6,1,0,2,0,0,1,0,0,4,0,1,0,0,1,5.24,5-13-2014,
AT,KC,A,1,0,0,0,0,4,8,24,0,6,5,3,0,2,0,0,0,1,0,1,0,0,1,0,0,6.15,5-19-2014,
VS,NY,A,0,0,0,1,0,2,1,8,1,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,6.04,5-25-2014,
VS,CLE,A,0,0,0,0,0,3,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,5.46,5-27-2014,
VS,SD,N,0,0,0,0,0,3.2,1,12,0,1,1,3,0,2,1,1,0,0,0,1,0,0,0,0,0,5.14,5-31-2014,
AT,ANA,A,0,0,0,1,0,4.1,2,15,1,1,1,0,0,3,0,0,0,1,0,0,0,1,0,0,0,4.81,6- 6-2014,
VS,KC,A,0,0,0,1,0,3,4,16,0,1,1,3,0,2,0,0,0,0,0,1,0,0,0,0,0,4.68,6-13-2014,
AT,MIN,A,0,0,0,1,0,3.2,2,13,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,4.30,6-21-2014,
AT,TOR,A,1,0,0,0,0,5,7,25,0,5,3,2,0,4,0,0,0,0,0,1,1,0,2,0,1,4.41,6-26-2014,
VS,ANA,A,1,0,0,0,0,6,10,29,1,7,7,3,0,2,0,0,1,1,0,0,0,3,0,0,1,5.05,7- 1-2014,2
AT,BOS,A,1,0,0,0,0,6.2,1,23,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,1,0,4.52,7- 7-2014,
AT,CLE,A,1,0,0,0,0,5,2,19,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,1,0,4.19,7-12-2014,
VS,KC,A,1,0,0,0,0,5,11,27,1,5,5,2,0,3,0,0,0,0,0,4,0,1,1,0,1,4.52,7-22-2014,
AT,MIN,A,1,0,0,0,0,6,4,23,0,1,1,1,0,4,0,0,0,0,0,1,1,0,0,0,0,4.29,7-27-2014,
VS,MIN,A,1,0,0,0,0,7,7,28,0,4,4,2,0,4,0,0,1,0,0,2,0,3,1,0,0,4.36,8- 2-2014,
AT,SEA,A,1,0,0,0,0,5,7,25,3,7,7,3,1,3,0,0,0,1,1,0,0,1,0,0,1,4.81,8- 7-2014,
VS,TOR,A,1,0,0,0,0,5.2,8,26,1,5,5,3,0,2,1,0,0,0,0,2,0,3,1,1,0,4.99,8-17-2014,
AT,NY,A,1,0,0,0,0,6,7,27,1,5,4,3,0,0,0,1,0,0,0,3,0,1,1,0,1,5.05,8-23-2014,
VS,DET,A,1,0,0,0,0,5,10,27,0,7,3,0,0,2,0,1,0,0,0,4,0,0,2,0,1,5.07,8-29-2014,
AT,CLE,A,1,0,0,0,0,7,7,27,0,2,2,1,0,1,0,0,0,0,0,0,1,1,0,0,1,4.92,9- 7-2014,
VS,MIN,A,1,0,0,0,0,5,4,21,1,4,4,2,0,2,0,0,0,1,0,1,0,0,0,0,0,5.01,9-13-2014,2
AT,DET,A,1,0,0,0,0,6,5,25,0,2,1,2,0,4,0,0,0,0,0,1,0,0,0,0,0,4.84,9-23-2014,
VS,KC,A,0,0,0,1,0,3,1,14,0,1,1,2,0,5,0,0,1,2,0,0,0,0,0,0,0,4.80,9-28-2014,
AT,BAL,A,0,0,0,0,0,2,1,7,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.00,4-29-2015,
AT,MIN,A,0,0,0,0,0,3,0,9,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.00,4-30-2015,
