at_vs,Opponent,League,GS,CG,SHO,GF,SV,IP,H,BFP,HR,R,ER,BB,IB,SO,SH,SF,WP,HBP,BK,2B,3B,GDP,ROE,W,L,ERA,Date,dblhead_num
AT,FLA,N,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,4- 2-1996,
AT,FLA,N,0,0,0,0,0,1,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.00,4- 4-1996,
AT,NY,N,0,0,0,0,0,1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,4- 6-1996,
VS,PHI,N,0,0,0,0,0,0.2,1,3,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2.45,4-10-1996,
VS,MON,N,0,0,0,1,0,1,2,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.86,4-11-1996,
AT,STL,N,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.18,4-15-1996,
AT,STL,N,0,0,0,1,0,0.2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.84,4-17-1996,
AT,MON,N,0,0,0,1,0,3,1,11,1,2,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,3.86,4-20-1996,
AT,PHI,N,0,0,0,1,0,2,2,10,0,1,1,2,1,2,0,0,0,0,1,1,0,0,0,0,0,3.97,4-23-1996,
VS,FLA,N,0,0,0,1,0,2.2,2,11,0,0,0,1,0,5,0,0,0,0,0,1,0,0,0,0,0,3.21,4-25-1996,
AT,CIN,N,0,0,0,1,1,1.1,1,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2.93,4-30-1996,
VS,LA,N,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.76,5- 5-1996,
VS,SD,N,0,0,0,1,1,1,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2.60,5- 8-1996,2
