at_vs,Opponent,League,GS,CG,SHO,GF,SV,IP,H,BFP,HR,R,ER,BB,IB,SO,SH,SF,WP,HBP,BK,2B,3B,GDP,ROE,W,L,ERA,Date,dblhead_num
AT,TOR,A,1,0,0,0,0,5.2,2,21,0,0,0,4,0,5,0,0,0,0,1,0,0,0,0,1,0,0.00,6-28-1996,
AT,DET,A,1,0,0,0,0,3.2,6,19,0,5,5,3,0,4,0,1,0,0,0,4,1,0,0,0,1,4.82,7- 3-1996,
VS,TOR,A,1,0,0,0,0,5.2,5,22,1,4,4,0,0,5,0,0,0,0,0,1,0,0,0,0,1,5.40,7-11-1996,
VS,DET,A,1,0,0,0,0,5,4,20,2,2,2,1,0,5,0,0,0,0,0,0,0,0,0,1,0,4.95,7-16-1996,
VS,NY,A,1,0,0,0,0,6,4,25,1,2,2,2,0,2,0,0,0,0,0,1,0,0,1,1,0,4.50,7-21-1996,
AT,CAL,A,1,0,0,0,0,6,5,25,1,4,4,4,0,2,1,1,0,0,0,1,0,0,0,0,1,4.78,7-26-1996,
VS,SEA,A,1,0,0,0,0,5,5,21,3,4,4,1,0,4,0,0,0,0,0,0,0,0,0,0,1,5.11,7-31-1996,
VS,BAL,A,1,0,0,0,0,5,4,22,2,4,4,3,0,6,0,0,0,0,0,1,0,0,0,0,1,5.36,8- 8-1996,
AT,BAL,A,1,0,0,0,0,3,6,18,2,5,5,3,0,1,0,0,0,0,0,1,0,0,0,0,0,6.00,8-14-1996,
AT,MIN,A,1,0,0,0,0,7,4,26,0,1,1,1,0,3,0,0,0,0,0,1,0,0,0,1,0,5.37,8-19-1996,
AT,CLE,A,1,0,0,0,0,5.2,6,24,0,3,3,2,0,4,0,0,1,0,0,4,0,1,0,0,0,5.31,8-25-1996,
VS,MIN,A,1,0,0,0,0,6,7,25,0,1,1,2,0,3,0,0,0,0,0,1,0,1,0,0,0,4.95,8-30-1996,
VS,CLE,A,1,0,0,0,0,2.1,7,15,1,4,4,1,0,0,1,0,0,0,0,2,0,0,0,0,1,5.32,9- 4-1996,
VS,TEX,A,1,0,0,0,0,2,1,8,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5.16,9- 8-1996,
AT,TEX,A,1,0,0,0,0,6,7,24,1,3,3,0,0,3,0,0,0,0,0,1,0,0,0,1,0,5.11,9-13-1996,
VS,DET,A,1,0,0,0,0,6,8,27,5,6,6,2,0,4,0,0,0,0,0,1,0,0,0,1,0,5.40,9-21-1996,
AT,DET,A,1,0,0,0,0,6,7,25,2,5,4,1,0,1,1,1,0,0,0,2,0,0,0,0,0,5.44,9-29-1996,
VS,NY,A,1,0,0,0,0,4,4,23,1,4,0,5,0,5,0,0,0,1,0,0,0,0,1,0,0,0.00,4-16-1997,
AT,NY,A,1,0,0,0,0,4.1,9,26,0,8,5,3,0,1,0,1,0,0,0,3,0,0,2,0,1,5.40,4-22-1997,
VS,CLE,A,1,0,0,0,0,6,6,27,1,4,4,5,0,2,0,0,0,1,0,1,0,0,0,0,0,5.65,4-27-1997,
AT,SEA,A,1,0,0,0,0,5,6,25,2,5,5,3,0,4,1,0,1,1,0,1,0,0,0,0,1,6.52,5- 2-1997,
VS,OAK,A,1,0,0,0,0,6,2,24,0,0,0,4,0,7,0,0,0,1,0,0,0,1,0,0,0,4.97,5- 7-1997,
VS,SEA,A,1,0,0,0,0,7,7,29,3,5,5,2,1,4,0,0,0,0,0,3,0,1,0,1,0,5.29,5-12-1997,
AT,CHI,A,1,0,0,0,0,5.1,5,24,1,4,4,3,0,2,0,1,0,0,0,0,1,0,0,0,0,5.50,5-24-1997,
AT,MIN,A,1,0,0,0,0,6,5,25,0,3,3,2,0,4,0,1,0,0,0,1,1,0,0,1,0,5.36,5-29-1997,
VS,BOS,A,1,0,0,0,0,6,9,27,0,4,4,0,0,3,0,0,0,0,0,3,0,0,0,0,0,5.44,6- 3-1997,
AT,NY,A,1,0,0,0,0,7,6,28,1,2,2,1,0,6,0,0,0,0,0,0,0,0,0,0,1,5.08,6- 8-1997,
AT,CHI,N,1,0,0,0,0,8,5,28,0,2,2,1,0,5,1,0,1,0,0,1,1,2,0,1,0,4.73,6-13-1997,
VS,STL,N,1,0,0,0,0,6.2,5,30,0,4,3,3,0,3,0,0,1,1,0,1,0,0,2,1,0,4.67,6-18-1997,
VS,BAL,A,1,1,1,0,0,9,4,31,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,1,0,4.15,6-23-1997,
AT,KC,A,1,0,0,0,0,7,9,32,1,3,2,1,0,3,0,1,0,1,0,0,0,1,1,1,0,4.02,6-28-1997,
VS,MIN,A,1,0,0,0,0,5,9,24,2,7,6,1,0,6,0,0,0,0,0,3,0,0,0,0,1,4.39,7- 3-1997,
