at_vs,Opponent,League,GS,CG,SHO,GF,SV,IP,H,BFP,HR,R,ER,BB,IB,SO,SH,SF,WP,HBP,BK,2B,3B,GDP,ROE,W,L,ERA,Date,dblhead_num
AT,BAL,A,0,0,0,1,0,1,0,5,0,0,0,2,2,0,0,1,0,0,0,0,0,1,1,0,0,0.00,7-24-1987,
AT,NY,A,0,0,0,0,0,0.1,0,3,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,13.50,7-29-1987,
VS,BOS,A,0,0,0,1,0,2.1,1,10,0,0,0,2,0,3,0,0,0,0,0,1,0,0,0,0,0,4.91,7-31-1987,
AT,DET,A,0,0,0,0,0,1.1,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.60,8- 3-1987,
AT,BOS,A,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3.60,8- 7-1987,
AT,BOS,A,0,0,0,1,0,6.2,4,23,0,0,0,0,0,4,0,0,0,1,0,1,0,2,0,1,0,1.54,8- 9-1987,
VS,DET,A,0,0,0,0,0,3,2,13,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1.23,8-13-1987,
VS,DET,A,0,0,0,0,0,0.2,0,4,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,1.17,8-14-1987,
VS,DET,A,0,0,0,0,0,0.2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12,8-16-1987,
AT,TEX,A,0,0,0,1,0,1.1,0,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1.04,8-17-1987,
AT,TEX,A,0,0,0,1,1,1.1,0,4,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0.96,8-19-1987,
AT,MIL,A,0,0,0,0,0,0.1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,8-22-1987,
VS,TEX,A,0,0,0,0,0,1.1,2,6,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1.33,8-25-1987,
VS,TEX,A,0,0,0,1,0,1.1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.25,8-27-1987,
AT,CHI,A,0,0,0,0,0,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66,8-29-1987,
AT,CHI,A,0,0,0,0,0,1.2,2,8,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1.93,8-30-1987,
VS,MIL,A,0,0,0,0,0,1.2,1,8,0,1,1,2,0,0,0,0,1,0,0,1,0,0,0,0,0,2.16,9- 3-1987,
VS,CHI,A,0,0,0,1,0,3.1,1,12,0,1,1,1,0,3,0,0,0,0,0,0,0,0,0,0,1,2.22,9- 6-1987,
AT,CAL,A,0,0,0,1,1,2.1,0,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2.05,9- 8-1987,
AT,OAK,A,0,0,0,0,0,1.1,2,6,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2.25,9-10-1987,
AT,OAK,A,0,0,0,0,0,1.1,0,7,0,1,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,2.16,9-12-1987,
VS,CAL,A,0,0,0,1,0,0.1,2,3,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.41,9-16-1987,
VS,CAL,A,0,0,0,1,0,3,2,9,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,2.21,9-17-1987,
VS,OAK,A,0,0,0,1,0,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.09,9-20-1987,
AT,SEA,A,0,0,0,0,0,0.2,2,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2.06,9-22-1987,
AT,MIN,A,0,0,0,0,0,2,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1.96,9-26-1987,
AT,MIN,A,0,0,0,0,0,2.1,2,11,0,2,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,2.27,9-27-1987,
VS,CAL,A,0,0,0,0,0,2,2,10,0,1,1,2,1,2,0,0,1,0,0,1,0,0,0,0,0,4.50,4- 6-1988,
VS,SEA,A,0,0,0,1,0,2,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,2.25,4- 8-1988,
AT,CAL,A,0,0,0,1,0,1,1,5,1,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5.40,4-12-1988,
AT,OAK,A,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4.50,4-15-1988,
AT,OAK,A,0,0,0,0,0,1.2,2,8,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4.70,4-17-1988,
AT,SEA,A,0,0,0,0,0,3,1,11,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,3.38,4-19-1988,
VS,OAK,A,0,0,0,0,0,2.2,1,10,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,2.70,4-21-1988,
VS,OAK,A,0,0,0,1,0,1,0,6,0,1,0,3,2,0,1,0,0,0,0,0,0,1,1,0,1,2.51,4-23-1988,
VS,BAL,A,0,0,0,0,0,1,0,7,0,2,0,1,0,0,0,1,0,1,0,0,0,0,2,0,0,2.35,4-29-1988,
VS,BAL,A,0,0,0,1,1,1.1,1,6,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2.16,5- 1-1988,
VS,NY,A,0,0,0,0,0,3,2,13,0,0,0,4,1,2,0,0,0,0,0,0,0,1,0,0,0,1.83,5- 2-1988,
AT,BAL,A,0,0,0,0,0,0.1,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1.80,5- 7-1988,
AT,BAL,A,0,0,0,0,0,1.2,2,9,0,2,2,2,1,3,0,1,1,0,0,1,0,0,0,0,0,2.49,5- 8-1988,
AT,NY,A,0,0,0,0,0,1,3,5,0,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2.78,5-11-1988,
VS,TOR,A,0,0,0,0,0,1.1,2,7,0,2,2,2,0,2,0,0,0,0,0,0,0,1,0,0,0,3.38,5-15-1988,
VS,DET,A,0,0,0,0,0,3,8,22,0,7,4,3,0,4,0,0,0,0,1,1,0,0,2,0,0,4.33,5-20-1988,
VS,CLE,A,1,0,0,0,0,6,8,27,0,5,5,4,0,4,0,0,0,0,1,2,0,1,0,0,1,4.91,5-25-1988,
AT,DET,A,0,0,0,0,0,2,4,12,0,2,2,2,1,0,0,0,1,0,0,1,0,0,0,0,0,5.14,6- 1-1988,
VS,TEX,A,0,0,0,1,0,1.1,3,8,0,3,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,5.70,6- 2-1988,
VS,TEX,A,0,0,0,0,0,1.1,3,12,0,3,1,2,1,0,0,0,0,0,0,1,0,0,3,0,0,5.73,6- 3-1988,
VS,BOS,A,0,0,0,0,0,2,2,8,0,2,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,5.45,7- 8-1988,1
VS,BOS,A,0,0,0,0,0,3,2,11,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5.27,7- 9-1988,2
AT,NY,A,0,0,0,0,0,4,4,17,0,1,1,0,0,2,0,1,0,0,0,0,0,0,1,0,0,5.01,7-15-1988,
AT,NY,A,0,0,0,0,0,1.1,3,8,0,2,2,2,1,1,0,1,0,0,0,1,0,0,0,0,0,5.25,7-17-1988,
AT,BAL,A,0,0,0,1,0,1.1,1,8,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,5.11,7-19-1988,1
AT,BOS,A,0,0,0,1,0,0.2,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.04,7-21-1988,
AT,BOS,A,0,0,0,1,0,2,1,8,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,5.02,7-22-1988,
VS,SEA,A,0,0,0,0,0,1.2,2,8,1,3,3,1,0,3,0,0,0,0,1,1,0,0,0,0,0,5.37,7-25-1988,
VS,CAL,A,0,0,0,0,0,0.1,3,4,1,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.67,7-28-1988,
VS,CAL,A,0,0,0,0,0,0.2,5,7,0,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6.09,7-30-1988,
AT,DET,A,0,0,0,1,0,1.2,0,6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5.91,8-21-1988,
VS,DET,A,0,0,0,0,0,3.1,4,16,0,5,5,3,0,0,1,0,0,0,0,2,1,0,0,0,1,6.34,8-31-1988,
AT,MIN,A,0,0,0,1,0,2,3,13,0,3,3,2,0,1,0,0,0,1,0,2,0,0,1,0,0,6.57,9-15-1988,
VS,KC,A,0,0,0,0,0,2,2,11,1,2,2,3,0,4,0,0,0,0,0,1,0,0,0,0,0,6.64,9-25-1988,
AT,NY,A,0,0,0,1,1,4,3,15,1,2,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4.50,6-20-1989,
AT,MIL,A,0,0,0,1,0,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.60,6-25-1989,
VS,TEX,A,0,0,0,0,0,1,1,5,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3.00,6-27-1989,
AT,KC,A,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.50,7- 8-1989,
AT,STL,N,0,0,0,1,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00,7-19-1990,
VS,CIN,N,0,0,0,1,0,1.1,1,7,0,2,2,2,0,1,0,0,0,0,0,1,0,0,0,0,0,7.71,7-23-1990,
VS,CIN,N,0,0,0,0,0,3,2,10,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,3.38,8- 1-1990,
AT,CIN,N,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.84,8- 5-1990,
AT,ATL,N,0,0,0,1,0,2,3,10,1,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4.32,8- 8-1990,
VS,MON,N,0,0,0,1,0,1,3,7,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5.79,8-15-1990,
