at_vs,Opponent,League,GS,CG,SHO,GF,SV,IP,H,BFP,HR,R,ER,BB,IB,SO,SH,SF,WP,HBP,BK,2B,3B,GDP,ROE,W,L,ERA,Date,dblhead_num
VS,PIT,N,0,0,0,0,0,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,9- 2-1983,
VS,PIT,N,0,0,0,0,0,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,9- 3-1983,
AT,SF,N,0,0,0,0,0,0,3,3,0,2,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,13.50,9- 8-1983,
VS,LA,N,0,0,0,0,0,2,2,9,1,2,2,0,0,2,1,0,0,0,0,0,0,0,1,0,0,10.80,9-23-1983,
AT,SD,N,0,0,0,0,0,0.2,3,5,0,2,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,13.50,10- 1-1983,
VS,PHI,N,0,0,0,1,0,1,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,4- 3-1984,
VS,MON,N,0,0,0,1,0,2,2,8,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0.00,4- 6-1984,
VS,NY,N,0,0,0,0,0,3,4,16,0,0,0,1,0,4,0,0,0,1,0,0,0,0,1,0,0,0.00,4-11-1984,
AT,SD,N,0,0,0,1,1,3.2,1,12,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0.00,4-14-1984,
AT,CIN,N,0,0,0,0,0,2,0,8,0,0,0,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0.00,4-18-1984,
VS,HOU,N,0,0,0,0,0,2.1,3,10,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.00,4-20-1984,
VS,CIN,N,0,0,0,0,0,0.1,2,4,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.00,4-24-1984,
VS,CIN,N,0,0,0,1,0,1,2,6,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0.00,4-25-1984,
AT,HOU,N,0,0,0,0,0,1.1,4,8,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.08,4-29-1984,
VS,SD,N,0,0,0,0,0,3,4,12,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0.92,5- 1-1984,
VS,SD,N,0,0,0,0,0,2,3,10,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.83,5- 3-1984,
AT,MON,N,0,0,0,0,0,2,3,11,1,2,2,1,0,2,0,0,0,0,0,0,0,0,1,1,0,1.52,5- 6-1984,2
AT,NY,N,0,0,0,0,0,1.2,2,8,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1.42,5- 9-1984,
AT,NY,N,0,0,0,0,0,2,0,8,0,2,1,1,0,0,0,0,0,0,0,0,0,1,2,0,0,1.65,5-10-1984,
VS,PIT,N,0,0,0,1,1,0.1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.63,5-12-1984,
VS,PIT,N,0,0,0,1,0,1,3,6,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.20,5-13-1984,
AT,STL,N,0,0,0,1,0,1,4,10,1,6,6,3,3,0,0,0,1,0,0,0,0,0,0,0,0,3.94,5-15-1984,
AT,PIT,N,0,0,0,0,0,1.2,3,9,0,3,3,1,0,1,0,0,0,0,0,0,0,1,1,0,0,4.60,5-18-1984,
AT,CHI,N,0,0,0,0,0,0,1,2,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4.88,5-23-1984,
