at_vs,Opponent,League,GS,CG,SHO,GF,SV,IP,H,BFP,HR,R,ER,BB,IB,SO,SH,SF,WP,HBP,BK,2B,3B,GDP,ROE,W,L,ERA,Date,dblhead_num
AT,HOU,N,0,0,0,0,0,1,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.00,5-24-2011,
VS,FLA,N,0,0,0,1,0,2,2,8,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,3.00,5-27-2011,
VS,COL,N,0,0,0,1,0,2,1,7,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1.80,5-31-2011,
AT,PHI,N,1,0,0,0,0,5,4,23,0,1,1,5,0,4,0,0,0,0,0,0,0,0,0,1,0,1.80,6- 7-2011,
AT,COL,N,1,0,0,0,0,5,3,21,1,3,3,3,1,6,0,0,1,0,0,1,0,1,1,1,0,3.00,6-12-2011,
VS,HOU,N,1,0,0,0,0,4.2,6,22,0,5,5,3,0,6,0,0,0,0,0,1,0,1,0,0,1,4.58,6-18-2011,
VS,ANA,A,1,0,0,0,0,6,9,25,2,5,5,4,0,6,1,0,0,0,0,1,0,0,0,0,1,5.26,6-24-2011,
AT,MIN,A,1,0,0,0,0,7,6,29,0,1,1,2,1,4,0,0,0,0,0,1,1,0,0,0,1,4.41,6-29-2011,
VS,NY,N,1,0,0,0,0,7,5,27,0,3,3,1,0,5,1,0,0,0,0,3,0,0,0,0,1,4.31,7- 4-2011,
VS,SD,N,1,0,0,0,0,6,1,23,0,0,0,4,1,8,0,0,1,0,0,0,0,0,0,0,0,3.74,7- 9-2011,
AT,SF,N,1,0,0,0,0,5,9,23,1,3,2,0,0,5,0,0,0,0,0,2,0,1,0,0,0,3.73,7-19-2011,
VS,COL,N,1,0,0,0,0,6,3,24,0,1,1,4,0,5,0,0,0,0,0,0,0,1,0,1,0,3.49,7-25-2011,
VS,ARI,N,1,0,0,0,0,4,5,19,2,3,3,4,0,6,0,0,1,0,0,1,0,0,0,0,1,3.71,7-31-2011,
