at_vs,Opponent,League,GS,CG,SHO,GF,SV,IP,H,BFP,HR,R,ER,BB,IB,SO,SH,SF,WP,HBP,BK,2B,3B,GDP,ROE,W,L,ERA,Date,dblhead_num
VS,SF,N,1,0,0,0,0,8,4,32,0,2,2,4,0,9,0,0,0,0,1,2,2,0,0,1,0,2.25,7-23-1983,
VS,SD,N,1,1,0,0,0,9,4,32,0,1,1,2,0,7,0,0,0,0,0,1,0,1,0,1,0,1.59,7-27-1983,
AT,NY,N,1,0,0,0,0,9,1,30,0,0,0,3,0,11,0,0,0,0,0,0,0,1,1,0,0,1.04,7-31-1983,2
VS,MON,N,1,0,0,0,0,6,9,30,0,5,4,4,0,8,1,0,2,0,0,1,0,0,0,0,1,1.97,8- 5-1983,
AT,PHI,N,1,0,0,0,0,7,4,25,1,3,3,3,0,8,1,0,0,1,0,0,1,0,0,0,1,2.31,8-10-1983,
VS,NY,N,1,0,0,0,0,8.1,4,33,1,2,2,4,0,6,0,0,0,0,0,1,1,0,0,1,0,2.28,8-15-1983,
VS,CIN,N,1,1,1,0,0,9,2,30,0,0,0,3,0,13,0,0,0,0,0,1,0,2,0,1,0,1.92,8-20-1983,
VS,HOU,N,1,0,0,0,0,8.2,8,37,1,3,3,3,0,11,0,1,1,0,1,0,0,0,0,1,0,2.08,8-25-1983,
AT,CIN,N,1,0,0,0,0,6,2,22,0,1,1,1,0,7,0,0,1,0,0,0,0,0,1,1,0,2.03,8-30-1983,
AT,ATL,N,1,0,0,0,0,5,4,21,2,4,4,2,0,5,1,0,0,0,0,0,0,0,0,0,0,2.37,9- 4-1983,
VS,PHI,N,1,0,0,0,0,6,5,27,0,3,3,4,0,6,0,0,1,0,0,0,0,0,1,0,0,2.52,9-11-1983,
VS,MON,N,1,1,1,0,0,9,9,39,0,0,0,5,1,8,1,0,0,0,0,2,0,0,0,1,0,2.27,9-16-1983,
AT,CHI,N,1,0,0,0,0,5,6,26,0,5,4,4,0,7,0,1,0,0,0,3,0,1,2,0,0,2.53,9-21-1983,
VS,NY,N,1,0,0,0,0,6,6,26,0,4,4,2,1,4,0,1,0,0,0,1,0,0,0,0,1,2.74,9-27-1983,
AT,PHI,N,1,0,0,0,0,6,7,28,0,3,3,3,0,8,0,0,0,0,0,1,2,0,0,0,0,2.83,10- 1-1983,
AT,SD,N,1,0,0,0,0,3.1,4,19,1,6,4,5,0,1,0,0,1,0,0,0,0,0,1,0,0,10.80,4- 5-1984,
AT,STL,N,0,0,0,0,0,2,1,8,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,6.75,4-14-1984,
AT,CHI,N,0,0,0,0,0,2.1,4,11,1,2,2,0,0,3,0,0,0,0,0,0,0,0,0,1,0,7.04,4-21-1984,
VS,STL,N,1,0,0,0,0,5,8,26,0,6,5,4,0,4,1,0,0,0,0,1,0,0,0,0,1,7.82,5- 1-1984,
VS,HOU,N,1,0,0,0,0,8,3,30,1,2,2,3,0,4,1,0,0,0,1,0,0,0,1,1,0,5.66,5-14-1984,
