at_vs,Opponent,League,GS,CG,SHO,GF,SV,IP,H,BFP,HR,R,ER,BB,IB,SO,SH,SF,WP,HBP,BK,2B,3B,GDP,ROE,W,L,ERA,Date,dblhead_num
VS,TOR,A,0,0,0,1,0,1,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.00,9-19-2002,
VS,BOS,A,0,0,0,0,0,1,1,4,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.50,9-22-2002,
AT,TOR,A,0,0,0,1,0,2,1,8,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2.25,9-26-2002,
VS,NY,A,0,0,0,0,0,2,4,10,0,1,1,1,0,1,0,0,0,0,0,2,0,1,0,0,0,3.00,9-28-2002,
VS,KC,A,1,0,0,0,0,6.1,3,24,1,2,2,2,0,5,0,0,0,0,0,0,0,0,1,0,1,2.84,5- 4-2003,
AT,NY,A,0,0,0,1,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.45,7-23-2003,
AT,TOR,A,0,0,0,0,0,2,2,9,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1.93,7-26-2003,
AT,MIN,A,0,0,0,0,0,1.1,0,5,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1.69,7-31-2003,
VS,BOS,A,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.54,8- 2-2003,
VS,MIN,A,0,0,0,1,0,2.1,0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1.29,8- 4-2003,
AT,BOS,A,1,0,0,0,0,6,4,26,0,1,1,3,0,2,0,1,0,2,0,1,0,0,0,1,0,1.35,8- 8-2003,2
AT,TB,A,0,0,0,0,0,2,3,9,1,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2.05,8-11-2003,
VS,NY,A,0,0,0,0,0,1,1,5,0,3,3,1,0,1,0,0,0,1,0,1,0,1,0,0,1,3.13,8-14-2003,
VS,TB,A,1,0,0,0,0,7,9,32,0,3,3,3,0,3,1,0,0,0,0,1,0,0,0,0,1,3.30,8-19-2003,
AT,NY,A,1,0,0,0,0,2.1,6,15,1,7,6,1,0,2,0,0,0,1,0,2,0,0,0,0,1,4.73,8-24-2003,
AT,SEA,A,1,0,0,0,0,8,2,29,0,2,2,2,0,3,0,0,0,0,0,1,0,0,1,0,0,4.24,8-29-2003,
VS,SEA,A,1,0,0,0,0,8,6,30,0,1,1,0,0,6,1,0,0,0,0,1,1,0,2,1,0,3.72,9- 6-2003,
AT,TOR,A,1,1,0,0,0,8,8,33,1,4,4,2,0,3,0,0,0,1,0,2,1,2,0,0,1,3.83,9-12-2003,
VS,NY,A,1,0,0,0,0,6.2,9,27,1,3,3,1,0,2,0,0,0,0,0,2,0,2,0,1,0,3.86,9-17-2003,
AT,BOS,A,1,0,0,0,0,5,2,23,0,2,1,5,2,5,0,1,0,0,0,2,0,1,2,0,0,3.71,9-23-2003,
AT,NY,A,1,0,0,0,0,5.2,5,25,1,3,3,3,0,3,0,0,0,0,1,0,0,0,0,0,1,3.79,9-28-2003,
VS,BOS,A,1,0,0,0,0,5.1,4,26,1,3,3,6,0,2,0,0,1,0,0,0,0,1,1,0,1,5.06,4- 6-2004,
AT,TB,A,1,0,0,0,0,6,7,27,3,5,4,2,0,2,0,0,0,0,0,1,0,0,1,0,1,5.56,4-11-2004,
AT,TOR,A,1,0,0,0,0,7,3,25,0,0,0,1,0,5,0,0,0,0,1,1,0,1,1,1,0,3.44,4-18-2004,
VS,TOR,A,1,0,0,0,0,7,5,27,0,2,2,2,0,3,1,0,0,0,0,1,0,0,0,1,0,3.20,4-23-2004,
VS,SEA,A,1,0,0,0,0,7,3,26,0,2,2,3,0,2,0,0,0,0,0,1,0,1,0,1,0,3.06,4-29-2004,
VS,CHI,A,1,0,0,0,0,4,4,22,2,3,3,7,0,4,0,0,2,1,0,0,0,2,0,0,0,3.47,5- 4-2004,
VS,CLE,A,1,0,0,0,0,5,6,23,1,6,5,3,0,8,0,0,0,0,0,1,0,1,0,0,0,4.14,5- 9-2004,
VS,ANA,A,1,0,0,0,0,3.2,10,22,2,7,7,1,0,2,0,0,0,1,0,2,0,0,0,0,1,5.20,5-15-2004,
AT,ANA,A,1,0,0,0,0,7,6,28,0,1,1,1,0,6,0,0,0,0,0,2,0,0,0,0,0,4.67,5-21-2004,
