at_vs,Opponent,League,GS,CG,SHO,GF,SV,IP,H,BFP,HR,R,ER,BB,IB,SO,SH,SF,WP,HBP,BK,2B,3B,GDP,ROE,W,L,ERA,Date,dblhead_num
AT,SEA,A,1,0,0,0,0,6.1,5,25,0,3,3,1,0,4,0,0,2,0,1,0,0,0,0,1,0,4.26,4- 6-1978,
AT,CAL,A,1,1,0,0,0,9,7,33,1,1,1,1,0,4,0,0,0,0,0,1,0,1,0,1,0,2.35,4-11-1978,
VS,SEA,A,1,0,0,0,0,4.2,6,27,0,7,4,4,0,1,0,2,0,1,1,1,0,0,2,0,1,3.60,4-16-1978,1
VS,CAL,A,1,0,0,0,0,8,8,34,0,5,4,3,0,5,0,0,0,1,0,1,0,1,1,0,1,3.86,4-22-1978,
AT,OAK,A,1,0,0,0,0,6,8,29,0,4,4,3,0,3,0,0,1,0,0,3,0,0,0,0,0,4.24,4-26-1978,
VS,NY,A,1,0,0,0,0,8,6,30,0,2,2,1,0,6,0,0,1,0,0,1,0,0,0,0,0,3.86,4-30-1978,
AT,BAL,A,1,0,0,0,0,2,5,11,0,5,5,2,0,1,0,0,0,0,0,1,0,2,0,0,0,4.70,5- 6-1978,
AT,CHI,A,1,0,0,0,0,7,11,29,2,7,7,0,0,2,1,0,1,0,0,1,0,2,0,0,1,5.29,5-10-1978,
VS,BAL,A,1,0,0,0,0,5.1,7,30,0,4,4,8,0,0,0,1,0,0,0,1,0,0,0,0,0,5.43,5-15-1978,
AT,KC,A,1,0,0,0,0,7,8,29,1,3,3,0,0,1,1,0,1,1,0,2,0,1,0,1,0,5.26,5-19-1978,
VS,TEX,A,1,1,0,0,0,9,6,36,0,2,2,5,0,5,0,0,0,0,0,0,0,0,0,1,0,4.85,5-23-1978,
AT,TEX,A,1,0,0,0,0,7.2,7,30,0,2,2,1,0,5,0,0,0,0,0,4,1,1,0,1,0,4.61,5-29-1978,2
AT,DET,A,1,0,0,0,0,8.2,8,36,0,2,2,4,0,1,0,0,0,0,0,2,3,2,0,1,0,4.36,6- 2-1978,
VS,CHI,A,1,0,0,0,0,1.1,5,11,1,7,4,1,0,2,0,1,0,1,1,0,0,0,1,0,1,4.70,6- 7-1978,
AT,CLE,A,1,0,0,0,0,5,8,24,1,3,3,2,0,1,0,0,0,0,0,2,0,0,0,0,0,4.74,6-10-1978,
VS,CLE,A,1,1,0,0,0,9,10,40,0,2,2,3,0,2,0,0,0,0,0,2,1,0,0,1,0,4.50,6-14-1978,
VS,CAL,A,1,0,0,0,0,6.2,8,32,0,6,6,4,0,5,1,0,0,0,0,3,0,0,1,0,1,4.72,6-20-1978,
AT,CHI,A,1,0,0,0,0,5,11,27,2,4,4,2,0,1,0,0,0,0,0,1,0,0,0,1,0,4.82,6-25-1978,2
VS,MIL,A,1,1,0,0,0,9,9,36,0,2,2,0,0,8,0,0,0,1,0,1,0,1,1,1,0,4.62,7- 3-1978,
AT,OAK,A,1,0,0,0,0,4,7,21,0,7,7,1,0,5,0,0,0,1,0,1,0,0,0,0,0,4.97,7- 8-1978,
AT,BOS,A,1,1,0,0,0,8,7,31,1,3,3,0,0,3,0,0,1,0,0,2,0,0,0,0,1,4.87,7-16-1978,2
VS,BAL,A,1,0,0,0,0,7,6,29,2,4,4,2,0,2,0,0,0,0,0,2,0,0,0,0,0,4.89,7-21-1978,
VS,BOS,A,1,0,0,0,0,7.1,9,32,0,2,2,2,0,3,0,0,0,0,0,1,0,1,0,1,0,4.77,7-25-1978,
AT,NY,A,1,0,0,0,0,7,7,31,0,3,3,2,0,5,0,0,0,1,0,4,1,1,1,0,0,4.73,7-30-1978,1
AT,CAL,A,1,1,0,0,0,9,10,36,1,3,2,1,0,4,1,0,0,0,0,1,0,1,1,1,0,4.58,8- 5-1978,1
VS,SEA,A,1,1,0,0,0,9,10,38,1,4,4,2,0,4,0,0,1,0,0,1,0,0,0,0,1,4.55,8- 9-1978,
VS,OAK,A,1,1,0,0,0,9,5,32,0,1,1,1,0,3,0,0,0,0,0,0,0,0,1,1,0,4.38,8-13-1978,2
VS,KC,A,1,1,0,0,0,10,8,41,0,5,5,4,0,3,0,0,0,0,0,2,1,1,0,1,0,4.38,8-17-1978,
VS,TEX,A,1,1,0,0,0,9,7,36,0,2,1,4,0,4,1,0,0,0,0,2,0,1,0,0,1,4.24,8-23-1978,
AT,TOR,A,1,0,0,0,0,8,5,32,0,2,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,4.16,8-27-1978,
VS,CLE,A,1,1,0,0,0,9,7,33,2,4,4,0,0,9,1,0,0,0,0,0,1,0,0,0,1,4.15,9- 1-1978,
VS,CHI,A,1,0,0,0,0,4,4,17,1,3,3,1,0,1,0,1,0,0,0,1,1,0,0,0,1,4.20,9- 5-1978,
VS,MIL,A,1,1,0,0,0,9,5,35,0,3,2,3,0,2,0,0,0,1,0,0,1,1,0,0,1,4.12,9- 9-1978,
AT,MIL,A,1,1,0,0,0,9,8,36,1,3,3,2,0,2,0,1,0,0,0,0,1,0,0,1,0,4.07,9-15-1978,
VS,CAL,A,1,0,0,0,0,8,9,32,1,3,3,1,0,4,0,0,0,0,0,2,0,2,0,0,1,4.05,9-19-1978,
VS,KC,A,1,1,0,0,0,9,5,35,1,3,2,4,1,6,1,0,0,0,0,0,0,1,1,0,1,3.98,9-23-1978,
AT,TEX,A,1,0,0,0,0,5.2,6,24,0,3,2,0,0,3,0,1,0,0,0,1,0,0,1,0,0,3.96,9-27-1978,
AT,OAK,A,1,0,0,0,0,9,4,33,1,1,1,3,0,1,2,0,0,0,0,1,0,0,1,0,0,1.00,4- 7-1979,
AT,CAL,A,1,0,0,0,0,3.2,6,17,1,3,3,1,0,0,0,0,1,0,0,4,0,0,0,0,1,2.84,4-12-1979,
VS,CAL,A,1,0,0,0,0,1.2,4,14,0,5,2,4,0,1,0,1,0,0,0,3,0,0,1,0,1,3.77,4-18-1979,
AT,CLE,A,1,0,0,0,0,1.2,4,13,1,6,6,4,0,0,0,0,0,0,0,2,0,0,0,0,1,6.75,4-24-1979,
VS,DET,A,1,0,0,0,0,1.1,4,11,0,3,3,3,0,2,0,0,0,0,0,0,2,0,0,0,0,7.79,5- 3-1979,
VS,TOR,A,1,0,0,0,0,5,7,23,1,5,5,2,0,2,0,1,1,0,0,3,2,0,1,0,0,8.06,5- 8-1979,
VS,TEX,A,1,0,0,0,0,5,8,24,0,4,4,3,0,0,0,0,0,0,0,4,0,2,1,0,0,7.90,5-14-1979,
AT,KC,A,1,0,0,0,0,6,6,26,1,5,5,3,0,3,0,1,1,0,1,2,2,0,0,0,1,7.83,5-20-1979,
VS,KC,A,1,0,0,0,0,6,8,25,1,2,2,1,0,3,0,0,0,0,0,0,1,1,0,0,0,7.09,5-25-1979,
VS,OAK,A,1,0,0,0,0,6.1,7,27,0,5,5,1,0,2,0,0,0,1,0,2,0,0,0,0,1,7.09,5-30-1979,
AT,BAL,A,1,0,0,0,0,6,7,26,1,2,2,1,0,4,0,1,0,0,0,0,0,0,0,0,0,6.62,6- 4-1979,
AT,BOS,A,1,0,0,0,0,4.1,10,23,3,7,7,0,0,2,0,0,0,0,1,3,1,0,0,0,1,7.23,6- 9-1979,
VS,BAL,A,0,0,0,0,0,2.1,3,10,1,2,2,1,0,1,0,0,0,0,0,0,1,1,0,0,0,7.25,6-17-1979,
VS,CAL,A,0,0,0,0,0,3,5,15,0,5,4,1,0,2,0,1,0,0,0,1,0,0,1,0,1,7.48,8- 5-1979,1
VS,OAK,A,1,0,0,0,0,9,8,38,0,2,2,2,0,7,1,0,0,0,0,1,1,2,3,0,0,6.78,8-10-1979,2
AT,BOS,A,1,0,0,0,0,6,10,27,1,5,1,0,0,2,0,0,0,0,2,1,0,2,1,0,0,6.37,8-15-1979,
VS,BOS,A,1,0,0,0,0,8.1,9,34,0,5,5,1,0,1,0,0,0,0,0,2,0,1,0,1,0,6.27,8-20-1979,
VS,NY,A,0,0,0,1,0,4,1,16,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,5.99,8-24-1979,
VS,BAL,A,1,0,0,0,0,4.1,6,21,0,4,3,2,0,4,2,1,0,0,0,1,1,0,0,0,1,6.00,8-29-1979,1
AT,BAL,A,1,0,0,0,0,7.1,7,32,1,3,3,5,1,3,0,0,1,0,0,0,0,1,0,0,1,5.83,9- 2-1979,
AT,KC,A,1,0,0,0,0,3.1,6,20,1,4,4,4,0,2,0,0,0,0,0,1,1,0,0,0,0,5.99,9-10-1979,1
AT,TEX,A,1,0,0,0,0,7,7,28,1,1,1,2,0,0,0,0,0,0,0,0,0,2,0,1,0,5.69,9-16-1979,
AT,MIL,A,1,0,0,0,0,8,9,33,1,3,3,1,0,3,0,0,0,0,0,3,0,1,0,1,0,5.54,9-22-1979,
VS,MIL,A,1,0,0,0,0,4.1,8,20,1,4,4,0,0,1,0,0,0,0,0,2,0,1,0,0,1,5.63,9-28-1979,
AT,OAK,A,1,0,0,0,0,2,3,11,0,3,3,3,0,0,1,0,0,0,0,1,0,0,0,0,1,13.50,4-13-1980,
AT,SEA,A,1,1,0,0,0,8,6,29,0,3,2,1,0,4,0,0,0,1,0,0,0,2,0,0,1,4.50,4-18-1980,1
VS,CAL,A,0,0,0,0,0,1.2,4,12,0,7,0,1,0,2,0,0,1,1,0,2,0,0,1,0,0,3.86,4-23-1980,
VS,NY,A,0,0,0,0,0,1,1,5,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,3.55,5- 2-1980,
VS,NY,A,0,0,0,1,0,4,2,15,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,2.70,5- 4-1980,
AT,BAL,A,0,0,0,0,0,2,1,12,0,2,2,6,0,2,0,0,0,0,0,0,0,0,0,0,0,3.38,5- 7-1980,
VS,MIL,A,0,0,0,0,0,6.1,3,21,0,0,0,0,0,4,1,0,0,0,0,0,0,1,0,0,0,2.52,5-16-1980,
AT,MIL,A,1,1,0,0,0,8,7,31,1,3,3,1,0,5,0,0,0,0,0,0,0,0,0,0,1,2.73,5-25-1980,
VS,BAL,A,1,0,0,0,0,6,5,24,1,2,1,2,0,3,0,0,0,0,0,0,0,1,1,0,0,2.54,5-30-1980,
VS,TOR,A,1,0,0,0,0,8.1,4,32,1,1,1,1,0,3,0,0,0,0,1,0,0,0,2,1,0,2.28,6- 8-1980,1
AT,CLE,A,1,0,0,0,0,6.1,8,29,0,3,2,3,0,2,0,2,0,1,0,2,1,0,0,0,1,2.35,6-14-1980,
VS,CLE,A,1,0,0,0,0,5.2,7,25,1,3,3,3,0,1,0,0,0,0,0,1,0,1,0,0,0,2.58,6-20-1980,
VS,KC,A,1,0,0,0,0,5,11,25,0,3,3,0,0,2,0,0,0,0,0,2,0,1,0,0,1,2.80,6-24-1980,2
AT,TEX,A,1,0,0,0,0,6,7,27,1,2,2,2,0,4,0,0,0,0,0,1,0,0,0,1,0,2.82,6-29-1980,
VS,TEX,A,1,0,0,0,0,6,8,26,0,3,3,1,0,2,0,0,0,0,0,2,0,1,0,1,0,2.95,7- 3-1980,
VS,SEA,A,1,0,0,0,0,5,6,23,0,4,4,2,0,5,0,0,0,0,0,0,1,0,0,0,0,3.21,7-13-1980,
AT,BOS,A,1,1,0,0,0,9.1,8,38,1,1,1,2,0,3,0,0,0,0,0,2,0,0,0,0,1,2.98,7-18-1980,
VS,BAL,A,1,0,0,0,0,4.2,8,23,1,7,7,2,0,4,0,0,0,0,0,2,0,1,0,0,1,3.49,7-22-1980,
VS,BOS,A,1,0,0,0,0,8,11,37,1,5,5,3,0,2,0,1,0,0,0,4,1,0,0,0,1,3.66,7-26-1980,
AT,BAL,A,1,0,0,0,0,7,8,31,0,2,1,3,0,3,0,0,0,0,0,0,0,2,2,0,0,3.51,8- 1-1980,
AT,OAK,A,1,0,0,0,0,6.1,6,27,0,3,3,3,0,4,1,0,0,0,0,0,0,0,0,0,1,3.55,8- 6-1980,
VS,OAK,A,1,0,0,0,0,8.1,9,34,1,2,2,1,0,4,0,0,0,0,0,2,0,0,0,0,0,3.46,8-12-1980,
VS,CAL,A,1,1,0,0,0,9,6,35,0,1,1,4,0,7,0,0,0,0,0,0,0,1,0,1,0,3.29,8-17-1980,1
VS,DET,A,1,0,0,0,0,7,11,34,2,4,3,1,0,2,0,0,0,0,0,1,0,0,1,0,1,3.32,8-21-1980,2
AT,CLE,A,1,0,0,0,0,8,7,30,0,1,1,2,0,1,0,0,1,0,0,1,0,1,0,1,0,3.20,8-26-1980,
AT,TOR,A,1,0,0,0,0,8.1,7,31,1,2,2,0,0,5,0,0,0,0,1,0,1,1,0,0,0,3.15,8-30-1980,
AT,DET,A,1,1,0,0,0,8,5,30,0,1,1,1,0,5,1,0,0,0,0,0,0,0,1,0,1,3.05,9- 5-1980,
VS,MIL,A,1,1,0,0,0,9,7,33,1,3,3,0,0,5,0,1,1,0,0,1,1,0,0,0,1,3.05,9-10-1980,
AT,MIL,A,1,1,0,0,0,9,5,33,0,1,1,1,0,6,0,0,1,0,0,2,0,0,0,1,0,2.95,9-17-1980,2
VS,TEX,A,1,0,0,0,0,5,8,27,0,2,2,4,0,2,1,1,0,0,0,1,0,0,0,1,0,2.96,9-23-1980,
VS,KC,A,1,0,0,0,0,2.2,5,14,0,3,2,0,0,2,0,0,0,0,0,1,0,0,1,0,0,3.02,9-28-1980,
AT,KC,A,1,0,0,0,0,0.1,4,7,0,5,5,2,0,1,0,0,1,0,0,1,0,0,0,0,1,3.25,10- 4-1980,
VS,OAK,A,1,0,0,0,0,6.2,8,33,1,6,5,4,0,2,1,0,0,0,1,0,2,0,1,0,1,6.75,4-10-1981,
AT,OAK,A,1,0,0,0,0,8,7,33,1,3,3,2,0,5,1,1,0,0,1,0,0,0,2,0,0,4.91,4-21-1981,
VS,CAL,A,1,0,0,0,0,4.2,5,24,0,4,2,3,0,4,1,0,0,0,0,1,0,0,2,0,1,4.66,4-26-1981,1
AT,BOS,A,1,0,0,0,0,8,7,32,2,4,3,0,0,4,0,0,0,0,1,1,0,0,1,1,0,4.28,4-30-1981,
AT,BAL,A,1,1,0,0,0,8,5,33,0,3,3,4,0,2,0,2,0,0,0,2,0,0,0,0,1,4.08,5- 5-1981,
VS,BOS,A,1,0,0,0,0,7.1,6,30,0,2,2,3,0,3,0,1,0,0,0,0,0,0,0,0,0,3.80,5-12-1981,
VS,BAL,A,1,0,0,0,0,5.2,11,31,0,6,6,3,0,4,0,0,2,0,0,2,0,0,0,0,1,4.47,5-17-1981,
AT,KC,A,1,0,0,0,0,9.1,7,34,0,0,0,1,1,7,1,0,0,0,1,1,1,1,0,0,0,3.75,5-23-1981,
AT,TEX,A,1,0,0,0,0,7.1,8,33,0,5,4,2,1,0,2,1,0,0,0,1,0,0,1,0,1,3.88,5-28-1981,
VS,TEX,A,1,0,0,0,0,6.1,9,31,1,4,4,2,1,3,1,0,0,0,1,3,1,0,1,0,1,4.04,6- 3-1981,
VS,MIL,A,1,0,0,0,0,7.2,4,28,0,0,0,1,0,7,0,0,0,0,0,1,0,1,1,1,0,3.65,6- 8-1981,
VS,OAK,A,1,0,0,0,0,5,4,19,0,2,2,2,0,2,0,1,0,0,0,1,1,1,0,1,0,3.64,8-10-1981,
VS,SEA,A,1,0,0,0,0,1.2,6,13,1,6,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,3.78,8-14-1981,2
AT,DET,A,1,0,0,0,0,5.2,6,25,1,3,3,3,1,1,0,0,0,0,0,1,0,0,0,0,1,3.84,8-18-1981,
VS,SEA,A,1,0,0,0,0,5,7,26,2,4,3,3,0,2,0,0,0,1,0,1,0,1,2,1,0,5.40,4- 7-1982,
VS,OAK,A,1,0,0,0,0,1.2,4,10,0,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,1,6.75,4-13-1982,
AT,CAL,A,1,1,0,0,0,8,9,36,2,5,1,2,0,3,1,1,1,0,0,1,1,0,1,0,1,3.68,4-18-1982,
AT,SEA,A,1,1,0,0,0,9,13,39,0,4,4,2,0,0,0,0,0,0,0,1,0,3,0,1,0,3.80,4-23-1982,
VS,MIL,A,1,0,0,0,0,7.1,4,27,0,4,2,1,0,3,0,0,0,0,0,0,0,0,1,1,0,3.48,4-30-1982,
AT,BOS,A,1,0,0,0,0,6,9,28,0,2,2,1,0,3,0,0,1,0,0,0,0,0,0,1,0,3.41,5- 5-1982,
VS,BOS,A,1,0,0,0,0,3.2,10,22,2,8,8,1,1,1,0,0,0,0,0,4,0,0,0,0,1,4.87,5-10-1982,
AT,OAK,A,0,0,0,0,0,1.1,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00,5-14-1982,
AT,KC,A,1,0,0,0,0,6,9,29,0,5,5,2,0,5,0,1,0,0,0,2,1,0,0,0,1,6.14,5-17-1982,
VS,MIN,A,0,0,0,0,0,1,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.40,5-21-1982,
AT,TOR,A,1,0,0,0,0,4,10,21,0,5,5,0,0,2,0,1,0,0,0,3,0,0,0,0,1,7.30,5-31-1982,
VS,KC,A,0,0,0,0,0,1.2,4,9,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7.07,6- 6-1982,
AT,BAL,A,1,0,0,0,0,4.2,5,23,0,3,3,4,1,2,0,1,0,0,0,1,0,0,0,0,0,6.75,6-12-1982,
VS,BAL,A,0,0,0,0,0,2,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6.10,6-19-1982,
AT,MIL,A,1,0,0,0,0,7,6,29,1,3,3,2,0,3,0,0,1,0,0,1,1,0,0,0,1,5.53,6-22-1982,
VS,CLE,A,1,0,0,0,0,7,9,31,0,3,2,1,0,1,0,0,0,0,0,1,0,1,1,0,1,4.93,6-27-1982,
AT,CLE,A,1,0,0,0,0,5.2,6,22,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,4.46,7- 2-1982,
AT,CLE,A,0,0,0,1,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.35,7- 4-1982,
AT,OAK,A,1,0,0,0,0,7,7,28,1,3,3,1,0,6,0,0,0,0,1,1,1,0,0,1,0,4.28,7- 7-1982,
VS,OAK,A,1,0,0,0,0,7.2,6,28,1,2,2,1,0,6,0,0,0,0,0,1,0,3,1,1,0,4.02,7-16-1982,
VS,TEX,A,1,0,0,0,0,7,10,31,1,3,3,0,0,2,0,1,0,0,0,4,1,0,0,1,0,4.00,7-22-1982,
VS,DET,A,1,0,0,0,0,4,7,21,0,4,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,4.30,7-27-1982,
VS,CHI,A,1,0,0,0,0,3.2,5,17,1,3,3,2,0,0,0,1,0,0,0,2,0,0,0,0,1,4.46,8- 3-1982,2
AT,SEA,A,0,0,0,0,0,3.1,2,13,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2.70,4- 5-1983,
VS,DET,A,0,0,0,1,0,0.2,3,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.50,4-12-1983,
VS,BAL,A,0,0,0,1,0,7.1,3,27,0,0,0,3,0,4,0,0,0,0,0,0,0,1,0,0,0,1.59,9-11-1983,
AT,CLE,A,0,0,0,0,0,2.2,2,10,1,2,2,1,0,2,0,0,1,0,0,0,0,0,0,0,0,2.57,9-18-1983,1
VS,CLE,A,0,0,0,0,0,2.2,3,14,0,4,4,3,1,0,0,0,1,0,0,1,0,0,0,0,0,4.32,9-26-1983,
