at_vs,Opponent,League,GS,CG,SHO,GF,SV,IP,H,BFP,HR,R,ER,BB,IB,SO,SH,SF,WP,HBP,BK,2B,3B,GDP,ROE,W,L,ERA,Date,dblhead_num
VS,CHI,A,1,0,0,0,0,8.1,7,31,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0.00,9- 2-1978,2
AT,MIL,A,0,0,0,1,0,6.2,3,22,0,0,0,1,0,3,0,0,0,0,0,0,0,2,0,0,0,0.00,9-14-1978,
VS,SEA,A,1,0,0,0,0,6,5,25,0,2,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,3.00,7-25-1979,
AT,KC,A,0,0,0,1,1,2.2,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.08,7-29-1979,
AT,NY,A,0,0,0,0,0,3,2,12,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,0,1.54,8- 4-1979,
VS,MIL,A,0,0,0,0,0,3,4,14,1,2,2,1,0,0,1,0,0,0,0,2,0,0,0,0,0,2.45,8- 8-1979,
VS,KC,A,0,0,0,1,1,4,2,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.93,8-18-1979,
AT,MIN,A,1,0,0,0,0,6,5,21,1,2,2,1,0,2,0,0,0,0,0,1,1,1,0,1,0,2.19,8-29-1979,2
VS,BOS,A,0,0,0,1,0,2,2,8,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,2.03,9-16-1979,
VS,DET,A,0,0,0,1,0,2,2,8,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1.88,9-26-1979,
AT,CLE,A,0,0,0,1,0,1.1,1,6,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2.10,9-30-1979,
AT,CHI,A,1,0,0,0,0,4.2,5,21,0,2,2,4,0,1,0,0,1,1,0,0,0,2,0,0,0,3.86,4-13-1980,
VS,CHI,A,1,1,0,0,0,9,4,31,1,2,2,0,0,4,0,0,0,0,0,2,0,0,0,1,0,2.63,4-18-1980,
AT,NY,A,0,0,0,0,0,2.2,4,12,0,2,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3.31,4-22-1980,
AT,KC,A,0,0,0,1,0,2.1,2,9,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,3.38,4-27-1980,
VS,NY,A,0,0,0,0,0,0.1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.32,4-30-1980,
AT,TEX,A,0,0,0,1,1,3.2,4,17,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,2.78,5- 4-1980,
AT,MIL,A,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.78,5- 9-1980,
VS,TEX,A,1,0,0,0,0,0.2,4,6,1,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4.24,5-12-1980,
VS,TEX,A,0,0,0,1,0,2.2,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.81,5-14-1980,
AT,CLE,A,0,0,0,1,0,2.1,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.49,5-20-1980,1
VS,CLE,A,0,0,0,0,0,3.1,3,12,1,2,2,0,0,1,1,0,0,0,0,1,0,1,0,0,1,3.69,5-27-1980,
VS,MIL,A,0,0,0,0,0,2,3,9,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.01,6- 2-1980,
AT,SEA,A,0,0,0,0,0,1.1,1,7,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3.86,6-13-1980,
VS,BOS,A,0,0,0,0,0,6,6,22,1,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,3.51,7- 6-1980,
VS,KC,A,0,0,0,1,0,4.1,6,21,0,3,3,2,1,1,0,0,0,0,0,0,1,0,0,0,0,3.77,7-14-1980,
VS,TEX,A,0,0,0,0,0,2.1,2,9,1,2,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3.97,7-19-1980,
AT,MIN,A,0,0,0,0,0,2.2,2,10,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,3.93,7-21-1980,1
AT,KC,A,0,0,0,1,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.86,8-13-1980,
AT,SEA,A,0,0,0,0,0,6.2,5,26,1,3,3,1,0,4,0,0,0,0,0,0,1,0,1,0,0,3.88,8-25-1980,
VS,CAL,A,0,0,0,1,0,4.1,2,15,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3.61,8-29-1980,
VS,SEA,A,0,0,0,1,0,0.2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57,9- 2-1980,
AT,TOR,A,0,0,0,0,0,1.2,2,6,1,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.76,9-12-1980,
VS,BOS,A,0,0,0,0,0,1.2,2,9,1,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4.07,9-24-1980,
AT,BOS,A,0,0,0,0,0,1.2,4,9,2,3,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4.37,9-30-1980,
VS,CLE,A,0,0,0,1,0,1.2,0,5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4.26,10- 4-1980,2
AT,KC,A,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,4-19-1981,
AT,CHI,A,0,0,0,0,0,2.1,9,17,0,7,7,1,0,1,0,1,0,0,0,1,2,0,0,0,0,18.90,4-23-1981,1
VS,CHI,A,0,0,0,0,0,4.2,6,20,0,3,3,0,0,1,0,0,2,0,0,1,0,0,1,0,0,11.25,4-28-1981,
AT,TEX,A,0,0,0,0,0,5,6,19,0,1,1,0,0,2,0,0,0,0,0,0,0,2,0,0,0,7.62,5-10-1981,
AT,MIN,A,0,0,0,1,0,7,4,26,0,0,0,2,0,3,0,0,0,0,0,0,0,1,0,1,0,4.95,5-16-1981,
AT,DET,A,1,0,0,0,0,4,6,20,1,3,3,3,0,0,2,0,0,0,0,2,0,0,0,0,0,5.25,5-24-1981,2
VS,DET,A,0,0,0,0,0,0.1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5.18,5-31-1981,
AT,NY,A,1,0,0,0,0,3.1,8,21,0,7,3,2,1,0,0,0,0,0,0,1,0,0,1,0,1,5.53,6- 4-1981,
AT,CAL,A,0,0,0,1,0,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.46,6- 6-1981,
AT,SEA,A,0,0,0,0,0,4.2,6,20,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5.23,6-11-1981,
VS,KC,A,0,0,0,0,0,0.2,3,5,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5.67,8-12-1981,1
VS,CHI,A,0,0,0,1,0,0.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.56,8-14-1981,
VS,CHI,A,0,0,0,0,0,0.1,2,3,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5.77,8-16-1981,
VS,OAK,A,0,0,0,0,0,3,7,16,1,4,4,0,0,3,0,1,0,0,0,3,0,0,0,0,0,6.27,9- 3-1981,
VS,CLE,A,0,0,0,0,0,2.2,4,11,0,3,3,1,0,0,1,0,0,0,0,1,0,1,0,0,0,6.53,9- 9-1981,
