at_vs,Opponent,League,GS,CG,SHO,GF,SV,IP,H,BFP,HR,R,ER,BB,IB,SO,SH,SF,WP,HBP,BK,2B,3B,GDP,ROE,W,L,ERA,Date,dblhead_num
VS,PIT,N,1,0,0,0,0,3,4,14,0,3,3,2,0,1,0,1,0,0,0,0,0,0,0,0,0,9.00,9-16-1986,
AT,NY,N,1,0,0,0,0,7,1,26,0,1,1,5,0,6,0,0,0,0,0,0,1,1,0,1,0,3.60,9-21-1986,
AT,MON,N,1,0,0,0,0,6,1,21,0,0,0,3,0,1,0,0,1,0,0,0,0,1,0,1,0,2.25,9-26-1986,
VS,STL,N,1,0,0,0,0,7,4,28,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0.00,8- 9-1988,
VS,PIT,N,1,0,0,0,0,2.1,6,15,0,6,6,3,1,2,0,1,0,0,0,3,0,1,0,0,0,5.79,8-14-1988,
AT,SF,N,1,0,0,0,0,4.1,4,21,0,3,3,4,0,4,2,0,1,0,0,1,0,0,0,0,1,5.93,8-20-1988,
VS,LA,N,1,0,0,0,0,3.1,6,18,0,6,6,2,0,2,1,0,0,0,0,3,0,0,0,0,1,7.94,8-26-1988,
VS,SF,N,1,0,0,0,0,7,2,31,0,2,2,7,0,7,1,0,1,1,0,1,0,0,0,0,0,6.38,8-31-1988,
AT,CHI,N,1,0,0,0,0,7,4,30,1,2,1,4,0,3,0,0,0,0,0,0,0,0,1,1,0,5.23,9- 6-1988,
AT,PIT,N,1,0,0,0,0,6.1,7,30,0,2,2,5,0,4,0,0,0,0,0,2,0,0,0,1,0,4.82,9-11-1988,
VS,PIT,N,1,0,0,0,0,2.1,4,15,0,5,5,4,1,3,0,0,1,0,0,0,1,0,0,0,0,5.67,9-16-1988,
AT,NY,N,1,0,0,0,0,6,10,28,1,3,3,3,0,2,1,0,0,0,0,1,0,1,0,0,1,5.52,9-21-1988,
VS,NY,N,1,0,0,0,0,3.1,4,18,0,4,4,4,0,3,0,0,0,0,0,0,0,0,0,0,0,5.88,9-26-1988,
AT,MON,N,1,0,0,0,0,2.2,4,15,0,3,3,4,0,3,0,0,0,0,1,0,0,0,0,0,0,6.10,10- 1-1988,
AT,HOU,N,1,0,0,0,0,3,2,16,0,2,2,5,0,0,0,0,0,0,1,0,0,0,0,0,0,6.00,4-24-1989,
AT,LA,N,0,0,0,0,0,1.1,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,5-18-1990,
AT,LA,N,0,0,0,0,0,1,1,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.00,5-19-1990,
AT,SF,N,0,0,0,0,0,2.1,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.00,5-21-1990,
VS,ATL,N,0,0,0,1,1,4,2,14,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1.04,5-24-1990,
VS,ATL,N,0,0,0,0,0,1,3,7,0,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3.72,5-27-1990,
VS,SD,N,0,0,0,0,0,1.1,2,8,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,3.27,5-30-1990,
AT,STL,N,0,0,0,1,0,1.1,2,9,0,1,1,3,2,1,0,0,1,0,0,0,0,0,0,0,1,3.65,6- 4-1990,
AT,CHI,N,1,0,0,0,0,6,6,26,1,3,3,1,0,6,0,0,0,1,0,0,1,0,0,0,0,3.93,6- 9-1990,
AT,NY,N,1,0,0,0,0,5,4,23,1,3,3,2,0,2,0,0,1,1,0,1,1,0,2,0,0,4.24,6-24-1990,
VS,HOU,N,1,0,0,0,0,2,5,11,1,4,4,0,0,1,0,0,0,0,0,2,0,0,0,0,1,5.33,6-30-1990,
VS,ATL,N,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.33,7- 4-1990,
VS,CIN,N,0,0,0,1,0,2,1,8,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4.94,7- 5-1990,
VS,CIN,N,0,0,0,0,0,2.1,1,8,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,4.55,7- 7-1990,
AT,HOU,N,0,0,0,0,0,0.2,1,6,0,2,2,2,0,1,0,0,0,0,0,0,0,0,1,0,0,5.04,7-12-1990,
