at_vs,Opponent,League,GS,CG,SHO,GF,SV,IP,H,BFP,HR,R,ER,BB,IB,SO,SH,SF,WP,HBP,BK,2B,3B,GDP,ROE,W,L,ERA,Date,dblhead_num
VS,MIL,A,1,0,0,0,0,7,6,27,0,0,0,1,0,4,0,0,0,0,0,0,1,1,1,1,0,0.00,4-30-1978,
AT,MIL,A,1,0,0,0,0,5.2,5,29,0,4,4,5,0,2,0,0,0,1,0,1,0,0,1,1,0,2.84,5- 7-1978,
VS,BOS,A,1,1,0,0,0,9,2,33,0,1,1,5,0,5,0,0,0,0,0,0,0,1,0,1,0,2.08,5-15-1978,
VS,MIN,A,1,0,0,0,0,7.1,8,29,1,3,3,2,0,1,0,0,0,0,0,2,0,1,0,1,0,2.48,5-20-1978,
AT,SEA,A,1,0,0,0,0,3.1,5,21,0,4,2,6,0,1,2,1,0,0,0,1,0,0,0,0,0,2.78,5-24-1978,
VS,SEA,A,1,1,0,0,0,9,11,39,0,2,2,3,0,2,0,0,0,0,0,1,1,1,0,1,0,2.61,5-29-1978,
VS,CHI,A,1,0,0,0,0,3.1,8,22,0,6,6,3,1,1,1,1,0,0,0,2,0,0,1,0,1,3.63,6- 3-1978,
AT,TEX,A,1,0,0,0,0,8.2,3,35,0,2,2,8,1,1,1,0,1,0,0,0,0,0,1,0,0,3.38,6- 8-1978,2
VS,TEX,A,1,1,1,0,0,9,1,30,0,0,0,6,0,4,0,0,0,0,0,0,1,2,0,1,0,2.89,6-13-1978,
AT,CHI,A,1,0,0,0,0,1.1,5,12,0,5,5,3,0,0,0,2,0,0,0,1,0,0,0,0,1,3.53,6-17-1978,
VS,CLE,A,1,0,0,0,0,3.1,3,15,0,2,2,4,0,2,0,0,0,0,0,0,1,1,0,0,0,3.63,6-21-1978,
AT,CAL,A,1,1,1,0,0,9,7,32,0,0,0,0,0,10,0,0,0,0,0,2,0,1,0,1,0,3.20,6-26-1978,
AT,OAK,A,1,1,0,0,0,8,5,28,1,2,2,2,0,4,2,0,0,0,0,1,0,1,0,0,1,3.11,6-30-1978,
VS,CAL,A,1,1,0,0,0,9,5,33,2,3,2,2,0,3,0,0,0,0,0,0,0,1,1,1,0,3.00,7- 4-1978,
VS,BAL,A,1,0,0,0,0,8,5,35,0,1,0,4,0,4,0,0,1,0,0,1,0,0,2,1,0,2.76,7- 8-1978,
AT,MIL,A,1,1,0,0,0,9,7,37,0,2,0,3,0,6,2,0,0,0,0,2,0,0,1,1,0,2.54,7-14-1978,
VS,TEX,A,1,1,0,0,0,9,7,34,2,4,4,3,0,3,0,0,0,1,0,1,1,2,0,1,0,2.65,7-19-1978,
VS,BOS,A,1,0,0,0,0,2.2,6,15,0,3,3,2,0,1,0,0,0,0,0,0,0,1,0,0,0,2.81,7-23-1978,
AT,BOS,A,1,1,1,0,0,9,8,36,0,0,0,1,0,9,0,0,1,0,0,0,0,1,1,1,0,2.62,7-28-1978,
AT,CLE,A,1,0,0,0,0,6,5,28,0,1,1,6,0,2,1,0,0,0,0,0,0,1,1,0,0,2.57,8- 1-1978,
VS,TOR,A,1,0,0,0,0,6,8,27,1,2,2,1,0,2,0,0,0,0,0,0,0,0,0,1,0,2.59,8- 6-1978,
AT,DET,A,1,0,0,0,0,3.1,8,21,0,5,4,3,0,4,0,0,0,0,0,0,1,0,0,0,1,2.77,8-14-1978,
VS,TEX,A,1,0,0,0,0,8.2,8,36,0,4,0,3,0,2,0,0,2,1,0,2,0,3,2,0,1,2.62,8-18-1978,
AT,TEX,A,1,0,0,0,0,6,5,25,1,6,6,3,1,3,0,0,0,0,0,1,0,1,0,0,1,2.86,8-25-1978,
