at_vs,Opponent,League,GS,CG,SHO,GF,SV,IP,H,BFP,HR,R,ER,BB,IB,SO,SH,SF,WP,HBP,BK,2B,3B,GDP,ROE,W,L,ERA,Date,dblhead_num
VS,CHI,A,1,0,0,0,0,8,5,33,0,1,1,4,0,2,0,0,0,0,0,1,0,0,0,1,0,1.12,4-10-1977,
VS,DET,A,1,1,0,0,0,9,6,34,2,3,3,2,0,10,0,0,1,0,0,0,0,0,0,1,0,2.12,4-14-1977,
AT,NY,A,1,1,0,0,0,9,8,36,0,3,2,0,0,6,0,0,0,0,1,1,3,0,1,1,0,2.08,4-19-1977,
VS,BOS,A,1,0,0,0,0,7,9,30,1,3,3,2,0,4,1,0,0,0,0,0,0,0,1,0,0,2.45,4-25-1977,1
AT,KC,A,1,1,0,0,0,9,7,34,0,1,1,3,0,4,0,0,0,0,0,1,0,0,0,1,0,2.14,4-30-1977,
VS,MIL,A,1,0,0,0,0,4.2,7,24,1,6,6,4,0,2,0,0,0,0,0,0,2,1,0,0,0,3.09,5- 5-1977,
VS,SEA,A,1,0,0,0,0,7,8,29,0,3,3,2,0,3,0,1,0,0,0,3,1,2,0,1,0,3.19,5-10-1977,
AT,MIN,A,1,0,0,0,0,4,9,21,0,5,5,3,0,0,1,0,0,0,0,1,1,0,0,0,1,3.75,5-15-1977,
AT,TEX,A,1,1,0,0,0,9,7,38,0,3,2,4,2,7,4,0,0,0,0,1,0,0,1,1,0,3.51,5-20-1977,
VS,OAK,A,1,0,0,0,0,9.2,9,39,2,6,3,4,0,5,0,1,0,0,0,1,0,0,0,0,1,3.42,5-25-1977,
VS,KC,A,1,0,0,0,0,8.1,10,37,0,4,4,3,0,1,1,0,0,0,0,3,0,0,1,0,1,3.51,5-30-1977,
AT,OAK,A,1,0,0,0,0,5,8,25,0,3,2,1,0,4,1,0,0,0,0,0,1,0,1,1,0,3.51,6- 5-1977,
AT,SEA,A,1,0,0,0,0,6.1,10,30,2,4,3,0,0,4,0,0,0,1,0,2,0,0,1,0,0,3.56,6-11-1977,
AT,DET,A,1,1,0,0,0,8,5,32,3,4,4,2,0,3,0,0,0,0,0,1,0,0,1,0,1,3.63,6-16-1977,
VS,CLE,A,1,0,0,0,0,6.2,8,31,0,3,3,5,0,3,1,0,1,0,0,3,0,2,0,0,1,3.66,6-21-1977,
AT,BAL,A,1,0,0,0,0,6.1,8,29,0,3,3,3,0,2,1,1,0,0,0,3,0,0,0,0,1,3.69,6-25-1977,2
VS,NY,A,1,0,0,0,0,7.1,8,35,3,5,5,5,0,4,0,1,0,1,0,3,0,0,0,0,1,3.84,6-30-1977,
AT,BOS,A,1,0,0,0,0,6,4,22,2,3,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3.87,7- 4-1977,
AT,CLE,A,1,1,0,0,0,8.2,7,35,1,3,3,4,0,7,0,0,0,0,0,0,1,0,0,0,1,3.82,7- 9-1977,
AT,CHI,A,1,1,0,0,0,8,4,35,0,2,1,5,1,3,0,0,0,1,0,2,0,0,1,0,1,3.67,7-14-1977,
VS,CHI,A,1,0,0,0,0,8.1,11,38,3,9,9,3,1,2,1,0,0,0,0,3,1,0,0,0,1,4.00,7-22-1977,
