at_vs,Opponent,League,GS,CG,SHO,GF,SV,IP,H,BFP,HR,R,ER,BB,IB,SO,SH,SF,WP,HBP,BK,2B,3B,GDP,ROE,W,L,ERA,Date,dblhead_num
AT,CLE,A,0,0,0,0,0,4,3,15,0,2,2,1,0,2,0,0,0,0,0,1,0,0,0,1,0,4.50,8-26-1969,
AT,BAL,A,0,0,0,0,0,0.2,0,3,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3.86,8-30-1969,
AT,WAS,A,1,0,0,0,0,4.2,8,23,2,6,6,1,1,4,0,0,0,0,0,0,0,1,1,0,0,7.71,9- 1-1969,2
VS,CHI,A,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.97,9- 6-1969,
VS,MIN,A,1,0,0,0,0,5,9,23,0,3,3,0,0,2,0,0,0,0,0,3,0,1,1,0,0,6.46,9- 9-1969,
AT,SEA,A,0,0,0,1,0,1,2,5,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,6.61,9-12-1969,1
AT,CHI,A,0,0,0,0,0,0.2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.35,9-16-1969,2
AT,MIN,A,0,0,0,1,1,2.2,1,8,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.95,9-18-1969,
VS,SEA,A,0,0,0,0,0,0.1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.85,9-23-1969,
AT,OAK,A,0,0,0,0,0,4.1,4,19,1,1,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,5.18,9-25-1969,
AT,KC,A,1,0,0,0,0,6.2,4,27,0,4,2,2,1,5,0,1,0,1,0,0,0,0,1,0,1,4.65,10- 2-1969,
