at_vs,Opponent,League,GS,CG,SHO,GF,SV,IP,H,BFP,HR,R,ER,BB,IB,SO,SH,SF,WP,HBP,BK,2B,3B,GDP,ROE,W,L,ERA,Date,dblhead_num
AT,TOR,A,0,0,0,0,0,3.1,4,14,0,1,1,0,0,5,0,0,0,0,0,1,0,0,0,0,0,2.70,5-29-2012,
AT,BOS,A,0,0,0,0,0,4,2,16,0,1,1,2,0,2,0,0,0,0,0,1,0,0,0,0,0,2.45,6- 7-2012,
VS,CLE,A,0,0,0,0,0,4.1,4,19,0,1,1,3,0,5,0,0,0,0,0,2,0,1,0,0,0,2.31,7- 1-2012,
AT,ANA,A,1,0,0,0,0,7,3,25,1,1,1,2,0,6,0,0,0,0,0,0,0,1,0,1,0,1.93,7- 6-2012,
VS,DET,A,1,0,0,0,0,5.2,6,26,1,3,3,5,0,3,0,0,1,0,0,2,0,2,0,0,1,2.59,7-15-2012,
AT,CLE,A,1,0,0,0,0,6.2,7,28,2,2,2,2,0,5,0,0,0,1,0,2,0,2,0,1,0,2.61,7-20-2012,
VS,TB,A,1,0,0,0,0,2.2,7,19,2,7,7,2,0,2,0,0,1,3,0,0,0,0,0,0,1,4.28,7-25-2012,
AT,NY,A,1,0,0,0,0,6.2,6,26,3,4,4,0,0,8,0,0,0,0,1,0,0,0,0,1,0,4.46,7-30-2012,
AT,TB,A,1,0,0,0,0,7,2,26,0,0,0,4,0,4,0,0,0,0,0,1,0,0,0,0,0,3.80,8- 5-2012,
VS,KC,A,1,0,0,0,0,8,6,29,1,1,1,1,0,5,1,0,0,0,0,1,0,1,0,1,0,3.42,8-10-2012,
VS,BOS,A,1,0,0,0,0,6,6,25,0,2,2,1,0,2,0,1,0,0,0,1,0,0,0,1,0,3.38,8-15-2012,
AT,TEX,A,1,0,0,0,0,5,8,26,0,4,4,3,1,2,0,1,0,1,0,2,0,0,0,0,1,3.66,8-20-2012,
AT,NY,A,1,0,0,0,0,7,4,26,0,0,0,1,0,9,0,0,1,0,0,0,0,0,0,1,0,3.31,8-31-2012,
AT,TOR,A,1,0,0,0,0,6.1,7,26,1,5,5,0,0,4,0,0,0,0,0,2,1,0,0,0,1,3.62,9- 5-2012,
VS,TB,A,1,0,0,0,0,6,6,27,1,2,2,5,1,4,0,0,0,0,1,1,0,1,0,0,0,3.57,9-12-2012,
AT,BOS,A,1,0,0,0,0,6.1,7,27,0,2,2,1,0,3,0,0,0,0,0,2,0,0,0,1,0,3.52,9-21-2012,
VS,TOR,A,1,0,0,0,0,7,5,26,1,2,2,1,0,1,0,0,0,0,0,1,0,0,0,1,0,3.45,9-26-2012,
AT,TB,A,1,0,0,0,0,6.1,2,23,0,0,0,2,0,7,0,0,0,0,0,0,0,0,0,1,0,3.25,10- 2-2012,
AT,TB,A,1,0,0,0,0,6.1,5,23,0,2,2,2,0,4,0,0,0,0,0,0,0,1,0,1,0,2.84,4- 4-2013,
AT,NY,A,1,0,0,0,0,6,5,27,0,3,2,5,0,4,1,0,0,1,0,0,0,1,0,0,1,2.92,4-12-2013,
VS,TB,A,1,0,0,0,0,5.2,8,28,3,5,4,2,0,1,0,1,0,1,0,0,0,0,0,0,0,4.00,4-18-2013,
