at_vs,Opponent,League,GS,CG,SHO,GF,SV,IP,H,BFP,HR,R,ER,BB,IB,SO,SH,SF,WP,HBP,BK,2B,3B,GDP,ROE,W,L,ERA,Date,dblhead_num
VS,BOS,A,0,0,0,1,0,2,3,9,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0.00,7-27-1975,2
VS,DET,A,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,7-28-1975,
AT,CAL,A,0,0,0,1,0,1,0,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00,8-11-1975,
AT,OAK,A,0,0,0,1,0,0.1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.00,8-14-1975,
AT,KC,A,0,0,0,0,0,0.2,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00,8-16-1975,
VS,CAL,A,0,0,0,1,0,1,1,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00,8-24-1975,1
VS,KC,A,0,0,0,0,0,2.1,2,9,0,2,2,1,0,2,0,0,0,0,0,1,0,0,0,0,0,2.45,8-31-1975,
VS,CLE,A,0,0,0,1,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.16,9-13-1975,1
AT,MIL,A,0,0,0,1,0,2,1,8,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,1.74,9-16-1975,
VS,BOS,A,1,0,0,0,0,5.1,8,25,0,4,4,2,0,2,0,1,0,0,0,1,0,0,0,0,1,3.45,9-22-1975,
VS,BOS,A,0,0,0,0,0,0.1,4,5,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,108.00,5-20-1976,
VS,BAL,A,0,0,0,0,0,3,3,13,0,3,3,1,0,3,0,0,0,0,0,2,0,0,0,0,0,18.90,8- 7-1976,
VS,BAL,A,0,0,0,0,0,2,1,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,11.81,8- 8-1976,
VS,CAL,A,0,0,0,0,0,2.2,5,13,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,10.12,8-22-1976,
AT,OAK,A,0,0,0,0,0,1.2,0,6,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,8.38,9- 1-1976,
VS,DET,A,0,0,0,0,0,3.2,3,15,0,1,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,6.75,9-11-1976,
VS,DET,A,0,0,0,1,0,2.2,4,13,0,2,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,5.62,9-12-1976,1
