at_vs,Opponent,League,GS,CG,SHO,GF,SV,IP,H,BFP,HR,R,ER,BB,IB,SO,SH,SF,WP,HBP,BK,2B,3B,GDP,ROE,W,L,ERA,Date,dblhead_num
AT,NY,A,1,0,0,0,0,4,8,22,0,2,2,2,0,2,0,0,1,0,0,2,0,0,0,0,0,4.50,5-30-1971,
AT,BOS,A,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3.60,6- 4-1971,
VS,NY,A,1,0,0,0,0,4,6,22,0,2,1,5,0,3,0,0,1,0,0,1,0,2,1,0,1,3.00,6- 8-1971,
VS,WAS,A,1,0,0,0,0,6,5,25,0,3,3,3,1,5,0,0,0,1,0,1,1,2,0,0,1,3.60,6-12-1971,
VS,BOS,A,0,0,0,0,0,0.2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.45,6-15-1971,
AT,KC,A,1,0,0,0,0,3,6,18,0,3,2,4,1,2,0,1,0,0,0,2,0,1,0,0,1,3.86,6-18-1971,
AT,MIN,A,1,0,0,0,0,6,7,30,0,5,2,4,0,2,0,0,0,1,0,4,0,1,3,0,1,3.00,6-24-1973,1
VS,MIN,A,1,0,0,0,0,0.1,2,5,0,2,2,2,0,0,0,0,0,0,0,1,0,0,0,0,1,5.68,6-30-1973,
AT,CLE,A,0,0,0,0,0,4.2,4,20,0,1,1,2,0,2,0,0,0,0,0,0,0,0,1,0,0,4.09,7- 6-1973,
AT,BAL,A,0,0,0,1,0,2,2,9,0,1,1,2,0,2,0,0,1,0,0,2,0,1,0,0,0,4.15,7-11-1973,
VS,OAK,A,0,0,0,0,0,8.1,6,33,0,3,3,2,0,6,0,0,0,1,1,1,0,1,0,0,0,3.80,9- 5-1973,
AT,KC,A,1,0,0,0,0,2.1,5,16,0,6,2,3,0,1,0,1,1,0,0,1,1,0,1,0,1,4.18,9- 9-1973,1
AT,OAK,A,1,1,0,0,0,8,7,37,0,5,2,4,0,6,1,0,0,1,0,1,0,0,2,0,1,3.69,9-18-1973,
VS,NY,A,1,1,0,0,0,9,9,38,0,2,1,2,0,3,0,1,0,0,0,1,0,2,2,0,1,1.00,6-19-1974,
AT,TEX,A,1,0,0,0,0,7.1,3,29,0,1,0,3,0,3,0,0,1,0,0,1,0,0,1,1,0,0.55,6-23-1974,
VS,TEX,A,1,0,0,0,0,6,7,27,0,4,3,2,0,2,1,0,0,0,0,3,0,0,1,0,1,1.61,6-28-1974,
VS,OAK,A,1,1,0,0,0,9,7,39,0,3,1,4,0,1,1,0,0,1,0,1,0,2,3,0,1,1.44,7- 3-1974,
VS,BAL,A,1,0,0,0,0,6,7,28,0,6,2,3,0,3,0,0,0,1,0,0,0,2,1,0,1,1.69,7- 8-1974,
AT,BOS,A,1,1,0,0,0,9,8,36,0,1,1,2,0,4,0,0,0,0,0,0,0,1,0,1,0,1.55,7-13-1974,
AT,CLE,A,1,0,0,0,0,4.2,6,24,1,5,5,3,1,2,0,0,0,1,0,1,0,0,0,0,0,2.29,7-17-1974,
AT,BAL,A,1,0,0,0,0,6.2,4,27,3,3,3,3,0,8,0,0,0,0,0,1,0,0,0,0,0,2.50,7-21-1974,
VS,MIN,A,1,1,0,0,0,9,7,42,0,5,4,6,1,6,1,0,1,1,0,0,1,0,1,0,1,2.70,7-28-1974,1
AT,MIN,A,1,0,0,0,0,7,8,30,1,5,5,2,0,5,0,0,1,0,0,0,0,1,0,0,0,3.05,8- 1-1974,
AT,CHI,A,1,0,0,0,0,1.2,6,12,0,6,2,1,0,0,0,0,0,0,0,1,0,0,1,0,1,3.23,8- 6-1974,
AT,CHI,A,0,0,0,1,1,0.2,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3.20,8- 8-1974,
VS,NY,A,1,1,0,0,0,9,4,35,0,2,1,6,0,8,1,0,1,0,0,1,0,1,0,0,1,2.96,8-10-1974,
VS,MIL,A,1,0,0,0,0,7.2,10,34,1,4,4,2,0,3,1,0,0,1,0,2,0,1,0,0,1,3.11,8-17-1974,
VS,DET,A,1,1,1,0,0,9,4,35,0,0,0,4,0,3,0,0,0,0,0,0,0,1,2,1,0,2.83,8-21-1974,
AT,DET,A,1,0,0,0,0,4.1,5,21,3,5,5,4,0,2,0,0,0,0,0,0,0,1,0,0,1,3.14,8-26-1974,
AT,MIL,A,1,0,0,0,0,8.1,7,36,0,5,5,6,0,1,0,0,1,0,1,0,0,2,0,0,0,3.31,8-31-1974,
AT,OAK,A,1,1,0,0,0,9,6,40,1,2,2,10,0,2,0,0,1,1,0,0,0,3,0,1,0,3.21,9- 4-1974,
VS,CHI,A,1,1,0,0,0,9,1,35,0,1,0,3,0,6,0,0,0,2,0,1,0,1,3,0,1,2.99,9- 8-1974,
AT,CHI,A,1,1,0,0,0,8,8,32,0,3,2,3,0,2,3,0,0,1,0,2,0,3,1,0,1,2.95,9-13-1974,2
AT,TEX,A,1,0,0,0,0,6,4,26,0,1,1,6,0,2,0,0,1,0,0,1,0,2,0,1,0,2.89,9-18-1974,1
AT,KC,A,1,0,0,0,0,6.2,6,23,0,0,0,1,0,3,0,0,0,0,0,0,0,3,0,1,0,2.76,9-25-1974,
VS,MIN,A,1,1,1,0,0,9,5,32,0,0,0,2,0,6,0,0,0,0,0,0,0,2,0,1,0,2.61,9-29-1974,
VS,CHI,A,1,1,0,0,0,10,7,38,0,3,3,2,0,9,1,0,0,0,0,1,0,1,1,1,0,2.70,4-12-1975,
