at_vs,Opponent,League,GS,CG,SHO,GF,SV,IP,H,BFP,HR,R,ER,BB,IB,SO,SH,SF,WP,HBP,BK,2B,3B,GDP,ROE,W,L,ERA,Date,dblhead_num
VS,NY,N,0,0,0,1,0,6,3,24,0,4,1,1,0,0,0,0,0,0,,,,,,,,,6- 7-1911,
VS,BOS,N,1,0,0,0,0,7.1,7,28,0,6,1,2,0,0,0,0,0,1,,,,,,,,,6-15-1911,
AT,CHI,N,0,0,0,1,0,1,2,6,0,3,1,1,0,1,0,0,0,0,,,,,,,,,6-21-1911,
AT,STL,N,0,0,0,1,0,4,0,14,0,0,0,2,3,0,0,0,0,0,0,0,,,,,,,6-30-1911,
VS,STL,N,1,1,0,0,0,9,6,38,0,1,1,5,2,1,0,0,0,1,0,1,0,,,,,,7- 4-1911,2
AT,BRO,N,0,0,0,0,0,5,4,22,1,2,4,1,0,0,0,0,0,0,,,,,,,,,7- 7-1911,
AT,NY,N,1,0,0,0,0,0.2,0,7,0,2,2,5,0,0,0,0,0,0,0,0,,,,,,,7-12-1911,
AT,BOS,N,1,0,0,0,0,0.1,3,4,0,3,1,0,1,0,0,0,0,0,,,,,,,,,7-20-1911,2
AT,PHI,N,0,0,0,1,0,6,1,20,0,0,0,3,2,0,0,0,0,0,0,0,,,,,,,8-22-1911,
AT,NY,N,1,0,0,0,0,7,2,21,0,1,1,2,3,1,0,0,0,0,,,,,,,,,8-25-1911,
AT,BOS,N,1,0,0,0,0,5,8,24,0,5,2,6,0,1,0,0,0,1,,,,,,,,,8-30-1911,2
VS,STL,N,0,0,0,0,0,5.1,6,23,0,3,1,3,1,0,0,0,0,,,,,,,,,,9- 2-1911,1
AT,STL,N,1,1,1,0,0,9,3,30,0,0,0,1,3,0,1,0,0,1,0,1,0,,,,,,9- 7-1911,
AT,STL,N,0,0,0,0,0,2,2,9,0,2,0,0,4,0,0,0,0,0,0,,,,,,,,9-10-1911,
AT,CIN,N,0,0,0,1,1,2,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,9-13-1911,
VS,CHI,N,1,1,0,0,0,9,5,38,0,2,2,7,4,1,0,0,0,1,1,1,0,,,,,,9-15-1911,1
VS,BOS,N,1,1,0,0,0,9,9,35,0,2,2,2,2,0,0,0,0,2,0,1,0,,,,,,9-20-1911,
VS,BRO,N,1,0,0,0,0,3,7,15,0,4,0,0,1,0,0,0,0,1,,,,,,,,,9-25-1911,
VS,BRO,N,0,0,0,1,0,1,2,8,0,2,2,0,0,0,0,0,0,,,,,,,,,,9-26-1911,
VS,PHI,N,0,0,0,1,0,8,5,30,0,3,1,7,0,1,0,0,0,0,1,Date,#,Opponent,GS,CG,SHO,GF,9-29-1911,
VS,NY,N,1,1,0,0,0,9,9,34,0,3,3,2,3,2,0,0,0,1,0,0,1,,,,,,10- 2-1911,
