at_vs,Opponent,League,GS,CG,SHO,GF,SV,IP,H,BFP,HR,R,ER,BB,IB,SO,SH,SF,WP,HBP,BK,2B,3B,GDP,ROE,W,L,ERA,Date,dblhead_num
AT,CIN,N,1,0,0,0,0,6,5,27,1,4,4,3,1,7,0,0,0,1,0,1,0,0,0,0,0,6.00,7-10-2014,
VS,SD,N,1,0,0,0,0,7,5,27,0,0,0,3,0,5,0,0,0,0,0,1,0,3,1,1,0,2.77,7-22-2014,
VS,STL,N,1,0,0,0,0,6.1,7,23,1,1,1,0,0,2,0,0,0,0,0,1,0,2,0,0,1,2.33,7-27-2014,
AT,LA,N,1,0,0,0,0,7,4,26,0,2,1,1,1,3,0,0,0,0,0,0,0,1,2,1,0,2.05,8- 1-2014,
AT,COL,N,1,0,0,0,0,8,5,31,0,2,1,1,0,4,1,0,0,0,0,2,0,0,1,1,0,1.83,8- 7-2014,
VS,MIL,N,1,0,0,0,0,7.1,6,28,0,0,0,1,0,5,0,0,0,1,0,0,0,1,0,1,0,1.51,8-12-2014,
AT,NY,N,1,0,0,0,0,7,3,25,1,1,1,2,0,3,0,0,0,0,0,0,0,0,0,1,0,1.48,8-18-2014,
VS,BAL,A,1,0,0,0,0,2,5,11,0,2,2,0,0,2,0,0,0,0,0,3,0,0,0,0,0,1.78,8-23-2014,
AT,STL,N,1,0,0,0,0,6,5,25,0,2,2,1,0,3,1,0,0,1,0,0,0,0,0,0,0,1.91,8-29-2014,
VS,MIL,N,1,0,0,0,0,5.2,9,25,0,2,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2.02,9- 3-2014,
AT,TOR,A,1,0,0,0,0,5.2,6,24,0,4,4,2,0,5,0,1,0,0,0,2,0,1,0,0,1,2.38,9-10-2014,
VS,CIN,N,1,0,0,0,0,7,7,28,0,1,1,0,0,4,2,0,0,1,0,1,0,1,0,1,0,2.28,9-17-2014,
VS,STL,N,1,0,0,0,0,5.1,5,21,1,3,3,1,0,4,0,0,0,0,0,1,0,1,0,0,0,2.46,9-23-2014,
AT,COL,N,1,0,0,0,0,4.1,8,21,0,5,5,1,0,3,0,0,0,0,0,1,1,0,0,0,0,10.38,4-12-2015,
VS,SD,N,1,0,0,0,0,6,3,21,1,2,2,0,0,8,0,0,0,0,0,0,0,0,1,0,0,6.10,4-18-2015,
AT,PIT,N,1,0,0,0,0,5.1,5,21,1,3,3,0,0,2,0,0,0,0,0,3,0,0,0,0,0,5.74,4-23-2015,
VS,PIT,N,1,0,0,0,0,5,5,24,0,2,2,3,0,6,0,0,0,1,0,0,0,0,1,0,1,5.23,4-29-2015,
AT,STL,N,1,0,0,0,0,5,6,23,1,4,4,2,0,1,0,0,0,2,0,2,0,2,1,0,0,5.61,5- 5-2015,
AT,MIL,N,1,0,0,0,0,5.1,5,22,0,0,0,2,0,3,0,0,0,0,0,0,0,1,0,0,0,4.65,5-10-2015,
VS,PIT,N,1,0,0,0,0,5.2,8,26,1,5,5,1,0,7,0,0,0,0,0,2,0,0,0,0,0,5.15,5-15-2015,
AT,SD,N,1,1,1,0,0,9,5,30,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,1,0,4.14,5-21-2015,
VS,WAS,N,1,0,0,0,0,7,4,25,1,1,1,2,0,4,1,0,0,1,0,1,0,2,0,0,0,3.76,5-26-2015,
AT,MIA,N,1,0,0,0,0,6,7,27,0,4,4,2,0,7,0,0,0,0,0,2,0,0,0,0,1,3.99,6- 2-2015,
AT,WAS,N,1,0,0,0,0,5,6,22,1,3,2,0,0,4,0,0,0,0,0,0,0,0,1,1,0,3.96,6- 7-2015,
VS,CIN,N,1,0,0,0,0,5,4,18,1,1,1,0,0,7,0,0,0,0,0,1,0,0,0,0,0,3.80,6-13-2015,
AT,MIN,A,1,0,0,0,0,5,11,26,0,7,6,1,0,1,0,0,1,0,0,5,1,0,1,0,1,4.28,6-19-2015,
VS,LA,N,1,0,0,0,0,5,4,19,2,4,4,1,0,3,0,0,0,0,0,1,0,1,0,0,1,4.46,6-24-2015,
AT,NY,N,1,0,0,0,0,6,3,22,0,0,0,1,0,6,0,0,0,0,0,1,0,0,0,1,0,4.15,6-30-2015,
VS,MIA,N,1,0,0,0,0,7.1,5,26,0,0,0,1,0,6,0,0,0,0,0,0,0,1,0,1,0,3.82,7- 5-2015,
VS,CHI,A,1,0,0,0,0,7,5,26,0,0,0,0,0,4,2,0,0,1,0,0,0,1,0,0,0,3.55,7-10-2015,
AT,ATL,N,1,0,0,0,0,5.2,4,23,0,2,1,1,0,5,0,0,0,0,0,2,0,0,1,0,0,3.44,7-17-2015,
AT,CIN,N,1,0,0,0,0,6,7,27,1,5,5,2,0,9,0,0,0,0,1,2,0,0,0,0,1,3.66,7-22-2015,1
VS,COL,N,1,0,0,0,0,5,7,24,1,4,4,3,0,4,0,0,0,0,0,0,0,0,0,0,0,3.81,7-27-2015,
AT,MIL,N,1,0,0,0,0,7,4,27,0,1,1,2,0,6,1,0,0,1,0,0,0,0,0,1,0,3.67,8- 1-2015,
VS,SF,N,1,0,0,0,0,5.1,5,23,1,3,3,2,0,5,0,0,0,0,0,1,0,1,1,1,0,3.73,8- 8-2015,
AT,CHI,A,1,0,0,0,0,3.1,8,20,1,5,5,3,0,3,0,0,0,0,0,2,0,1,0,0,0,3.97,8-14-2015,
VS,ATL,N,1,0,0,0,0,5,7,25,0,3,3,1,0,7,2,0,1,0,0,1,0,0,2,0,0,4.03,8-21-2015,
AT,SF,N,1,0,0,0,0,6,5,26,1,4,4,3,0,6,0,0,0,0,0,2,1,1,1,0,1,4.11,8-26-2015,
VS,CIN,N,1,0,0,0,0,5,5,23,0,3,3,3,1,4,0,0,0,1,0,0,0,1,0,0,0,4.15,8-31-2015,
VS,ARI,N,1,0,0,0,0,5,3,19,0,1,1,2,0,4,0,0,1,0,0,2,0,0,2,0,0,4.08,9- 6-2015,
AT,PHI,N,1,0,0,0,0,6.2,4,25,0,3,3,2,0,5,0,0,0,0,0,3,0,1,0,1,0,4.08,9-11-2015,2
AT,PIT,N,1,0,0,0,0,3,6,15,3,4,4,0,0,5,0,0,0,1,0,0,0,0,0,0,0,4.22,9-17-2015,
VS,MIL,N,1,0,0,0,0,6,4,22,0,3,3,0,0,8,0,0,0,0,0,1,0,0,0,0,1,4.23,9-23-2015,
VS,KC,A,1,0,0,0,0,6,2,22,0,0,0,2,0,9,0,0,0,0,0,1,0,0,0,0,0,4.09,9-28-2015,
AT,MIL,N,1,0,0,0,0,6,1,19,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,3.95,10- 3-2015,
AT,ARI,N,1,0,0,0,0,6.2,4,25,0,2,2,1,0,5,1,0,1,0,0,1,0,0,0,1,0,2.70,4- 9-2016,
VS,COL,N,1,0,0,0,0,6,8,26,0,4,3,0,0,5,0,0,0,0,0,0,0,1,1,0,1,3.55,4-15-2016,
AT,STL,N,1,0,0,0,0,5.1,7,24,1,4,4,2,1,5,0,0,1,0,0,3,0,1,0,0,1,4.50,4-20-2016,
VS,MIL,N,1,0,0,0,0,5,2,17,0,1,1,1,0,4,0,1,0,0,0,1,0,1,0,0,0,3.91,4-26-2016,
VS,WAS,N,1,0,0,0,0,6,2,22,0,0,0,2,0,4,0,0,0,1,0,1,0,0,0,1,0,3.10,5- 5-2016,
VS,SD,N,1,0,0,0,0,6.2,6,28,0,3,2,1,0,8,1,0,0,1,0,0,0,1,1,0,0,3.03,5-11-2016,1
AT,MIL,N,1,0,0,0,0,5.1,5,23,1,4,4,2,0,6,0,0,0,0,0,1,0,0,0,0,1,3.51,5-17-2016,
AT,SF,N,1,0,0,0,0,5.1,3,22,0,1,1,3,0,1,0,0,0,0,0,2,0,0,0,0,1,3.30,5-22-2016,
VS,PHI,N,1,1,0,0,0,9,5,32,0,1,1,0,0,7,0,0,0,1,0,2,0,0,0,1,0,2.93,5-28-2016,
VS,LA,N,1,0,0,0,0,8,3,27,1,2,2,1,0,6,1,1,1,1,0,0,0,2,0,1,0,2.84,6- 2-2016,
AT,PHI,N,1,0,0,0,0,5,4,21,1,2,2,2,0,6,0,0,0,0,0,1,0,0,0,0,1,2.90,6- 7-2016,
AT,WAS,N,1,0,0,0,0,5.1,6,27,1,4,3,4,1,4,1,0,0,0,0,1,0,0,1,0,1,3.05,6-13-2016,
VS,PIT,N,1,0,0,0,0,6,7,26,1,1,1,0,0,12,0,0,0,0,0,1,0,0,1,1,0,2.94,6-19-2016,
AT,MIA,N,1,0,0,0,0,5,1,22,1,4,0,4,0,5,0,0,1,1,0,0,0,0,1,0,0,2.76,6-24-2016,
AT,CIN,N,1,0,0,0,0,6.2,8,28,1,2,2,2,0,5,0,0,0,0,0,1,0,1,0,1,0,2.76,6-29-2016,
VS,CIN,N,1,0,0,0,0,5.1,4,22,0,1,0,1,0,2,0,0,0,0,0,1,0,0,1,1,0,2.61,7- 4-2016,
VS,ATL,N,0,0,0,0,0,2,0,7,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2.55,7- 7-2016,
VS,TEX,A,1,0,0,0,0,6,3,23,0,0,0,2,0,3,0,0,0,1,0,0,0,0,0,1,0,2.41,7-15-2016,
VS,NY,N,1,0,0,0,0,6.1,7,25,0,0,0,1,0,7,0,0,0,0,0,2,0,1,0,1,0,2.27,7-20-2016,
AT,CHI,A,1,0,0,0,0,5.2,6,24,1,3,3,2,0,7,0,0,0,0,0,0,0,1,0,0,1,2.39,7-26-2016,
VS,MIA,N,1,1,1,0,0,9,7,33,0,0,0,3,1,5,0,0,0,0,0,1,0,1,0,1,0,2.22,8- 1-2016,
AT,OAK,A,1,0,0,0,0,7.1,3,25,1,1,1,0,0,4,0,0,0,0,0,0,0,0,0,1,0,2.17,8- 7-2016,
VS,STL,N,1,0,0,0,0,7,5,27,2,2,2,0,0,12,0,0,0,1,0,0,0,0,0,0,0,2.19,8-13-2016,
AT,COL,N,1,0,0,0,0,6,4,21,1,1,1,1,0,3,0,0,0,0,0,1,0,0,0,0,0,2.16,8-19-2016,
AT,SD,N,1,0,0,0,0,6,4,25,0,2,2,2,0,8,0,1,0,0,0,1,2,0,1,1,0,2.19,8-24-2016,
VS,PIT,N,1,0,0,0,0,7,3,23,0,0,0,1,0,4,0,0,0,0,0,1,0,0,0,1,0,2.09,8-30-2016,
AT,MIL,N,1,0,0,0,0,6,5,23,1,1,1,2,0,6,0,0,1,0,0,1,0,1,0,1,0,2.07,9- 5-2016,
AT,STL,N,1,0,0,0,0,8,1,26,1,1,1,2,0,7,0,0,0,0,0,0,0,1,0,1,0,2.03,9-12-2016,
VS,MIL,N,1,0,0,0,0,6,6,24,0,2,2,0,0,9,0,0,0,0,0,2,0,0,0,0,1,2.06,9-18-2016,
AT,PIT,N,1,0,0,0,0,6,7,25,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,1,0,1.99,9-26-2016,
AT,CIN,N,1,0,0,0,0,5,6,22,0,4,4,1,0,4,0,0,0,1,0,2,0,0,0,0,0,2.13,10- 2-2016,
AT,MIL,N,1,0,0,0,0,6,5,24,2,4,4,1,0,6,0,0,0,0,0,1,0,0,0,1,0,6.00,4- 8-2017,
VS,PIT,N,1,0,0,0,0,5,6,22,0,3,3,2,1,3,0,0,0,0,0,2,0,1,1,0,1,5.73,4-14-2017,
VS,MIL,N,1,0,0,0,0,5,4,23,2,4,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,6.19,4-19-2017,
AT,PIT,N,1,0,0,0,0,6,4,23,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,1,0,4.50,4-25-2017,
AT,BOS,A,1,0,0,0,0,6,3,22,1,2,2,3,0,6,0,0,0,0,0,0,0,1,0,0,0,4.18,4-30-2017,
VS,NY,A,1,0,0,0,0,5.1,6,23,0,0,0,2,0,5,1,0,0,1,0,2,0,1,0,0,0,3.51,5- 5-2017,
AT,COL,N,1,0,0,0,0,6.1,4,25,0,3,2,2,0,7,0,1,0,0,0,0,0,1,1,0,1,3.40,5-10-2017,
VS,CIN,N,1,0,0,0,0,6,6,26,1,2,2,2,0,4,1,0,0,0,0,0,0,0,0,1,0,3.35,5-17-2017,
VS,SF,N,1,0,0,0,0,7,5,26,1,2,2,0,0,5,0,0,0,0,0,1,0,0,0,1,0,3.25,5-24-2017,
AT,SD,N,1,0,0,0,0,5,6,21,1,5,5,0,0,5,0,0,0,1,0,0,0,0,0,0,1,3.75,5-29-2017,
VS,STL,N,1,0,0,0,0,4,4,18,1,4,4,3,0,3,0,0,0,0,0,1,0,1,0,0,0,4.09,6- 4-2017,
