at_vs,Opponent,League,GS,CG,SHO,GF,SV,IP,H,BFP,HR,R,ER,BB,IB,SO,SH,SF,WP,HBP,BK,2B,3B,GDP,ROE,W,L,ERA,Date,dblhead_num
AT,DET,A,1,0,0,0,0,5.2,5,25,0,2,2,4,0,1,1,0,0,0,0,0,0,0,0,0,0,3.18,9-12-1956,
AT,CHI,A,1,0,0,0,0,2,4,11,1,4,4,1,0,1,0,0,0,0,0,1,1,0,0,0,1,7.04,9-16-1956,1
AT,BAL,A,1,0,0,0,0,6,9,27,0,5,5,1,0,3,0,1,1,0,0,1,0,0,1,0,0,7.24,9-22-1956,
VS,BAL,A,1,1,0,0,0,9,6,34,1,1,1,2,0,4,0,0,0,0,0,2,0,2,1,1,0,4.76,9-29-1956,
VS,BAL,A,1,0,0,0,0,6.2,6,31,0,2,2,5,1,3,0,1,0,0,0,2,0,0,0,0,0,2.70,4-21-1957,2
VS,BOS,A,1,0,0,0,0,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.57,4-25-1957,
AT,CHI,A,0,0,0,1,0,2,3,10,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.00,5- 2-1957,
AT,KC,A,0,0,0,1,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.70,5- 5-1957,
AT,BOS,A,0,0,0,1,0,3,1,13,0,1,1,3,0,4,0,0,0,0,0,0,0,0,0,0,0,2.77,5-12-1957,1
VS,CHI,A,0,0,0,0,0,2,3,10,1,3,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4.20,5-16-1957,
VS,CLE,A,0,0,0,0,0,2.2,3,10,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3.57,5-18-1957,
VS,DET,A,0,0,0,0,0,1,1,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3.38,5-19-1957,
VS,NY,A,0,0,0,1,0,6,6,27,0,3,2,3,0,3,0,0,0,0,0,0,0,1,1,0,0,3.28,5-30-1957,2
VS,BOS,A,0,0,0,0,0,4,6,17,1,4,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4.08,6- 1-1957,
AT,CLE,A,0,0,0,0,0,3,4,14,0,3,3,1,0,0,1,0,0,0,0,2,0,0,0,0,0,4.55,6- 9-1957,1
AT,CHI,A,0,0,0,1,0,3,2,11,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,4.15,6-14-1957,
VS,CLE,A,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.04,6-22-1957,
VS,CLE,A,0,0,0,0,0,1.2,2,7,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4.10,6-23-1957,1
