at_vs,Opponent,League,GS,CG,SHO,GF,SV,IP,H,BFP,HR,R,ER,BB,IB,SO,SH,SF,WP,HBP,BK,2B,3B,GDP,ROE,W,L,ERA,Date,dblhead_num
VS,CLE,A,1,0,0,0,0,6,2,20,1,1,1,1,0,3,0,0,0,0,0,0,0,0,0,1,0,1.50,7- 4-2022,1
AT,CHI,A,1,0,0,0,0,5,6,24,1,6,6,2,0,1,0,0,0,1,0,3,0,0,0,0,1,5.73,7- 9-2022,
AT,OAK,A,1,0,0,0,0,5,5,21,1,3,3,2,0,4,0,0,0,0,0,0,0,0,0,0,1,5.62,7-21-2022,2
VS,SD,N,1,0,0,0,0,5,5,24,0,3,3,4,0,2,0,0,0,0,0,2,0,0,0,0,0,5.57,7-26-2022,
AT,TOR,A,1,0,0,0,0,5,6,23,1,4,4,2,0,1,0,0,0,0,0,2,0,2,2,0,1,5.88,7-31-2022,
VS,TB,A,1,0,0,0,0,5.2,6,26,1,1,1,3,0,6,0,0,0,0,0,2,0,0,0,1,0,5.12,8- 6-2022,
VS,CLE,A,1,0,0,0,0,5,4,23,1,3,1,2,0,1,0,0,0,2,0,0,0,0,1,0,0,4.66,8-11-2022,
AT,CLE,A,1,0,0,0,0,6,4,24,0,1,1,2,0,3,0,0,1,0,0,0,0,0,0,1,0,4.22,8-16-2022,
AT,TEX,A,0,0,0,0,0,3,2,11,0,0,0,1,0,4,0,0,0,0,0,0,0,1,0,0,0,3.94,8-26-2022,
VS,SEA,A,0,0,0,0,0,3,1,11,0,0,0,2,0,2,0,0,0,0,0,1,0,1,0,0,0,3.70,9- 1-2022,
AT,ANA,A,0,0,0,0,0,1,3,7,1,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3.99,9- 5-2022,
VS,HOU,A,0,0,0,0,0,2,0,7,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,3.83,9-12-2022,
VS,CHI,A,0,0,0,0,0,2,3,11,1,3,3,2,0,3,0,0,1,0,0,0,0,0,0,0,0,4.19,9-18-2022,
AT,CHI,A,0,0,0,1,0,2,0,7,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4.04,9-24-2022,
VS,KC,A,0,0,0,0,0,2,2,10,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,3.90,9-28-2022,
VS,MIN,A,0,0,0,0,0,1,0,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3.84,10- 2-2022,
AT,SEA,A,0,0,0,0,0,1.2,4,10,0,2,2,0,0,2,0,1,0,1,0,0,0,0,0,0,0,4.03,10- 4-2022,2
