at_vs,Opponent,League,GS,CG,SHO,GF,SV,IP,H,BFP,HR,R,ER,BB,IB,SO,SH,SF,WP,HBP,BK,2B,3B,GDP,ROE,W,L,ERA,Date,dblhead_num
VS,MIL,A,1,0,0,0,0,6,9,29,0,5,5,3,0,2,0,0,0,0,0,1,0,0,0,0,0,7.50,8-21-1993,
AT,MIL,A,1,0,0,0,0,5.2,8,30,1,7,7,4,0,3,1,0,1,1,0,2,0,0,0,0,1,9.26,8-27-1993,1
VS,BAL,A,1,0,0,0,0,7,7,31,0,5,5,3,0,2,0,0,0,1,0,2,0,0,0,0,1,8.20,9- 1-1993,
AT,MIN,A,0,0,0,1,0,1,2,5,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,8.24,9-27-1993,
AT,OAK,A,1,0,0,0,0,3.2,8,22,1,6,5,3,0,2,0,0,0,1,0,2,0,0,0,0,1,8.87,10- 1-1993,
AT,TOR,A,0,0,0,0,0,0.2,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00,7-19-1995,
VS,DET,A,0,0,0,1,0,1,1,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,7-23-1995,
VS,CLE,A,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00,7-24-1995,
AT,MIL,A,0,0,0,1,0,1,1,5,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2.45,7-28-1995,
VS,TEX,A,0,0,0,1,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.93,8- 6-1995,
AT,BOS,A,0,0,0,0,0,0.1,2,4,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.60,9- 1-1995,
AT,BOS,A,0,0,0,0,0,0.2,1,4,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,4.76,9- 3-1995,
AT,BAL,A,0,0,0,0,0,0.2,3,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.68,9- 5-1995,
VS,MIN,A,0,0,0,0,0,0.2,0,6,0,1,0,2,1,1,0,0,0,1,0,0,0,0,1,0,1,5.14,9-10-1995,
VS,CHI,A,0,0,0,1,0,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.91,9-13-1995,
VS,KC,A,0,0,0,1,0,1,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4.32,9-17-1995,
AT,SEA,A,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.40,10- 2-1995,
VS,MIL,A,0,0,0,0,0,1,3,7,1,2,2,0,0,1,0,0,0,1,0,1,0,0,0,0,0,18.00,4- 2-1996,
VS,CHI,A,0,0,0,0,0,0.1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13.50,4- 5-1996,
VS,CHI,A,0,0,0,0,0,0.2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.00,4- 7-1996,
AT,TOR,A,0,0,0,0,0,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7.71,4-10-1996,
AT,TOR,A,0,0,0,1,0,1,1,4,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8.10,4-11-1996,
AT,SEA,A,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10.80,4-15-1996,
AT,CHI,A,0,0,0,0,0,2.2,3,12,0,2,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,6.00,4-28-1996,
AT,CHI,A,0,0,0,0,0,0.1,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5.68,4-29-1996,
VS,MIN,A,0,0,0,0,0,0.2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.14,5- 5-1996,
VS,KC,A,0,0,0,0,0,1.2,4,9,0,3,3,0,0,2,0,0,0,0,0,1,1,0,0,0,0,7.27,5- 6-1996,
VS,KC,A,0,0,0,1,0,1,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6.52,5- 7-1996,
VS,KC,A,0,0,0,0,0,1,2,6,1,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7.59,5- 9-1996,
VS,CLE,A,0,0,0,0,0,1,0,5,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,6.94,5-11-1996,
AT,BOS,A,0,0,0,0,0,0,2,3,1,3,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,8.49,5-15-1996,
AT,NY,A,0,0,0,0,0,0.2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8.03,5-17-1996,
AT,BAL,A,0,0,0,0,0,0.2,4,8,0,4,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,10.38,5-20-1996,
AT,BAL,A,0,0,0,0,0,1.1,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,9.42,5-22-1996,
VS,BOS,A,0,0,0,0,0,0.2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.00,5-25-1996,
VS,BOS,A,0,0,0,1,0,2,1,7,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,7.94,5-26-1996,
VS,NY,A,0,0,0,0,0,1,2,5,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.50,5-27-1996,
VS,BAL,A,0,0,0,0,0,1.2,5,10,0,4,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,9.61,6- 2-1996,
AT,MIN,A,0,0,0,0,0,2.1,1,8,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8.59,6- 5-1996,
AT,CLE,A,0,0,0,0,0,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.46,6- 9-1996,
VS,BAL,A,0,0,0,0,0,2.1,3,12,1,2,2,2,0,1,0,0,0,0,0,1,0,0,0,0,0,8.39,9- 2-1996,
VS,BAL,A,0,0,0,0,0,0,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.76,9- 4-1996,
VS,BAL,A,0,0,0,0,0,0.2,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.00,5-16-1997,
VS,BAL,A,0,0,0,1,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00,5-17-1997,
AT,ANA,A,0,0,0,0,0,2,3,12,0,2,2,2,0,2,0,0,0,0,0,1,0,0,1,0,0,4.91,5-21-1997,
AT,KC,A,0,0,0,0,0,0,2,3,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12.27,5-24-1997,
AT,MIN,A,0,0,0,0,0,0.1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11.25,5-27-1997,
AT,CLE,A,0,0,0,1,1,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.38,7-23-1997,
AT,NY,A,0,0,0,0,0,0.2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9.00,7-25-1997,
AT,NY,A,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.00,7-26-1997,
AT,BOS,A,0,0,0,0,0,0.1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.44,7-30-1997,
AT,MIN,A,0,0,0,0,0,1.2,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.43,9- 7-1997,
AT,KC,A,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.43,9- 9-1997,
AT,OAK,A,0,0,0,0,0,1,1,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5.62,9-20-1997,
VS,ANA,A,0,0,0,0,0,1,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.00,9-24-1997,
VS,OAK,A,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.00,9-28-1997,
AT,DET,A,0,0,0,1,0,2.2,6,15,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3.38,8-14-1998,
VS,TOR,A,0,0,0,0,0,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.00,8-17-1998,
VS,TOR,A,0,0,0,0,0,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.70,8-18-1998,
AT,BOS,A,0,0,0,0,0,0.2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.25,8-26-1998,
AT,CLE,A,0,0,0,0,0,0.2,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.93,8-29-1998,
AT,CLE,A,0,0,0,1,0,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.80,8-30-1998,
AT,NY,A,0,0,0,1,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.50,9- 1-1998,
VS,TB,A,0,0,0,0,0,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42,9- 4-1998,
VS,BAL,A,0,0,0,0,0,1.1,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1.17,9- 8-1998,
AT,MIN,A,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17,9-12-1998,
AT,MIN,A,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1.04,9-13-1998,
AT,KC,A,0,0,0,1,0,1,5,8,0,4,4,1,0,0,0,1,1,0,0,2,0,1,0,0,0,4.66,9-14-1998,
AT,TEX,A,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.59,9-19-1998,
VS,BOS,A,0,0,0,0,0,0.1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00,6- 4-2000,
VS,TB,A,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,6- 5-2000,
AT,BAL,A,0,0,0,0,0,2,1,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00,6-10-2000,
VS,FLA,N,0,0,0,0,0,0.2,2,4,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,3.00,6-13-2000,
VS,FLA,N,0,0,0,0,0,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.70,6-14-2000,
VS,ATL,N,0,0,0,1,0,1,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2.08,6-17-2000,
VS,ATL,N,0,0,0,0,0,1,2,6,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,3.38,6-18-2000,
AT,NY,N,0,0,0,0,0,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.18,6-20-2000,
AT,NY,N,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.18,6-21-2000,
AT,MON,N,0,0,0,0,0,1,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.70,6-23-2000,
AT,MON,N,0,0,0,0,0,1,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2.35,6-25-2000,
VS,MIL,N,0,0,0,1,0,1,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2.08,6-27-2000,
VS,MIL,N,0,0,0,0,0,0.2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.93,6-28-2000,
VS,MIL,N,0,0,0,1,0,2,2,7,0,1,1,0,0,1,0,0,0,0,0,2,0,1,0,0,0,2.38,6-29-2000,
VS,PIT,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.38,7- 1-2000,
AT,CHI,N,0,0,0,1,0,0.1,2,3,0,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,1,3.09,7-19-2000,
AT,PIT,N,0,0,0,1,0,1,4,7,0,3,3,0,0,2,0,0,0,0,0,3,0,0,0,0,0,4.97,7-21-2000,
VS,CHI,N,0,0,0,0,0,3,5,16,1,4,4,2,0,3,0,0,0,0,0,0,0,0,0,0,0,6.32,7-26-2000,
VS,LA,N,0,0,0,0,0,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.60,7-28-2000,
