at_vs,Opponent,League,GS,CG,SHO,GF,SV,IP,H,BFP,HR,R,ER,BB,IB,SO,SH,SF,WP,HBP,BK,2B,3B,GDP,ROE,W,L,ERA,Date,dblhead_num
AT,ARI,N,1,0,0,0,0,5,4,22,0,1,1,2,0,8,0,0,1,1,0,0,0,0,0,1,0,1.80,6-11-2005,
VS,HOU,N,1,0,0,0,0,6,5,26,1,4,4,3,0,3,0,0,0,1,0,3,0,0,0,0,1,4.09,6-17-2005,
AT,CHI,A,1,0,0,0,0,5,7,25,1,5,5,4,0,2,0,0,0,1,0,4,0,2,0,0,1,5.62,6-22-2005,
AT,MIN,A,1,0,0,0,0,3.1,6,18,0,5,5,4,0,1,1,0,0,0,0,1,0,0,0,0,0,6.98,6-28-2005,
VS,SEA,A,1,0,0,0,0,5,8,23,1,6,6,1,0,2,0,0,0,0,0,0,0,2,1,0,1,7.77,7- 4-2005,
VS,MIN,A,1,0,0,0,0,1.2,4,11,1,4,4,3,0,0,0,0,2,1,0,1,0,1,0,0,0,8.65,7- 9-2005,
AT,DET,A,1,0,0,0,0,4.1,6,23,0,3,2,2,0,2,2,1,0,0,0,2,0,0,2,0,0,8.01,7-16-2005,
AT,CLE,A,1,0,0,0,0,6,5,23,2,4,4,0,0,6,0,0,0,0,0,2,0,0,0,0,1,7.68,7-21-2005,
AT,NY,A,1,0,0,0,0,6,4,24,0,3,3,4,0,3,0,1,1,0,0,1,0,1,0,0,0,7.23,8-27-2005,
VS,TEX,A,1,0,0,0,0,6,5,25,1,4,4,2,0,7,0,0,2,0,0,2,0,1,1,0,1,7.08,9- 1-2005,
AT,CHI,A,1,0,0,0,0,6,2,25,0,2,2,5,0,5,0,0,0,0,0,1,0,0,0,1,0,6.63,9- 8-2005,
VS,CHI,A,1,0,0,0,0,3,7,17,2,6,6,1,0,1,0,1,0,0,0,2,0,0,0,0,0,7.22,9-14-2005,
VS,DET,A,1,0,0,0,0,4,6,21,0,4,4,3,0,2,0,0,1,1,0,0,0,1,0,0,0,7.34,9-20-2005,1
AT,MIN,A,1,0,0,0,0,5,0,19,0,0,0,3,0,7,0,0,0,1,0,0,0,0,0,1,0,6.78,9-26-2005,
AT,TOR,A,1,0,0,0,0,6.1,4,26,0,4,0,2,0,5,0,0,0,0,0,0,0,2,3,0,0,6.19,10- 1-2005,
VS,DET,A,1,0,0,0,0,3.2,9,21,1,6,6,1,0,2,0,0,0,0,0,0,1,0,0,0,1,14.73,8- 1-2006,
VS,BOS,A,1,0,0,0,0,4.2,5,23,1,5,4,3,0,7,0,0,0,1,0,0,0,0,0,0,0,10.80,8- 6-2006,
AT,BAL,A,1,0,0,0,0,6,6,23,0,2,2,1,0,6,0,1,0,0,0,0,0,2,0,0,0,7.53,8-27-2006,
VS,SEA,A,1,0,0,0,0,6.2,8,29,0,3,3,3,0,5,0,1,0,0,0,1,0,0,0,0,1,6.43,9- 2-2006,
