at_vs,Opponent,League,GS,CG,SHO,GF,SV,IP,H,BFP,HR,R,ER,BB,IB,SO,SH,SF,WP,HBP,BK,2B,3B,GDP,ROE,W,L,ERA,Date,dblhead_num
VS,TOR,A,1,0,0,0,0,5,8,28,2,6,6,2,0,4,0,0,0,0,0,1,0,0,3,0,0,10.80,8- 1-2008,
VS,NY,A,1,0,0,0,0,4.1,8,21,1,5,5,0,0,4,0,0,0,0,0,2,0,0,0,0,1,10.61,8- 6-2008,
AT,BOS,A,1,0,0,0,0,1.2,7,14,1,9,9,1,0,1,0,0,0,1,0,2,0,0,0,0,1,16.36,8-14-2008,
VS,OAK,A,1,0,0,0,0,5.1,7,26,1,3,3,3,0,1,0,0,0,0,0,2,0,0,0,0,0,5.06,5-29-2009,1
VS,SD,N,1,0,0,0,0,6.1,7,24,1,2,2,0,0,3,0,0,0,0,0,1,1,2,0,0,1,3.86,6-28-2009,
VS,TB,A,1,0,0,0,0,5.1,3,22,0,1,1,3,0,5,0,0,0,0,0,0,0,0,1,1,0,3.18,7- 3-2009,
AT,SEA,A,1,0,0,0,0,6,4,24,0,0,0,3,1,4,1,0,0,0,0,0,0,1,0,0,0,2.35,7- 9-2009,
VS,BOS,A,1,0,0,0,0,6,4,22,0,1,1,1,0,2,0,0,0,0,0,2,0,0,0,1,0,2.17,7-21-2009,
VS,DET,A,1,0,0,0,0,7,5,28,1,1,1,2,0,6,0,0,1,0,0,1,0,0,1,1,0,2.00,7-27-2009,
VS,SEA,A,1,0,0,0,0,5,7,27,1,5,4,3,0,5,0,0,1,1,0,2,1,0,2,0,1,2.63,8- 1-2009,
AT,OAK,A,1,0,0,0,0,7,3,25,0,3,2,2,0,4,0,0,0,0,0,2,0,1,0,1,0,2.62,8- 6-2009,
AT,CLE,A,1,0,0,0,0,7.2,6,28,0,0,0,0,0,5,0,0,1,0,0,1,0,2,1,1,0,2.26,8-12-2009,
VS,MIN,A,1,0,0,0,0,5.2,4,24,1,4,4,3,0,5,0,0,1,0,0,2,0,0,0,1,0,2.64,8-17-2009,
AT,TB,A,1,0,0,0,0,5,7,22,2,3,3,2,0,1,0,0,0,0,1,1,0,2,1,0,0,2.85,8-22-2009,
AT,MIN,A,1,0,0,0,0,7,7,29,0,3,3,0,0,3,0,0,0,1,0,1,1,0,0,0,1,2.95,8-28-2009,
VS,TOR,A,1,0,0,0,0,7,5,27,2,4,4,2,0,4,0,0,0,0,0,1,0,0,1,1,0,3.14,9- 2-2009,
