at_vs,Opponent,League,GS,CG,SHO,GF,SV,IP,H,BFP,HR,R,ER,BB,IB,SO,SH,SF,WP,HBP,BK,2B,3B,GDP,ROE,W,L,ERA,Date,dblhead_num
VS,KC,A,0,0,0,0,0,2,2,8,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0.00,5-22-1995,
AT,OAK,A,0,0,0,0,0,2,4,10,0,1,1,0,0,1,0,0,1,0,0,2,0,0,0,0,0,2.25,7- 7-1995,
AT,OAK,A,0,0,0,0,0,2,2,10,0,2,2,2,1,1,1,0,1,0,0,2,0,0,0,0,0,4.50,7-12-1995,
AT,SEA,A,0,0,0,0,0,6.2,4,24,1,1,1,2,0,3,0,0,1,0,0,0,0,1,0,1,0,2.84,7-16-1995,
VS,SEA,A,1,0,0,0,0,7,8,30,2,3,3,2,0,5,0,0,0,1,0,2,0,1,0,1,0,3.20,7-21-1995,
VS,MIN,A,1,1,0,0,0,9,7,35,0,2,2,2,0,5,0,0,0,1,0,4,0,0,0,1,0,2.83,7-27-1995,
AT,BAL,A,1,0,0,0,0,5,8,24,3,9,9,4,0,1,0,1,1,0,0,0,0,2,0,0,0,4.81,8- 1-1995,
VS,BOS,A,1,0,0,0,0,7,8,31,1,6,6,5,0,2,0,0,1,0,0,1,0,1,0,0,1,5.31,8- 6-1995,
AT,TEX,A,1,0,0,0,0,8,6,32,2,5,5,3,0,1,0,0,0,0,0,0,0,0,0,1,0,5.36,8-11-1995,
AT,DET,A,1,0,0,0,0,7,9,35,1,4,3,4,0,3,0,0,0,0,0,0,0,0,1,1,0,5.17,8-16-1995,
VS,CLE,A,1,0,0,0,0,5,4,28,1,6,5,7,1,2,0,1,1,1,0,1,0,0,1,0,1,5.49,8-21-1995,
VS,CHI,A,1,0,0,0,0,8,8,36,0,2,2,4,1,0,0,0,0,2,0,1,0,1,0,0,0,5.11,8-26-1995,
AT,CLE,A,1,0,0,0,0,6,6,25,0,3,3,2,0,4,0,1,4,0,0,1,0,0,0,0,0,5.06,8-31-1995,
AT,KC,A,1,0,0,0,0,3,5,17,0,5,5,3,0,2,1,0,1,0,0,2,0,0,1,0,0,5.45,9- 5-1995,
VS,CHI,A,0,0,0,1,0,2,1,7,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0.00,3-31-1996,
VS,MIL,A,1,0,0,0,0,4,8,22,3,8,7,3,0,3,0,0,0,0,0,1,0,0,0,0,1,10.50,4- 5-1996,
AT,DET,A,1,0,0,0,0,5,7,27,2,5,5,7,1,4,0,0,0,0,0,0,0,2,0,0,1,9.82,4-10-1996,
VS,CAL,A,0,0,0,0,0,3,6,18,1,3,3,2,1,3,0,1,0,0,0,1,1,0,1,0,0,9.64,4-15-1996,
VS,DET,A,0,0,0,1,1,4,4,15,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,7.50,4-18-1996,
VS,TOR,A,0,0,0,0,0,2.1,2,13,0,4,4,4,1,1,0,0,0,0,0,0,1,0,0,0,1,8.41,4-22-1996,
AT,MIL,A,0,0,0,0,0,2.1,2,12,1,2,2,3,0,2,0,0,1,0,0,1,0,0,0,0,0,8.34,4-26-1996,
VS,CLE,A,0,0,0,0,0,2,1,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.66,5- 2-1996,
VS,MIN,A,1,0,0,0,0,4,6,18,0,4,4,2,0,1,0,1,1,0,0,1,0,0,0,0,0,7.85,5- 6-1996,
