at_vs,Opponent,League,GS,CG,SHO,GF,SV,IP,H,BFP,HR,R,ER,BB,IB,SO,SH,SF,WP,HBP,BK,2B,3B,GDP,ROE,W,L,ERA,Date,dblhead_num
AT,CIN,N,0,0,0,1,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.00,9- 1-2010,
VS,STL,N,0,0,0,0,0,0,1,3,0,3,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,18.00,9- 6-2010,
VS,STL,N,0,0,0,1,0,1,1,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,9.00,9- 8-2010,
VS,CHI,N,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.00,9-11-2010,
AT,HOU,N,0,0,0,1,0,1,2,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4.50,9-14-2010,
VS,CIN,N,0,0,0,1,0,1,0,5,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,3.60,9-20-2010,
VS,CIN,N,0,0,0,0,0,1,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3.00,9-22-2010,
VS,FLA,N,0,0,0,0,0,2,1,9,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,2.25,9-24-2010,
VS,FLA,N,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2.00,9-26-2010,
AT,CIN,N,0,0,0,0,0,1,2,5,0,1,1,0,0,2,0,1,0,0,0,0,1,0,0,0,0,2.70,10- 1-2010,
VS,ANA,A,0,0,0,0,0,1,1,4,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9.00,4- 3-2011,
VS,CHI,A,0,0,0,1,0,0.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5.40,4- 5-2011,
VS,CHI,A,0,0,0,0,0,1,0,4,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,3.38,4- 6-2011,
AT,MIN,A,0,0,0,1,1,2,1,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.93,4-13-2011,
VS,SEA,A,0,0,0,0,0,2,1,9,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1.35,4-16-2011,
VS,CLE,A,0,0,0,0,0,0.1,1,5,0,1,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,2.57,4-18-2011,
AT,TEX,A,0,0,0,1,0,1,1,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2.25,4-22-2011,
AT,TEX,A,0,0,0,0,0,0.2,1,5,0,2,2,2,0,1,0,0,0,0,0,1,0,0,0,0,0,4.15,4-24-2011,
AT,CLE,A,0,0,0,1,0,1,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3.72,4-27-2011,
VS,MIN,A,0,0,0,1,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.38,4-30-2011,
VS,BAL,A,0,0,0,0,0,0.2,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.18,5- 3-2011,
VS,BAL,A,0,0,0,1,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.70,5- 5-2011,
VS,CLE,A,0,0,0,0,0,1.2,4,9,0,2,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3.60,5-16-2011,
VS,TEX,A,0,0,0,0,0,0.1,1,5,0,2,2,3,0,0,1,0,0,0,0,0,0,0,0,0,1,4.70,5-18-2011,
VS,TOR,A,0,0,0,0,0,1,3,7,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.00,4-22-2012,
AT,CLE,A,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,4-24-2012,
VS,TEX,A,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,8- 3-2012,
VS,TEX,A,0,0,0,1,0,1,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,8- 4-2012,
AT,BAL,A,0,0,0,1,0,1,0,4,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0.00,8- 9-2012,
VS,OAK,A,0,0,0,1,0,1,0,4,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0.00,8-16-2012,
AT,TB,A,0,0,0,0,0,1,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.00,8-20-2012,
AT,BOS,A,0,0,0,0,0,0.2,3,7,0,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0.00,8-26-2012,
VS,TEX,A,0,0,0,1,0,2,2,7,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1.04,9- 5-2012,
AT,CHI,A,0,0,0,1,0,1,0,4,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0.93,9- 8-2012,
VS,ANA,A,0,0,0,0,0,0.2,0,5,0,1,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0.87,9-14-2012,
VS,CLE,A,0,0,0,0,0,1.2,3,11,0,6,6,3,0,0,0,0,0,0,0,1,0,0,0,0,0,5.25,9-23-2012,
AT,CLE,A,0,0,0,0,0,1.1,6,11,0,4,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,6.75,9-30-2012,
VS,BOS,A,0,0,0,1,0,1,1,7,1,1,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,9.00,4- 5-2013,
AT,ARI,N,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.00,9- 4-2013,
AT,MIN,A,0,0,0,1,0,1,0,4,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,4.50,9- 7-2013,
VS,ANA,A,0,0,0,0,0,0.2,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.38,9-12-2013,
VS,BAL,A,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2.45,9-14-2013,
VS,NY,A,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.45,9-19-2013,
AT,BOS,A,0,0,0,0,0,1,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1.93,9-20-2013,
AT,CHI,A,0,0,0,0,0,2,0,7,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1.35,9-23-2013,
AT,BAL,A,0,0,0,0,0,1.2,1,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1.08,9-25-2013,
VS,TB,A,0,0,0,0,0,2,1,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.87,9-29-2013,
AT,TB,A,0,0,0,1,0,1,3,9,0,3,3,1,0,0,0,1,0,2,0,0,0,0,0,0,0,27.00,3-31-2014,
AT,TB,A,0,0,0,1,0,1.1,2,7,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,11.57,4- 3-2014,
VS,NY,A,0,0,0,1,0,1,3,5,0,1,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,10.80,4- 4-2014,
VS,CIN,N,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,7-23-2014,
VS,NY,N,0,0,0,0,0,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,7-26-2014,
AT,TB,A,0,0,0,0,0,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.00,7-28-2014,
AT,TB,A,0,0,0,0,0,1.1,3,6,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.00,7-30-2014,
AT,STL,N,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,8- 1-2014,
AT,STL,N,0,0,0,0,0,0.2,3,5,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1.69,8- 3-2014,
VS,SF,N,0,0,0,0,0,0.2,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.50,8- 5-2014,
VS,SF,N,0,0,0,0,0,1,0,4,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1.29,8- 7-2014,
VS,LA,N,0,0,0,0,0,0.2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.17,8- 8-2014,
AT,CHI,N,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04,8-12-2014,
AT,CHI,N,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93,8-14-2014,
AT,LA,N,0,0,0,1,0,1,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.84,8-17-2014,
VS,TOR,A,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.77,8-20-2014,
VS,PIT,N,0,0,0,0,0,1,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.71,8-23-2014,
VS,PIT,N,0,0,0,0,0,1,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.66,8-24-2014,
AT,SD,N,0,0,0,0,0,1,3,6,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.23,8-27-2014,
AT,SF,N,0,0,0,1,0,1,3,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.15,8-30-2014,
AT,CHI,N,0,0,0,1,0,1.2,1,5,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1.56,9- 1-2014,
