at_vs,Opponent,League,GS,CG,SHO,GF,SV,IP,H,BFP,HR,R,ER,BB,IB,SO,SH,SF,WP,HBP,BK,2B,3B,GDP,ROE,W,L,ERA,Date,dblhead_num
AT,STL,N,1,0,0,0,0,5,0,15,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0.00,6-27-2021,
AT,NY,N,1,0,0,0,0,3,4,16,1,3,3,3,0,5,0,0,0,0,0,1,0,0,0,0,1,3.38,7-10-2021,2
AT,ARI,N,1,0,0,0,0,3,7,18,0,4,4,1,0,3,0,0,1,1,0,3,0,0,0,0,0,5.73,7-21-2021,
VS,MIL,N,1,0,0,0,0,5,10,26,0,6,6,1,1,3,0,0,0,1,0,3,0,0,0,0,1,7.31,7-28-2021,
AT,MIL,N,1,0,0,0,0,4,5,20,1,3,3,3,0,4,0,0,0,0,0,2,0,0,0,0,0,7.20,8- 3-2021,
AT,CHI,A,1,0,0,0,0,4.2,8,24,1,5,5,2,0,1,0,0,0,1,0,1,0,1,0,0,1,7.66,9- 1-2021,
AT,MIA,N,1,0,0,0,0,5,4,23,0,3,3,4,1,6,0,1,1,1,0,2,0,0,0,0,0,7.28,9-19-2021,
AT,PHI,N,1,0,0,0,0,5,4,22,0,0,0,3,1,5,0,0,0,0,0,1,0,0,0,1,0,6.23,9-26-2021,
VS,CIN,N,1,0,0,0,0,4,5,18,1,4,3,2,0,2,1,1,0,0,0,1,0,1,0,0,0,6.28,10- 2-2021,
AT,CIN,N,0,0,0,0,0,2,1,8,0,0,0,2,0,3,0,0,1,0,0,1,0,0,0,0,0,0.00,5- 7-2022,2
VS,LA,N,0,0,0,0,0,3,2,11,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0.00,5-11-2022,
