at_vs,Opponent,League,GS,CG,SHO,GF,SV,IP,H,BFP,HR,R,ER,BB,IB,SO,SH,SF,WP,HBP,BK,2B,3B,GDP,ROE,W,L,ERA,Date,dblhead_num
AT,MON,N,1,1,0,0,0,9,5,34,0,1,1,2,0,9,0,0,0,0,0,1,0,0,0,1,0,1.00,7-18-1976,2
VS,SF,N,1,0,0,0,0,7,7,30,0,3,2,3,0,6,0,0,0,0,0,0,0,2,1,0,1,1.69,7-24-1976,2
VS,ATL,N,1,0,0,0,0,4.2,6,21,0,2,2,2,0,0,0,0,0,0,0,2,0,0,0,0,1,2.18,7-30-1976,
AT,LA,N,1,0,0,0,0,7,6,30,0,2,1,3,0,5,0,0,0,0,0,0,0,0,1,0,1,1.95,8- 3-1976,
AT,STL,N,1,1,0,0,0,9,7,37,0,4,2,4,0,2,0,1,0,0,0,2,0,2,1,1,0,1.96,8- 9-1976,
VS,PIT,N,1,0,0,0,0,8.2,12,44,0,8,6,5,1,4,0,0,0,0,0,1,0,0,2,0,1,2.78,8-15-1976,1
AT,PHI,N,1,1,0,0,0,9,5,33,1,3,3,1,0,3,0,2,0,0,0,1,0,0,0,1,0,2.82,8-20-1976,
AT,CHI,N,1,0,0,0,0,2,5,13,1,5,4,1,0,1,1,0,0,0,0,1,1,0,1,0,1,3.36,8-25-1976,
VS,PHI,N,1,1,0,0,0,9,5,31,0,1,1,1,0,2,0,1,0,0,1,1,0,1,0,1,0,3.03,8-30-1976,
VS,LA,N,1,0,0,0,0,8,6,30,1,3,3,1,0,3,0,1,0,1,1,0,1,1,0,0,1,3.07,9- 5-1976,
AT,ATL,N,1,1,0,0,0,9,6,34,0,3,2,2,0,3,0,1,0,0,0,2,0,0,0,1,0,2.95,9-15-1976,
VS,ATL,N,1,0,0,0,0,3,6,16,0,4,3,2,0,0,0,0,1,0,0,0,0,0,0,0,1,3.16,9-21-1976,
AT,LA,N,1,0,0,0,0,7,5,26,0,1,1,1,0,4,0,0,0,0,0,1,0,2,1,0,1,3.02,9-27-1976,
VS,ATL,N,0,0,0,1,0,2,0,7,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00,4-10-1977,
VS,CIN,N,0,0,0,0,0,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,4-13-1977,
VS,SF,N,0,0,0,0,0,2,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.00,4-19-1977,
VS,SD,N,0,0,0,0,0,1.1,2,9,0,2,2,3,0,1,0,0,0,0,0,1,0,0,0,0,0,2.45,4-23-1977,1
VS,SD,N,0,0,0,0,0,0.2,2,7,0,3,1,2,1,1,1,1,1,0,0,0,0,0,1,0,1,3.38,4-23-1977,2
AT,PIT,N,0,0,0,1,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.00,4-30-1977,
AT,CHI,N,0,0,0,0,0,2,4,10,1,4,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5.73,5- 3-1977,
AT,CHI,N,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.25,5- 5-1977,
VS,CHI,N,0,0,0,0,0,2.2,2,11,0,0,0,1,0,2,0,1,1,0,0,0,0,0,0,0,0,4.30,5- 9-1977,
VS,PIT,N,0,0,0,1,0,1,2,6,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4.60,5-14-1977,
VS,PHI,N,0,0,0,0,0,0,3,3,0,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5.74,5-21-1977,
AT,SD,N,0,0,0,0,0,1.1,0,5,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,5.29,5-28-1977,
AT,CIN,N,0,0,0,0,0,2.2,6,16,1,4,4,1,0,2,0,0,1,1,0,1,1,0,0,0,0,6.41,6- 5-1977,
AT,PHI,N,0,0,0,0,0,1,2,6,0,1,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,6.53,6- 6-1977,
VS,MON,N,0,0,0,0,0,1,1,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,6.23,6-13-1977,
AT,NY,N,0,0,0,0,0,1,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.96,6-19-1977,
VS,SF,N,1,0,0,0,0,4.1,7,21,2,4,4,2,0,4,0,0,0,0,0,0,0,1,0,0,0,6.33,6-24-1977,
VS,SD,N,1,0,0,0,0,5.1,8,27,0,7,5,3,0,2,0,0,1,0,0,2,1,0,1,0,1,6.68,6-29-1977,
AT,SD,N,1,0,0,0,0,7.1,6,32,1,3,3,5,0,3,1,0,0,1,0,1,0,2,0,0,0,6.13,7- 5-1977,
AT,CIN,N,0,0,0,1,0,1.1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.93,7-15-1977,
AT,STL,N,1,0,0,0,0,10,3,33,1,2,2,0,0,3,0,0,0,0,0,1,0,0,0,0,0,5.12,7-23-1977,
AT,PIT,N,1,0,0,0,0,6,12,32,2,9,9,4,0,1,0,0,0,0,0,0,0,0,1,0,1,6.00,7-28-1977,
VS,PIT,N,1,1,0,0,0,10,9,41,1,6,6,2,1,5,0,0,0,0,0,1,0,0,0,0,1,5.91,8- 2-1977,
VS,STL,N,1,0,0,0,0,6.1,9,30,1,5,5,3,0,3,0,0,0,0,0,1,0,0,1,0,1,6.01,8- 7-1977,
AT,SF,N,0,0,0,0,0,3.2,0,14,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,1,0,5.73,8-11-1977,
AT,ATL,N,0,0,0,1,1,4,4,20,0,3,1,2,0,1,0,1,0,0,0,1,0,0,2,0,0,5.56,8-15-1977,
AT,PHI,N,1,0,0,0,0,8,8,38,0,4,3,6,0,3,0,0,1,0,0,2,0,0,2,0,0,5.36,8-20-1977,
VS,PHI,N,1,0,0,0,0,0.1,4,5,1,4,4,0,0,0,0,0,1,0,0,2,0,0,0,0,0,5.74,8-25-1977,
