at_vs,Opponent,League,GS,CG,SHO,GF,SV,IP,H,BFP,HR,R,ER,BB,IB,SO,SH,SF,WP,HBP,BK,2B,3B,GDP,ROE,W,L,ERA,Date,dblhead_num
VS,NY,A,1,0,0,0,0,7.2,12,33,1,3,3,4,0,0,0,0,0,0,0,2,0,3,0,1,0,3.52,5-25-1980,
VS,CAL,A,1,0,0,0,0,0.1,5,5,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,1,6.75,6- 2-1980,
AT,MIN,A,1,0,0,0,0,6.2,8,28,1,4,4,2,0,8,1,0,0,0,0,1,0,1,0,0,0,6.14,6- 8-1980,2
VS,TEX,A,1,0,0,0,0,3.2,7,20,1,4,3,1,0,0,1,1,0,0,0,2,0,0,1,0,0,6.38,6-14-1980,
AT,BAL,A,1,0,0,0,0,5,4,23,0,3,2,4,0,1,1,0,0,0,0,1,0,0,1,0,1,5.79,6-25-1980,
VS,BAL,A,1,0,0,0,0,2.1,4,13,0,3,2,1,0,0,0,0,0,0,0,2,0,0,1,0,1,5.96,6-30-1980,
AT,TEX,A,1,0,0,0,0,6,8,27,0,3,3,3,1,4,1,1,0,1,0,2,0,1,0,0,1,5.68,9- 2-1980,
VS,CHI,A,1,0,0,0,0,5,7,26,2,5,5,4,1,3,1,1,0,0,0,0,0,0,0,0,0,6.14,9- 7-1980,2
AT,NY,A,1,1,0,0,0,9,2,33,0,1,1,5,0,4,1,0,0,0,0,0,0,0,1,1,0,5.12,9-18-1980,
AT,DET,A,1,0,0,0,0,4.1,5,23,1,4,2,5,0,1,0,0,0,0,0,1,0,1,1,0,0,5.04,9-23-1980,
VS,BOS,A,0,0,0,0,0,2.2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.78,9-28-1980,
VS,DET,A,0,0,0,1,0,3.1,5,16,0,2,2,1,0,2,0,0,0,0,0,1,1,0,0,0,0,4.82,10- 1-1980,
AT,BOS,A,0,0,0,0,0,3.2,5,16,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,1,0,4.53,10- 4-1980,1
AT,DET,A,1,0,0,0,0,8,5,30,1,2,2,1,0,9,0,0,1,0,0,1,1,0,0,1,0,2.25,4-12-1981,
VS,DET,A,1,0,0,0,0,2.2,4,15,1,4,4,3,0,3,0,0,0,0,0,1,0,0,0,0,1,5.06,4-17-1981,
VS,MIL,A,1,0,0,0,0,4.1,3,18,0,4,3,4,0,0,0,0,0,0,0,0,0,3,1,0,1,5.40,4-22-1981,
AT,MIL,A,1,0,0,0,0,4.1,6,22,0,3,1,0,0,3,0,0,1,1,0,1,0,0,2,0,0,4.66,4-27-1981,
AT,MIL,A,0,0,0,0,0,3,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.03,4-29-1981,
AT,BAL,A,1,0,0,0,0,5.2,6,27,0,4,4,5,0,1,0,0,0,0,0,1,0,1,0,0,1,4.50,5- 2-1981,2
VS,CLE,A,0,0,0,1,0,2,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.20,5- 6-1981,
VS,BOS,A,0,0,0,0,0,0,0,2,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4.50,5- 9-1981,
VS,BOS,A,0,0,0,0,0,4,2,14,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,3.97,5-10-1981,
AT,CLE,A,1,1,0,0,0,8,7,33,1,3,1,0,0,5,0,1,0,0,0,0,0,0,3,0,1,3.43,5-15-1981,
VS,CHI,A,0,0,0,1,1,3.1,3,14,0,1,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,3.38,5-19-1981,
AT,OAK,A,0,0,0,1,0,3.1,2,13,0,1,1,1,0,6,0,1,0,0,0,0,0,0,0,0,1,3.33,5-23-1981,
AT,CAL,A,1,0,0,0,0,3.2,7,19,0,3,2,1,0,2,0,0,1,0,0,1,0,0,0,0,0,3.44,5-26-1981,
VS,OAK,A,0,0,0,0,0,1,1,5,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,3.38,5-30-1981,
VS,CAL,A,1,1,0,0,0,9,5,38,1,3,3,3,0,7,2,0,1,1,0,0,0,0,2,0,1,3.32,6- 2-1981,
AT,TEX,A,0,0,0,1,0,4,3,17,0,1,0,1,1,3,1,0,0,0,0,1,0,0,1,0,1,3.12,6- 5-1981,
AT,CHI,A,1,1,0,0,0,8,9,33,1,3,2,0,0,3,1,1,0,0,0,0,0,0,1,0,1,3.03,6- 9-1981,
VS,MIL,A,0,0,0,0,0,3.1,4,16,1,3,3,2,0,0,0,1,0,0,0,1,0,0,0,0,0,3.24,8-14-1981,
AT,KC,A,1,0,0,0,0,7.2,7,32,1,3,3,1,0,1,0,0,1,1,0,1,0,0,1,1,0,3.27,8-18-1981,
VS,CHI,A,1,0,0,0,0,2.2,4,16,0,3,3,2,2,1,0,1,0,2,0,2,0,0,0,0,1,3.48,8-23-1981,
VS,KC,A,1,0,0,0,0,6,8,28,0,3,3,3,0,1,0,0,1,0,1,4,0,0,0,0,0,3.54,8-28-1981,
AT,TEX,A,1,0,0,0,0,6.2,5,27,0,3,2,1,0,3,0,0,0,0,0,1,0,0,2,0,1,3.49,9- 2-1981,
AT,CHI,A,1,0,0,0,0,6.2,8,31,0,2,2,3,0,1,0,0,0,0,0,0,0,0,0,1,0,3.44,9- 6-1981,
VS,SEA,A,1,0,0,0,0,7,5,25,0,0,0,2,0,5,1,0,0,0,0,1,0,0,0,1,0,3.23,9-10-1981,
VS,MIN,A,1,0,0,0,0,7,8,29,0,2,1,1,0,5,1,1,0,0,0,0,0,1,0,1,0,3.12,9-15-1981,
VS,CAL,A,1,0,0,0,0,0.2,4,7,0,3,3,2,0,0,0,0,1,0,0,2,0,0,0,0,0,3.32,9-20-1981,
VS,OAK,A,0,0,0,0,0,0.2,1,6,0,1,1,3,2,1,0,0,0,0,0,0,0,0,0,0,1,3.38,9-22-1981,1
AT,CAL,A,1,0,0,0,0,0,3,4,0,4,4,1,0,0,0,0,0,0,0,2,0,0,0,0,1,3.67,9-25-1981,
AT,OAK,A,1,0,0,0,0,7,6,26,1,3,3,0,0,2,0,0,0,0,0,1,0,0,0,0,1,3.68,9-30-1981,
VS,DET,A,1,0,0,0,0,7.2,7,32,0,3,3,2,0,4,0,1,1,0,1,0,1,0,0,1,0,3.52,4-12-1982,
AT,BOS,A,1,0,0,0,0,8,7,32,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,1,0,1.72,4-16-1982,
AT,MIL,A,1,0,0,0,0,6,5,25,1,2,2,2,0,1,0,0,0,0,0,1,0,0,0,0,1,2.08,4-21-1982,
VS,BOS,A,1,0,0,0,0,8,7,31,1,3,2,0,0,4,1,0,0,0,0,2,0,0,1,0,0,2.12,4-25-1982,
AT,KC,A,1,0,0,0,0,5.2,7,24,0,5,5,0,0,4,0,1,0,0,0,2,1,0,0,0,0,3.06,4-30-1982,
AT,CHI,A,1,0,0,0,0,6.1,9,26,2,3,3,0,0,5,0,0,0,0,0,1,0,0,0,0,1,3.24,5- 5-1982,
VS,CHI,A,1,0,0,0,0,6,7,27,0,2,2,2,0,4,0,0,0,0,0,2,0,0,0,0,0,3.21,5-10-1982,
AT,TEX,A,1,0,0,0,0,7,3,26,0,2,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,3.13,5-14-1982,
AT,CLE,A,1,0,0,0,0,4,9,23,1,4,4,2,0,2,0,0,1,0,0,2,0,0,0,0,0,3.53,5-19-1982,
VS,BAL,A,1,1,0,0,0,9,5,35,0,1,1,4,0,4,0,0,0,0,0,1,0,1,0,1,0,3.19,5-23-1982,
AT,BAL,A,1,1,0,0,0,8,7,35,1,3,3,4,2,3,2,1,0,0,0,1,0,0,1,0,1,3.21,5-29-1982,1
VS,NY,A,1,1,0,0,0,9,4,32,0,1,1,1,0,3,0,0,0,0,0,1,0,0,0,1,0,2.98,6- 3-1982,
VS,CLE,A,1,1,0,0,0,9,6,35,1,3,3,3,0,4,0,0,0,0,0,2,0,1,0,1,0,2.98,6- 7-1982,
VS,OAK,A,1,0,0,0,0,6,3,26,0,3,3,4,0,4,2,1,0,1,0,1,0,0,0,0,0,3.07,6-13-1982,
AT,CAL,A,1,0,0,0,0,3,6,16,1,7,6,1,0,0,0,0,1,0,0,0,0,0,0,0,1,3.51,6-17-1982,
AT,SEA,A,1,0,0,0,0,3,5,16,3,5,5,1,0,2,0,0,0,0,0,0,0,0,1,0,1,3.83,6-21-1982,
VS,MIN,A,1,0,0,0,0,7.1,5,29,0,2,2,3,0,2,0,1,0,0,0,3,0,1,0,0,0,3.74,6-27-1982,
VS,SEA,A,1,0,0,0,0,6.1,8,30,1,4,4,5,0,3,1,0,0,0,0,1,0,1,1,0,1,3.85,7- 1-1982,
AT,TEX,A,1,1,0,0,0,8,6,31,0,3,3,0,0,4,0,0,0,1,0,0,0,0,1,0,1,3.82,7- 5-1982,
VS,CHI,A,1,0,0,0,0,4,4,20,0,3,3,4,0,2,0,0,0,0,0,1,0,0,0,0,0,3.91,7- 9-1982,
VS,TEX,A,1,0,0,0,0,1,5,9,1,3,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4.08,7-17-1982,
VS,KC,A,1,1,0,0,0,9,6,33,0,2,2,2,0,4,0,1,0,0,0,2,1,2,0,1,0,3.95,7-19-1982,
AT,CHI,A,1,0,0,0,0,6.2,7,29,0,1,1,3,0,5,1,0,1,0,0,2,0,1,1,1,0,3.83,7-23-1982,
AT,BOS,A,1,1,0,0,0,9,4,30,1,1,1,1,0,1,0,0,0,0,0,0,0,2,0,1,0,3.67,7-27-1982,
VS,DET,A,1,0,0,0,0,5,10,26,2,5,5,2,0,0,0,1,0,0,0,1,0,1,0,0,1,3.83,8- 1-1982,
AT,DET,A,1,0,0,0,0,5.1,7,24,0,4,4,2,0,6,0,1,0,0,0,1,1,0,0,0,1,3.93,8- 5-1982,1
VS,BOS,A,1,0,0,0,0,7.2,12,32,0,2,2,0,0,2,0,0,0,0,0,2,0,2,0,0,0,3.86,8- 9-1982,
AT,MIL,A,1,0,0,0,0,6,8,29,0,3,3,4,0,4,0,0,0,0,0,0,0,0,0,0,1,3.88,8-13-1982,
