at_vs,Opponent,League,GS,CG,SHO,GF,SV,IP,H,BFP,HR,R,ER,BB,IB,SO,SH,SF,WP,HBP,BK,2B,3B,GDP,ROE,W,L,ERA,Date,dblhead_num
VS,CHI,A,0,0,0,0,0,2,1,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.00,9- 4-1974,
AT,CAL,A,1,0,0,0,0,5.1,8,28,0,4,2,3,0,2,1,0,0,1,0,0,0,0,0,0,1,2.45,9-10-1974,
AT,MIN,A,1,0,0,0,0,5.1,9,27,0,4,4,2,0,3,1,0,0,1,0,0,0,1,0,0,1,4.26,9-15-1974,
AT,TEX,A,1,0,0,0,0,5,3,22,0,3,3,5,0,3,2,0,0,0,0,0,0,1,0,0,1,4.58,9-22-1974,
VS,TEX,A,1,0,0,0,0,4.1,7,20,0,4,4,2,0,0,1,0,0,0,0,1,1,2,0,0,1,5.32,9-28-1974,
AT,MIN,A,0,0,0,0,0,5.1,4,23,1,2,2,5,0,4,0,0,0,0,0,0,0,1,0,0,0,3.38,5- 4-1975,
VS,TEX,A,1,0,0,0,0,7.1,9,33,1,3,3,2,0,7,0,0,0,0,0,2,0,0,0,0,0,3.55,5- 8-1975,
AT,DET,A,1,0,0,0,0,5.1,6,25,1,5,5,3,0,6,1,0,0,1,0,1,0,0,0,0,1,5.00,5-12-1975,
AT,BOS,A,1,1,0,0,0,9,5,35,0,2,2,6,0,4,0,1,0,1,0,1,0,3,1,1,0,4.00,5-16-1975,
AT,NY,A,1,0,0,0,0,8.1,6,33,0,1,0,3,1,3,1,1,0,0,0,0,0,0,1,0,0,3.06,5-21-1975,
VS,NY,A,1,0,0,0,0,5,4,23,0,4,4,4,0,2,0,0,0,0,0,2,0,0,0,0,0,3.57,5-26-1975,
AT,MIL,A,1,0,0,0,0,3.1,5,16,2,5,4,1,0,2,0,0,0,0,0,1,0,0,0,0,0,4.12,5-31-1975,
AT,CLE,A,1,1,0,0,0,9,6,31,0,2,1,0,0,3,0,0,0,1,0,1,0,1,0,1,0,3.59,6- 3-1975,
AT,BAL,A,1,0,0,0,0,4.1,7,24,0,7,7,5,0,2,1,0,0,0,0,2,1,0,0,0,1,4.42,6- 7-1975,
VS,CLE,A,1,1,0,0,0,9,6,35,0,1,1,3,0,7,0,0,0,0,0,0,0,1,1,1,0,3.95,6-11-1975,
VS,BOS,A,1,0,0,0,0,5,8,24,1,4,4,2,0,5,0,0,1,0,0,2,0,1,0,0,0,4.18,6-15-1975,
AT,OAK,A,1,0,0,0,0,5.1,5,29,1,3,2,7,1,7,1,0,0,0,0,2,0,0,1,0,1,4.13,6-20-1975,
AT,CAL,A,1,0,0,0,0,7,9,31,1,3,2,4,0,7,0,0,0,0,0,0,0,1,0,0,0,4.00,6-24-1975,
AT,CHI,A,1,0,0,0,0,3.1,7,19,0,4,4,2,1,1,2,1,0,0,0,2,1,0,0,0,1,4.26,6-28-1975,
VS,CHI,A,0,0,0,1,0,4,6,19,0,2,2,1,0,1,0,0,0,0,0,1,0,0,0,1,0,4.27,7- 4-1975,
VS,MIL,A,1,1,0,0,0,9,9,33,1,1,1,1,0,6,0,0,0,0,0,2,0,3,0,1,0,3.97,7- 8-1975,
VS,DET,A,1,0,0,0,0,3.2,7,20,0,5,5,2,0,4,0,1,0,2,0,3,0,1,0,0,1,4.27,7-13-1975,
AT,DET,A,1,0,0,0,0,8.2,7,34,1,2,2,1,0,5,0,0,0,1,0,0,0,0,0,1,0,4.10,7-21-1975,
