at_vs,Opponent,League,GS,CG,SHO,GF,SV,IP,H,BFP,HR,R,ER,BB,IB,SO,SH,SF,WP,HBP,BK,2B,3B,GDP,ROE,W,L,ERA,Date,dblhead_num
AT,ARI,N,0,0,0,0,0,4,8,22,3,6,6,2,0,3,0,0,1,0,0,1,0,0,0,0,0,13.50,8-28-2009,
VS,ATL,N,0,0,0,0,0,2,1,8,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,10.50,9-10-2009,
AT,CIN,N,0,0,0,0,0,1,2,5,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,10.29,9-16-2009,
AT,MIL,N,0,0,0,0,0,0.2,2,5,0,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,11.74,9-20-2009,
VS,STL,N,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.38,9-21-2009,
VS,CIN,N,0,0,0,0,0,2,6,12,0,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,8.44,9-25-2009,
AT,PHI,N,1,0,0,0,0,3.2,6,19,1,5,5,2,0,2,1,0,0,0,0,1,0,0,0,0,1,9.42,9-29-2009,
AT,NY,N,1,0,0,0,0,5,6,22,0,4,3,2,0,1,1,2,0,0,0,1,1,0,0,0,1,8.38,10- 4-2009,
VS,PHI,N,0,0,0,0,0,1.1,3,7,1,2,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,13.50,4- 9-2010,
AT,STL,N,0,0,0,0,0,1.2,2,6,0,1,1,1,0,1,0,0,0,0,0,2,0,1,0,0,0,9.00,4-12-2010,
AT,CHI,N,0,0,0,1,0,1,2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,6.75,4-16-2010,
VS,FLA,N,0,0,0,0,0,2,1,6,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,4.50,4-21-2010,
VS,ARI,N,0,0,0,0,0,1.1,2,6,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4.91,5- 6-2010,
VS,SD,N,0,0,0,0,0,1,2,5,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.48,5- 7-2010,
AT,STL,N,0,0,0,0,0,1.2,2,7,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6.30,5-12-2010,
AT,LA,N,0,0,0,0,0,1,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5.73,5-18-2010,
VS,COL,N,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.25,5-20-2010,
VS,TB,A,0,0,0,1,0,2,3,10,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,5.14,5-22-2010,
VS,TB,A,0,0,0,1,0,1,1,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4.80,5-23-2010,
AT,MIL,N,0,0,0,0,0,1,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4.50,5-27-2010,
AT,CIN,N,0,0,0,0,0,1,2,5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4.24,5-28-2010,
VS,WAS,N,0,0,0,1,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.00,5-31-2010,
VS,WAS,N,0,0,0,1,0,0.2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.86,6- 1-2010,
VS,WAS,N,0,0,0,0,0,1,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3.66,6- 2-2010,
VS,CHI,N,0,0,0,0,0,1,2,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.92,6- 6-2010,
AT,COL,N,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3.74,6- 8-2010,
AT,COL,N,0,0,0,1,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57,6- 9-2010,
AT,COL,N,0,0,0,0,0,0,3,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.37,6-10-2010,
AT,NY,A,0,0,0,0,0,1.1,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.12,6-13-2010,
AT,KC,A,0,0,0,1,0,1,2,5,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.32,6-17-2010,
VS,TEX,A,0,0,0,0,0,0.2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.21,6-19-2010,
VS,TEX,A,0,0,0,0,0,0.1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.15,6-20-2010,
VS,SF,N,0,0,0,1,0,2,1,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.86,6-22-2010,
VS,SF,N,0,0,0,0,0,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.81,6-24-2010,
AT,TEX,A,0,0,0,0,0,1,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.68,6-25-2010,
AT,TEX,A,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.56,6-27-2010,
AT,MIL,N,0,0,0,0,0,0.1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.52,6-28-2010,
AT,SD,N,0,0,0,0,0,1,3,5,0,2,2,0,0,0,0,1,0,0,1,0,1,0,0,0,0,3.98,7- 1-2010,
AT,SD,N,0,0,0,1,0,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.94,7- 3-2010,
AT,SD,N,0,0,0,0,0,0.2,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3.86,7- 4-2010,
VS,PIT,N,0,0,0,0,0,0.1,1,2,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4.09,7- 6-2010,
VS,STL,N,0,0,0,0,0,0.1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.05,7-11-2010,
AT,PIT,N,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.93,7-17-2010,
AT,PIT,N,0,0,0,0,0,1,4,7,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.33,7-18-2010,
AT,CHI,N,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.21,7-19-2010,
AT,CHI,N,0,0,0,0,0,0.1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4.17,7-20-2010,
VS,CIN,N,0,0,0,0,0,1,0,4,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,4.06,7-23-2010,
VS,CHI,N,0,0,0,1,0,1,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3.96,7-26-2010,
VS,CHI,N,0,0,0,0,0,1,1,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3.86,7-28-2010,
VS,MIL,N,0,0,0,0,0,1,1,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3.76,7-30-2010,
VS,MIL,N,0,0,0,0,0,1,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3.67,8- 1-2010,
AT,STL,N,0,0,0,0,0,2,2,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.50,8- 4-2010,
AT,MIL,N,0,0,0,0,0,0.2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.45,8- 6-2010,
AT,MIL,N,0,0,0,1,0,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.38,8- 8-2010,
VS,ATL,N,0,0,0,0,0,0.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.33,8-10-2010,
VS,ATL,N,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.26,8-11-2010,
VS,PIT,N,0,0,0,0,0,1,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3.19,8-13-2010,
VS,PIT,N,0,0,0,0,0,1,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3.12,8-14-2010,
VS,NY,N,0,0,0,1,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.06,8-17-2010,
VS,NY,N,0,0,0,0,0,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.94,8-18-2010,
VS,NY,N,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.89,8-19-2010,
AT,FLA,N,0,0,0,0,0,2,1,6,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,2.78,8-22-2010,
AT,PHI,N,0,0,0,0,0,1.1,1,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.88,8-24-2010,
AT,PHI,N,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.88,8-25-2010,
AT,NY,N,0,0,0,0,0,0.2,3,5,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.00,8-28-2010,
VS,STL,N,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.95,8-31-2010,
AT,ARI,N,0,0,0,0,0,1,1,4,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,3.05,9- 3-2010,
AT,CHI,N,0,0,0,1,0,1,1,4,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,3.15,9- 6-2010,
AT,CHI,N,0,0,0,1,0,0.2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.12,9- 8-2010,
VS,LA,N,0,0,0,0,0,1.1,2,5,0,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,3.19,9-10-2010,
AT,PIT,N,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.14,9-24-2010,
AT,PIT,N,0,0,0,0,0,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.13,9-26-2010,
AT,CIN,N,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.08,9-28-2010,
AT,CIN,N,0,0,0,0,0,0.1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.06,9-29-2010,
VS,CHI,N,0,0,0,0,0,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.02,10- 1-2010,
VS,CHI,N,0,0,0,0,0,1.1,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2.96,10- 3-2010,
AT,PHI,N,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,4- 1-2011,
AT,CIN,N,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00,4- 5-2011,
VS,FLA,N,0,0,0,0,0,1,4,6,0,2,2,0,0,0,0,0,0,0,0,1,0,1,0,0,1,6.00,4- 8-2011,
VS,FLA,N,0,0,0,0,0,0.1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.40,4- 9-2011,
VS,CHI,N,0,0,0,0,0,1,0,4,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,4.15,4-11-2011,
VS,CHI,N,0,0,0,0,0,0.1,3,5,0,3,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,7.71,4-13-2011,
AT,CIN,N,0,0,0,0,0,1,0,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6.35,5- 4-2011,
AT,PIT,N,0,0,0,0,0,0.2,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,5.68,5- 6-2011,
AT,PIT,N,0,0,0,1,0,0.2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.14,5- 8-2011,
