at_vs,Opponent,League,GS,CG,SHO,GF,SV,IP,H,BFP,HR,R,ER,BB,IB,SO,SH,SF,WP,HBP,BK,2B,3B,GDP,ROE,W,L,ERA,Date,dblhead_num
VS,MIL,N,1,0,0,0,0,5,8,24,3,3,3,1,0,5,0,0,1,0,0,1,0,0,0,0,1,5.40,4-29-2015,
AT,PIT,N,1,0,0,0,0,6,3,25,1,1,1,3,0,4,0,0,0,1,0,0,0,0,0,1,0,3.27,5- 5-2015,
AT,CHI,A,1,0,0,0,0,5,7,25,0,1,1,4,0,2,0,0,0,0,0,2,0,1,0,0,0,2.81,5-10-2015,
VS,SF,N,0,0,0,0,0,2,3,10,0,3,3,2,0,0,0,0,0,0,0,2,0,1,0,0,0,4.00,5-15-2015,
AT,KC,A,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.79,5-20-2015,
VS,COL,N,1,0,0,0,0,7,2,23,1,1,1,3,0,3,0,0,0,0,0,0,0,2,0,0,0,3.12,5-26-2015,
VS,WAS,N,1,0,0,0,0,6.1,1,25,0,2,2,6,0,4,0,0,0,0,0,1,0,0,0,0,0,3.06,5-31-2015,
VS,SD,N,1,0,0,0,0,6,6,26,1,3,3,3,0,5,0,0,0,0,0,1,0,0,0,0,0,3.29,6- 6-2015,
AT,CHI,N,1,0,0,0,0,4.1,5,22,2,6,5,3,1,6,0,0,1,1,0,2,0,0,0,0,1,4.01,6-11-2015,
AT,DET,A,1,0,0,0,0,6,6,25,0,2,1,3,1,1,1,0,0,0,0,1,0,2,1,1,0,3.70,6-16-2015,
VS,MIA,N,1,0,0,0,0,7,8,29,1,2,2,1,1,5,0,0,0,0,0,2,0,0,0,1,0,3.56,6-21-2015,
AT,NY,N,1,0,0,0,0,5.2,6,27,1,1,1,4,1,4,0,0,0,0,0,3,0,0,0,0,0,3.38,6-27-2015,
VS,MIL,N,1,0,0,0,0,4,5,18,2,3,3,2,0,3,0,0,0,0,0,0,0,0,0,0,1,3.58,7- 3-2015,
AT,MIA,N,1,0,0,0,0,6,5,26,0,2,2,4,0,5,0,0,0,1,0,2,0,1,0,0,1,3.53,7- 9-2015,
VS,CHI,N,1,0,0,0,0,5,7,24,0,4,4,3,0,5,0,1,0,0,0,2,0,0,0,0,0,3.77,7-20-2015,
AT,COL,N,1,0,0,0,0,2.1,7,16,2,8,8,2,0,1,0,0,0,0,0,1,2,0,0,0,1,4.58,7-26-2015,
VS,PIT,N,1,0,0,0,0,5.2,6,27,1,5,5,3,1,6,0,0,1,1,0,3,0,0,0,0,1,4.80,7-31-2015,
VS,STL,N,1,0,0,0,0,5,4,23,0,3,3,4,1,5,0,0,0,1,0,1,0,0,0,0,1,4.84,8- 6-2015,
AT,SD,N,1,0,0,0,0,1.1,7,13,0,7,7,2,0,1,0,0,1,0,0,3,0,0,0,0,1,5.46,8-11-2015,
AT,CHI,N,1,0,0,0,0,4.2,6,22,1,5,5,1,0,5,0,0,0,1,0,3,0,0,0,0,0,5.66,8-31-2015,
VS,MIL,N,1,0,0,0,0,5.1,8,24,0,2,2,1,0,2,1,0,0,0,0,1,0,0,0,1,0,5.54,9- 6-2015,
VS,STL,N,1,0,0,0,0,5,10,24,1,2,2,1,0,5,0,0,0,0,0,1,0,0,0,0,0,5.45,9-11-2015,
AT,SF,N,1,0,0,0,0,3,6,16,0,3,3,1,0,1,0,0,0,0,0,2,1,0,0,0,1,5.55,9-16-2015,
VS,NY,N,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.50,9-24-2015,
VS,NY,N,0,0,0,0,0,2,2,8,1,1,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,5.48,9-27-2015,
VS,CHI,N,0,0,0,1,0,1,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.43,10- 1-2015,
AT,PIT,N,0,0,0,0,0,0.2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.40,10- 3-2015,
VS,SD,N,0,0,0,0,0,1,2,5,1,2,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,18.00,6-24-2016,
VS,CHI,N,0,0,0,0,0,2,3,9,1,1,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,9.00,6-27-2016,
AT,WAS,N,0,0,0,0,0,3,1,11,0,0,0,0,0,3,0,0,0,2,0,0,0,1,0,0,0,4.50,6-30-2016,
AT,WAS,N,0,0,0,1,0,0.2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.05,7- 3-2016,
AT,CHI,N,0,0,0,0,0,2,0,7,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,3.12,7- 6-2016,
AT,MIA,N,0,0,0,1,0,2,1,9,0,1,1,2,0,3,0,0,1,0,0,0,0,1,1,0,0,3.38,7- 9-2016,
VS,MIL,N,0,0,0,0,0,1,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.09,7-17-2016,
VS,ATL,N,0,0,0,0,0,1,1,5,1,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4.26,7-19-2016,
VS,ARI,N,0,0,0,0,0,2.2,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,3.52,7-23-2016,
AT,SF,N,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3.31,7-26-2016,
AT,SD,N,0,0,0,0,0,2,1,6,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,2.95,7-29-2016,
AT,SD,N,0,0,0,0,0,1,1,6,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,2.79,7-31-2016,
VS,STL,N,0,0,0,1,0,2,1,8,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2.53,8- 3-2016,
AT,PIT,N,0,0,0,0,0,1,2,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.42,8- 5-2016,
AT,PIT,N,0,0,0,0,0,1,1,5,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2.31,8- 7-2016,
AT,STL,N,0,0,0,0,0,2,3,8,0,1,1,0,0,3,0,0,0,0,0,1,0,1,0,1,0,2.49,8- 9-2016,
AT,MIL,N,0,0,0,0,0,1,1,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2.39,8-12-2016,
VS,MIA,N,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.30,8-15-2016,
VS,LA,N,0,0,0,0,0,1.2,2,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.17,8-19-2016,
VS,LA,N,0,0,0,0,0,1,3,6,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.70,8-22-2016,
VS,TEX,A,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.61,8-24-2016,
AT,ARI,N,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.53,8-26-2016,
AT,ANA,A,0,0,0,1,0,2,3,8,0,1,1,0,0,2,0,0,0,0,0,1,0,1,0,0,0,2.65,8-30-2016,
VS,STL,N,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.57,9- 2-2016,
VS,STL,N,0,0,0,0,0,1,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2.50,9- 3-2016,
VS,NY,N,0,0,0,0,0,2,4,10,1,2,2,0,0,2,0,0,0,1,0,0,0,1,0,0,1,2.84,9- 6-2016,
AT,PIT,N,0,0,0,0,0,1,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,2.77,9- 9-2016,
AT,PIT,N,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.70,9-10-2016,
VS,MIL,N,0,0,0,0,0,1,2,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.63,9-12-2016,
VS,PIT,N,0,0,0,0,0,1,0,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2.57,9-16-2016,
VS,PIT,N,0,0,0,0,0,2,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,2.45,9-18-2016,
AT,CHI,N,0,0,0,0,0,1.2,3,10,0,3,3,2,0,1,0,0,0,0,1,0,0,0,0,0,0,2.96,9-21-2016,
AT,MIL,N,0,0,0,0,0,1.1,1,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2.87,9-24-2016,
AT,STL,N,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.81,9-28-2016,
VS,CHI,N,0,0,0,0,0,2,2,8,1,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2.88,10- 1-2016,
VS,PHI,N,0,0,0,0,0,1,0,4,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0.00,4- 3-2017,
VS,PHI,N,0,0,0,0,0,1,2,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.00,4- 5-2017,
AT,STL,N,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00,4- 7-2017,
AT,PIT,N,0,0,0,0,0,3,0,9,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0.00,4-10-2017,
VS,MIL,N,0,0,0,0,0,1,4,8,0,4,4,0,0,2,0,0,1,1,0,1,1,0,0,0,0,5.14,4-14-2017,
VS,MIL,N,0,0,0,1,1,1,0,4,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,4.50,4-15-2017,
VS,BAL,A,0,0,0,0,0,1,2,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4.00,4-19-2017,
VS,CHI,N,0,0,0,0,0,2,4,11,1,3,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,5.73,4-21-2017,
AT,MIL,N,0,0,0,1,0,1,1,6,0,1,1,1,1,1,0,0,2,0,0,0,0,0,1,0,0,6.00,4-24-2017,
AT,MIL,N,0,0,0,1,0,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.84,4-26-2017,
AT,STL,N,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.40,4-30-2017,
VS,PIT,N,0,0,0,1,0,2,0,7,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,4.70,5- 1-2017,
VS,PIT,N,0,0,0,0,0,2,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.15,5- 4-2017,
VS,NY,A,0,0,0,0,0,2,1,10,0,0,0,2,0,1,0,0,2,1,0,0,0,0,0,0,0,3.72,5- 9-2017,
AT,SF,N,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.54,5-12-2017,
AT,CHI,N,0,0,0,1,0,1,1,4,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.80,5-16-2017,
AT,CHI,N,0,0,0,0,0,1,1,5,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,3.63,5-18-2017,
VS,COL,N,0,0,0,0,0,1,0,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3.47,5-19-2017,
