at_vs,Opponent,League,GS,CG,SHO,GF,SV,IP,H,BFP,HR,R,ER,BB,IB,SO,SH,SF,WP,HBP,BK,2B,3B,GDP,ROE,W,L,ERA,Date,dblhead_num
VS,SEA,A,0,0,0,0,0,1.2,4,9,0,3,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,16.20,7-20-1987,
VS,OAK,A,0,0,0,0,0,3,6,16,0,5,5,1,0,0,0,2,0,0,0,3,0,0,0,0,0,15.43,7-25-1987,
AT,TEX,A,0,0,0,0,0,0.2,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.19,7-29-1987,
AT,CHI,N,0,0,0,0,0,2,3,11,0,2,2,2,0,1,0,1,1,0,0,0,0,0,0,0,0,9.00,9- 5-1988,1
VS,CHI,N,0,0,0,1,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.00,9-13-1988,
VS,PIT,N,0,0,0,1,0,1,3,7,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,6.75,9-17-1988,
VS,MON,N,1,1,0,0,0,5.1,4,21,0,1,1,2,1,1,0,0,0,0,0,2,0,0,0,0,1,3.86,9-24-1988,
AT,MON,N,1,0,0,0,0,7,4,27,0,1,1,1,0,0,1,1,0,0,0,1,0,0,2,1,0,2.76,9-30-1988,
VS,HOU,N,0,0,0,0,0,3.1,7,21,1,5,5,3,1,1,1,0,2,1,0,2,0,0,0,0,0,13.50,5- 2-1989,
AT,CIN,N,1,0,0,0,0,6.2,5,26,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,1,0,4.50,5- 7-1989,
VS,LA,N,1,0,0,0,0,3.2,5,19,2,5,5,3,0,1,0,0,0,0,0,1,0,0,0,0,1,6.59,5-14-1989,
VS,SF,N,0,0,0,1,0,5,5,20,0,0,0,1,0,4,0,0,1,0,0,2,0,1,0,0,0,4.82,5-17-1989,
AT,SF,N,1,0,0,0,0,5,8,26,0,5,4,3,3,2,0,0,1,0,0,3,0,0,1,0,1,5.32,5-27-1989,
AT,SD,N,0,0,0,1,0,1,2,6,0,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,5.47,5-30-1989,
