at_vs,Opponent,League,GS,CG,SHO,GF,SV,IP,H,BFP,HR,R,ER,BB,IB,SO,SH,SF,WP,HBP,BK,2B,3B,GDP,ROE,W,L,ERA,Date,dblhead_num
AT,SD,N,0,0,0,0,0,3,3,12,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3.00,9-11-1987,
AT,SF,N,0,0,0,0,0,2,0,5,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1.80,9-16-1987,
VS,SD,N,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.80,9-19-1987,
VS,CIN,N,1,0,0,0,0,1.2,5,13,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6.75,10- 2-1987,
AT,LA,N,0,0,0,0,0,0.1,1,3,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0.00,8-17-1991,
AT,LA,N,0,0,0,1,1,3,1,10,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0.00,8-18-1991,
VS,SF,N,0,0,0,0,0,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.40,8-20-1991,
VS,SF,N,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.15,8-22-1991,
AT,PHI,N,0,0,0,0,0,1.1,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.18,8-28-1991,
AT,MON,N,0,0,0,0,0,0.1,1,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3.00,8-31-1991,
AT,MON,N,0,0,0,1,0,2,1,9,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,3.38,9- 1-1991,
AT,NY,N,0,0,0,0,0,0.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.12,9- 2-1991,
AT,NY,N,0,0,0,0,0,1.1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2.70,9- 4-1991,
VS,PHI,N,0,0,0,0,0,0.1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.61,9- 7-1991,
VS,SD,N,0,0,0,0,0,1.1,2,6,0,1,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,3.09,9-10-1991,
VS,LA,N,0,0,0,0,0,2,4,10,0,2,2,1,0,2,0,0,0,0,0,1,0,0,0,0,0,3.95,9-11-1991,
AT,CIN,N,0,0,0,0,0,1,1,4,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,3.68,9-13-1991,
AT,CIN,N,0,0,0,0,0,0.1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.60,9-14-1991,
AT,SD,N,0,0,0,0,0,0.2,1,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3.45,9-17-1991,
AT,LA,N,0,0,0,1,0,2,3,9,0,2,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,4.08,9-18-1991,
VS,CIN,N,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.86,9-20-1991,
VS,SF,N,0,0,0,0,0,0.2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.72,9-24-1991,
VS,ATL,N,0,0,0,0,0,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.19,9-27-1991,
VS,ATL,N,0,0,0,0,0,0.1,0,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,4.12,9-28-1991,
