at_vs,Opponent,League,GS,CG,SHO,GF,SV,IP,H,BFP,HR,R,ER,BB,IB,SO,SH,SF,WP,HBP,BK,2B,3B,GDP,ROE,W,L,ERA,Date,dblhead_num
AT,STL,N,0,0,0,1,0,2,1,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0.00,6- 4-2006,
AT,HOU,N,0,0,0,0,0,2,2,8,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0.00,6- 6-2006,
AT,CIN,N,1,0,0,0,0,6,2,23,1,1,1,3,0,7,1,0,0,0,0,1,0,0,0,1,0,0.90,6-11-2006,
VS,DET,A,1,0,0,0,0,6,7,26,1,4,4,2,0,4,2,0,0,0,0,2,1,0,0,0,1,2.81,6-17-2006,
AT,MIN,A,1,0,0,0,0,5.2,6,27,1,7,7,4,0,3,0,0,0,0,0,3,0,0,0,0,1,4.98,6-23-2006,
VS,MIL,N,1,0,0,0,0,6.1,3,23,0,1,1,2,0,8,0,0,0,1,0,1,0,0,0,0,0,4.18,6-28-2006,
AT,HOU,N,1,0,0,0,0,4.1,5,24,2,4,4,7,2,1,1,0,0,0,0,3,0,1,0,0,1,4.73,7- 3-2006,
AT,MIL,N,1,0,0,0,0,6,3,27,0,1,1,5,0,4,1,0,0,1,0,2,0,0,0,1,0,4.23,7- 8-2006,
VS,HOU,N,1,0,0,0,0,6,4,27,0,1,1,6,0,6,1,0,1,0,1,0,1,1,0,1,0,3.86,7-18-2006,
AT,WAS,N,1,0,0,0,0,3.2,6,20,2,5,5,4,0,2,0,0,1,0,0,2,0,0,0,0,1,4.50,7-23-2006,
VS,STL,N,1,0,0,0,0,5.1,3,25,0,3,2,7,0,5,0,0,0,0,0,2,0,0,0,1,0,4.39,7-28-2006,
VS,ARI,N,1,0,0,0,0,5,7,26,1,7,7,3,0,2,0,1,1,1,0,0,1,0,0,0,1,5.09,8- 3-2006,1
AT,MIL,N,1,0,0,0,0,5.1,4,24,2,3,3,4,0,3,0,0,0,0,0,1,0,0,0,1,0,5.09,8- 8-2006,
AT,COL,N,1,0,0,0,0,5,5,26,1,6,6,8,0,1,0,0,0,0,0,0,0,0,0,0,0,5.50,8-13-2006,
VS,STL,N,1,0,0,0,0,3,6,16,1,4,3,0,0,0,0,1,0,1,0,0,0,0,0,0,1,5.65,8-18-2006,
VS,PIT,N,0,0,0,0,0,2,2,9,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,5.50,9- 5-2006,
VS,PIT,N,0,0,0,0,0,2,0,7,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,5.35,9- 7-2006,
