at_vs,Opponent,League,GS,CG,SHO,GF,SV,IP,H,BFP,HR,R,ER,BB,IB,SO,SH,SF,WP,HBP,BK,2B,3B,GDP,ROE,W,L,ERA,Date,dblhead_num
VS,HOU,N,0,0,0,0,0,7,5,27,0,1,1,1,0,5,0,0,0,0,0,2,1,0,0,1,0,1.29,8-27-1980,
VS,ATL,N,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12,8-31-1980,
VS,CIN,N,0,0,0,0,0,3,4,12,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1.64,9- 1-1980,
AT,HOU,N,1,0,0,0,0,5,5,20,1,5,5,1,0,1,0,0,0,0,0,1,0,0,0,0,1,3.94,9- 6-1980,2
VS,PIT,N,1,0,0,0,0,8,7,32,0,2,2,2,0,4,0,1,1,0,0,1,1,1,0,0,1,3.38,9-11-1980,
AT,CHI,N,1,0,0,0,0,5,4,21,0,3,3,2,0,3,0,0,0,0,0,1,0,0,0,0,0,3.72,9-16-1980,
AT,PIT,N,1,0,0,0,0,3.2,7,19,0,6,6,1,1,2,0,1,0,0,0,1,1,0,0,0,1,4.96,9-24-1980,
AT,NY,N,0,0,0,1,0,0.1,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4.91,9-28-1980,
VS,NY,N,1,1,0,0,0,9,7,33,0,2,2,1,0,6,0,0,0,0,0,0,1,1,1,1,0,4.29,10- 5-1980,
AT,HOU,N,0,0,0,0,0,5,2,18,0,2,2,2,0,4,0,0,0,0,0,0,0,1,0,0,0,3.60,5-14-1981,
AT,ATL,N,0,0,0,0,0,0.1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.38,5-17-1981,
VS,HOU,N,1,1,0,0,0,9,4,32,1,1,1,2,0,1,0,0,0,0,1,0,0,1,0,1,0,1.88,5-21-1981,
AT,MON,N,1,0,0,0,0,6.1,6,27,0,3,3,2,0,1,1,0,0,0,0,1,0,0,1,0,1,2.61,5-27-1981,
VS,MON,N,1,0,0,0,0,7.2,4,29,0,1,1,3,0,3,0,0,0,0,0,2,0,1,1,1,0,2.22,6- 1-1981,
VS,SD,N,1,1,0,0,0,9,7,35,0,1,1,1,0,3,0,0,0,1,0,0,1,0,0,1,0,1.93,6- 6-1981,
AT,PHI,N,1,0,0,0,0,7,4,25,2,2,2,0,0,3,0,0,0,0,0,1,0,0,0,1,0,2.03,8-13-1981,
VS,SD,N,1,0,0,0,0,6,8,25,0,4,4,1,0,2,0,0,0,1,0,1,1,1,0,0,0,2.50,8-19-1981,
VS,SF,N,1,0,0,0,0,7,6,28,0,3,3,2,0,1,1,1,0,0,0,1,0,1,0,0,1,2.67,8-25-1981,
AT,SD,N,1,0,0,0,0,3.2,4,18,0,4,2,3,0,1,0,0,0,0,0,0,1,1,1,0,0,2.80,8-30-1981,
AT,LA,N,1,1,0,0,0,9,5,33,1,2,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,2.57,9- 4-1981,
