at_vs,Opponent,League,GS,CG,SHO,GF,SV,IP,H,BFP,HR,R,ER,BB,IB,SO,SH,SF,WP,HBP,BK,2B,3B,GDP,ROE,W,L,ERA,Date,dblhead_num
VS,NY,N,1,0,0,0,0,5,7,23,2,5,5,1,0,3,0,0,1,0,0,2,0,0,0,0,0,9.00,9-15-1957,2
VS,MIL,N,0,0,0,0,0,0.2,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7.94,9-20-1957,
AT,CIN,N,0,0,0,1,0,2,1,8,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5.87,9-24-1957,1
AT,STL,N,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,4-15-1958,
AT,STL,N,0,0,0,1,1,1.2,0,5,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0.00,4-17-1958,
VS,STL,N,0,0,0,1,0,1.2,2,7,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0.00,4-19-1958,
AT,SF,N,0,0,0,1,0,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,4-26-1958,
VS,MIL,N,0,0,0,0,0,0.2,1,5,0,2,2,2,0,0,0,0,0,0,0,1,0,0,0,0,1,4.15,4-29-1958,
VS,MIL,N,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.15,5- 1-1958,
VS,MIL,N,0,0,0,0,0,2,2,9,0,1,1,3,0,1,0,0,0,0,0,0,0,2,0,0,0,4.26,5- 2-1958,
VS,CIN,N,0,0,0,0,0,5.2,0,17,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,2.25,5- 4-1958,2
VS,CIN,N,0,0,0,0,0,4.2,3,18,0,0,0,2,0,2,0,0,0,1,0,1,0,1,0,0,0,1.62,5- 8-1958,
AT,STL,N,0,0,0,0,0,0.1,1,3,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,2.12,5-10-1958,
AT,STL,N,0,0,0,0,0,0.1,0,5,0,1,0,1,1,0,1,0,0,0,0,0,0,0,3,0,0,2.08,5-11-1958,1
AT,STL,N,0,0,0,0,0,2,1,9,0,3,2,2,0,1,0,0,0,1,0,0,0,1,0,0,1,2.79,5-11-1958,2
VS,LA,N,0,0,0,0,0,0.1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.75,5-15-1958,
AT,PIT,N,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.20,5-20-1958,
AT,PHI,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.20,5-22-1958,
AT,MIL,N,0,0,0,0,0,2,2,8,0,1,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,3.32,5-25-1958,2
AT,CIN,N,0,0,0,0,0,1.1,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.13,5-27-1958,
VS,LA,N,0,0,0,1,0,0.2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.04,5-30-1958,2
VS,PHI,N,0,0,0,0,0,0,1,2,0,2,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3.80,6- 5-1958,
