at_vs,Opponent,League,GS,CG,SHO,GF,SV,IP,H,BFP,HR,R,ER,BB,IB,SO,SH,SF,WP,HBP,BK,2B,3B,GDP,ROE,W,L,ERA,Date,dblhead_num
AT,CHI,A,1,0,0,0,0,6.1,3,24,0,0,0,4,0,1,0,0,0,0,0,0,0,1,0,1,0,0.00,6- 2-2009,
VS,BAL,A,1,0,0,0,0,7.1,5,27,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0.00,6- 7-2009,
AT,SF,N,1,0,0,0,0,6,6,25,0,3,3,1,0,4,0,0,0,0,0,0,0,1,1,0,1,1.37,6-12-2009,
AT,LA,N,1,0,0,0,0,6,5,23,1,2,2,1,1,5,1,0,0,0,0,0,0,0,0,0,0,1.75,6-18-2009,
VS,SF,N,1,0,0,0,0,6,7,27,0,4,4,2,0,6,0,2,0,0,0,2,0,0,0,0,1,2.56,6-23-2009,
VS,COL,N,1,0,0,0,0,5,5,23,0,3,3,4,0,8,0,0,0,0,0,2,0,0,0,0,1,2.95,6-28-2009,
AT,CLE,A,1,0,0,0,0,6,10,27,2,5,5,1,0,0,0,0,1,1,0,2,0,1,0,0,1,3.59,7- 4-2009,
AT,TB,A,1,0,0,0,0,5,7,24,1,3,2,2,1,2,0,0,0,0,0,2,0,0,0,0,1,3.59,7-10-2009,
VS,ANA,A,1,0,0,0,0,3,10,20,1,8,4,2,1,3,0,0,0,0,0,1,0,0,0,0,1,4.09,7-18-2009,
AT,NY,A,1,0,0,0,0,4.1,8,24,1,6,6,4,0,7,0,0,0,0,0,2,0,0,0,0,1,4.75,7-23-2009,
AT,BOS,A,1,0,0,0,0,6,9,27,0,6,6,2,0,3,0,0,0,0,0,3,0,1,0,0,0,5.16,7-28-2009,
VS,TOR,A,1,0,0,0,0,5,10,28,2,7,7,3,0,4,0,0,1,0,0,4,0,0,0,0,1,5.73,8- 2-2009,
AT,KC,A,1,0,0,0,0,5,8,26,0,3,3,4,0,1,0,0,0,0,0,1,1,0,0,1,0,5.70,8- 7-2009,
AT,BAL,A,1,0,0,0,0,5.1,8,25,1,3,2,1,0,1,0,0,0,0,0,2,0,0,0,1,0,5.54,8-12-2009,
VS,NY,A,1,0,0,0,0,5,7,24,0,2,1,3,0,2,0,0,1,1,0,2,0,2,1,0,0,5.31,8-18-2009,
AT,SEA,A,1,0,0,0,0,5,5,25,2,3,3,4,0,4,0,0,0,2,0,1,0,1,0,0,1,5.32,8-24-2009,
AT,ANA,A,1,0,0,0,0,5,7,24,1,3,3,1,0,4,0,1,2,0,0,1,0,0,1,0,0,5.32,8-29-2009,
VS,TEX,A,1,0,0,0,0,3,2,15,1,4,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,12.00,5- 4-2010,
VS,DET,A,0,0,0,1,0,5,5,20,1,2,2,1,0,4,0,0,0,0,0,0,0,1,0,0,0,6.75,5-20-2010,
AT,DET,A,0,0,0,1,0,2,4,14,1,5,0,3,0,1,2,0,0,0,0,0,0,0,1,0,0,5.40,5-30-2010,
AT,BOS,A,0,0,0,0,0,3.1,9,18,1,3,3,1,0,1,0,1,0,0,0,5,0,0,0,1,0,6.07,6- 3-2010,
VS,ANA,A,1,0,0,0,0,5,5,20,0,1,1,0,0,3,0,0,0,0,0,1,0,0,0,1,0,4.91,6- 8-2010,
AT,SF,N,1,0,0,0,0,6,6,24,2,4,3,1,0,1,0,0,0,0,0,0,0,1,0,0,1,4.81,6-13-2010,
AT,STL,N,1,0,0,0,0,5,6,23,1,4,4,3,0,5,0,0,0,0,0,0,0,1,0,0,0,5.22,6-18-2010,
VS,CIN,N,1,0,0,0,0,7,6,29,0,2,2,1,0,3,0,0,0,2,0,0,0,2,1,0,1,4.71,6-23-2010,
AT,BAL,A,1,0,0,0,0,6,3,26,0,1,1,6,0,2,1,0,2,1,0,2,0,1,0,1,0,4.25,6-29-2010,
