at_vs,Opponent,League,GS,CG,SHO,GF,SV,IP,H,BFP,HR,R,ER,BB,IB,SO,SH,SF,WP,HBP,BK,2B,3B,GDP,ROE,W,L,ERA,Date,dblhead_num
VS,OAK,A,0,0,0,1,0,2.2,3,12,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,3.38,7-17-1995,
VS,SEA,A,0,0,0,1,0,3,3,15,0,2,0,2,2,2,1,0,0,0,0,1,0,1,2,0,1,1.59,7-20-1995,
AT,CHI,A,0,0,0,0,0,1,1,5,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.70,7-23-1995,
VS,CAL,A,0,0,0,0,0,3.2,3,14,0,2,2,3,0,1,0,0,0,0,0,0,0,3,0,0,0,3.48,7-28-1995,
AT,BAL,A,0,0,0,0,0,3.2,3,16,1,3,3,2,0,2,0,0,0,0,0,1,0,0,0,0,0,4.50,8- 5-1995,
VS,TOR,A,0,0,0,0,0,0.1,2,5,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5.65,8- 9-1995,
VS,DET,A,1,0,0,0,0,6,8,25,1,6,6,0,0,2,0,0,0,0,0,1,0,0,0,0,1,6.64,8-12-1995,
AT,CLE,A,1,0,0,0,0,8,7,30,0,2,2,1,0,4,0,0,0,0,0,2,0,1,0,1,0,5.40,8-17-1995,
VS,KC,A,1,0,0,0,0,8,6,30,0,1,1,1,0,6,0,0,0,0,0,1,0,0,0,1,0,4.46,8-22-1995,
AT,CHI,A,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4.71,8-28-1995,
AT,TOR,A,1,0,0,0,0,5,7,23,0,2,2,2,0,1,0,0,0,0,0,2,0,0,0,1,0,3.60,4- 5-1997,
VS,NY,A,1,0,0,0,0,3.1,4,19,0,4,4,5,0,0,0,0,0,0,0,2,0,0,0,0,0,6.48,4-17-1997,
AT,NY,A,0,0,0,0,0,2.2,5,15,0,2,2,3,0,2,0,0,1,0,0,0,0,0,0,0,0,6.55,4-22-1997,
VS,CLE,A,1,0,0,0,0,5,7,27,1,5,4,5,0,4,0,0,1,0,0,1,0,0,1,0,0,6.75,4-26-1997,
AT,TOR,A,1,0,0,0,0,3.1,1,20,0,6,6,8,0,1,0,0,0,2,0,0,0,0,0,0,1,8.38,7-23-1997,
