at_vs,Opponent,League,GS,CG,SHO,GF,SV,IP,H,BFP,HR,R,ER,BB,IB,SO,SH,SF,WP,HBP,BK,2B,3B,GDP,ROE,W,L,ERA,Date,dblhead_num
AT,CHI,N,0,0,0,1,0,2,2,8,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4.50,9- 2-1955,
VS,NY,N,0,0,0,1,0,2,2,8,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4.50,9- 7-1955,
VS,CHI,N,1,0,0,0,0,7,10,33,1,5,5,4,1,3,1,0,0,0,0,1,0,1,0,0,0,5.73,9-19-1955,
VS,MIL,N,1,0,0,0,0,8,8,35,1,3,3,2,0,2,0,1,0,0,0,2,0,0,2,0,0,4.74,9-24-1955,
VS,MIL,N,0,0,0,1,0,5,2,17,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,1,0,0.00,4-21-1956,
VS,PIT,N,0,0,0,0,0,1,1,6,0,1,1,2,1,2,0,0,0,0,0,1,0,0,0,0,0,1.50,5- 2-1956,
VS,BRO,N,0,0,0,0,0,0,2,3,0,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4.50,5- 4-1956,
VS,NY,N,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3.86,5- 7-1956,
AT,CHI,N,0,0,0,0,0,0.2,2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.52,5-12-1956,
AT,CHI,N,1,0,0,0,0,2,6,13,0,4,4,1,0,2,0,0,0,0,0,1,1,0,0,0,0,6.52,5-13-1956,2
AT,BRO,N,0,0,0,1,0,4.1,1,17,0,0,0,3,1,3,1,0,1,0,0,0,0,1,1,0,0,4.50,5-16-1956,
AT,PHI,N,0,0,0,1,0,6,3,23,0,0,0,2,0,4,0,1,0,0,0,0,1,0,0,1,0,3.15,5-19-1956,
AT,PIT,N,0,0,0,1,0,3,2,11,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.13,5-23-1956,
VS,CHI,N,0,0,0,1,0,4.2,5,18,0,1,1,1,0,2,0,0,0,0,0,0,1,2,0,1,0,2.93,5-27-1956,1
VS,CIN,N,0,0,0,1,0,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.83,5-30-1956,2
VS,PHI,N,1,0,0,0,0,5.1,13,28,0,6,4,1,0,0,0,0,0,0,0,1,0,1,1,0,1,3.44,6- 3-1956,2
VS,PIT,N,0,0,0,0,0,0.2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.38,6-10-1956,1
AT,PIT,N,0,0,0,0,0,3,3,11,0,1,1,1,0,2,0,0,0,0,0,1,0,1,0,0,0,3.35,6-15-1956,
AT,PHI,N,0,0,0,1,0,1,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3.26,6-22-1956,
