at_vs,Opponent,League,GS,CG,SHO,GF,SV,IP,H,BFP,HR,R,ER,BB,IB,SO,SH,SF,WP,HBP,BK,2B,3B,GDP,ROE,W,L,ERA,Date,dblhead_num
VS,PHI,N,1,0,0,0,0,0.1,3,6,2,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,135.00,6-11-1977,
VS,NY,N,1,0,0,0,0,4.2,7,21,1,5,5,0,0,0,2,0,0,0,0,1,0,0,0,0,0,18.00,6-15-1977,
VS,CIN,N,0,0,0,1,0,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15.00,9-24-1977,
AT,MON,N,0,0,0,0,0,2,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.00,6-11-1979,
AT,MON,N,0,0,0,0,0,2,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.00,6-13-1979,
AT,NY,N,0,0,0,0,0,2,3,10,0,1,1,1,0,2,0,0,0,0,0,0,1,0,0,0,1,1.50,6-15-1979,
AT,NY,N,0,0,0,0,0,2,1,6,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1.12,6-17-1979,
VS,PHI,N,0,0,0,0,0,2,3,11,1,4,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1.80,6-20-1979,
VS,LA,N,0,0,0,0,0,2,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1.50,6-21-1979,
AT,SF,N,0,0,0,0,0,1,0,4,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1.38,6-26-1979,
AT,SD,N,0,0,0,0,0,3.1,0,10,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1.10,6-27-1979,2
AT,LA,N,0,0,0,1,1,1,1,6,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,1.04,7- 1-1979,
VS,SF,N,0,0,0,0,0,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.98,7- 4-1979,
VS,STL,N,0,0,0,0,0,3.1,1,10,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0.83,7- 6-1979,2
VS,CHI,N,0,0,0,1,0,2,3,9,1,2,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1.52,7-10-1979,
VS,PIT,N,0,0,0,0,0,1.2,2,6,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1.42,7-14-1979,
AT,CHI,N,0,0,0,0,0,2,4,10,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.98,7-20-1979,
AT,PIT,N,0,0,0,1,0,2,0,7,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1.84,7-22-1979,1
AT,PIT,N,0,0,0,1,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.78,7-23-1979,1
AT,STL,N,0,0,0,1,0,4,1,14,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1.57,7-25-1979,
VS,CIN,N,0,0,0,0,0,2,1,9,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1.49,7-28-1979,1
VS,CIN,N,0,0,0,0,0,2,4,14,1,3,2,4,2,1,1,0,0,0,0,1,0,0,0,0,0,1.88,7-29-1979,
VS,SD,N,0,0,0,0,0,2,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1.79,8- 1-1979,
AT,HOU,N,0,0,0,0,0,0.2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1.76,8- 4-1979,1
AT,CIN,N,0,0,0,0,0,3,2,14,0,1,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1.84,8- 6-1979,
VS,HOU,N,0,0,0,1,0,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.83,8-10-1979,
VS,NY,N,0,0,0,0,0,3,2,11,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1.90,8-14-1979,
AT,MON,N,0,0,0,1,0,2.1,2,9,0,1,1,0,0,2,1,0,0,0,0,1,0,0,0,0,1,1.99,8-18-1979,
AT,PHI,N,0,0,0,0,0,2,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1.92,8-21-1979,
AT,PHI,N,0,0,0,0,0,2,1,8,0,2,2,2,0,1,0,0,0,0,0,0,0,1,0,0,0,2.18,8-22-1979,
AT,NY,N,0,0,0,1,1,1.1,1,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2.13,8-28-1979,
AT,NY,N,0,0,0,1,1,0.1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.11,8-29-1979,
VS,PHI,N,0,0,0,1,0,2,3,11,0,1,1,2,1,1,1,0,0,0,0,1,0,0,0,0,1,2.20,9- 2-1979,
VS,CIN,N,0,0,0,0,0,2.1,3,12,0,1,1,2,0,2,0,0,0,0,0,0,0,0,0,1,0,2.26,9- 4-1979,
VS,LA,N,0,0,0,1,1,2,2,7,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.34,9- 6-1979,
AT,SF,N,0,0,0,1,1,3,2,11,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,2.23,9-11-1979,
AT,SD,N,0,0,0,0,0,1.2,2,8,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2.17,9-14-1979,
AT,LA,N,0,0,0,1,0,1,2,5,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2.27,9-18-1979,
VS,HOU,N,0,0,0,0,0,0.1,1,3,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2.39,9-24-1979,1
AT,CIN,N,0,0,0,0,0,1.1,2,7,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2.48,9-28-1979,
AT,SEA,A,0,0,0,1,0,1,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0.00,4- 9-1980,
