at_vs,Opponent,League,GS,CG,SHO,GF,SV,IP,H,BFP,HR,R,ER,BB,IB,SO,SH,SF,WP,HBP,BK,2B,3B,GDP,ROE,W,L,ERA,Date,dblhead_num
VS,NY,N,1,0,0,0,0,7,5,29,0,0,0,2,0,2,0,0,0,0,0,4,0,0,1,1,0,0.00,7-17-1978,1
AT,NY,N,1,0,0,0,0,6,4,21,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0.00,7-23-1978,
VS,MON,N,1,0,0,0,0,4,7,20,2,4,4,2,0,2,0,0,0,0,0,2,0,0,0,0,0,2.12,7-28-1978,1
VS,CIN,N,1,0,0,0,0,5,4,22,2,4,4,3,0,2,0,0,0,0,0,1,0,0,1,1,0,3.27,8- 1-1978,
VS,HOU,N,1,0,0,0,0,6.2,4,25,1,1,1,2,0,2,0,0,0,0,0,0,0,0,0,1,0,2.83,8- 6-1978,
AT,HOU,N,1,0,0,0,0,8,3,28,0,0,0,1,0,4,1,0,0,0,0,0,0,0,0,1,0,2.21,8-11-1978,
AT,CHI,N,1,0,0,0,0,1.2,5,12,0,5,5,2,0,0,0,0,1,0,0,2,0,0,0,0,0,3.29,8-15-1978,
AT,STL,N,1,1,1,0,0,9,4,32,0,0,0,2,0,4,0,0,0,0,0,2,0,1,1,1,0,2.66,8-19-1978,
VS,STL,N,1,0,0,0,0,4.1,8,24,2,6,6,2,0,1,0,0,0,2,0,2,0,1,0,0,0,3.48,8-25-1978,
VS,CHI,N,1,1,0,0,0,9,8,35,1,2,2,2,0,4,0,0,0,0,0,1,0,1,0,1,0,3.26,8-30-1978,
VS,SD,N,1,0,0,0,0,6.1,10,36,1,7,3,5,2,7,2,0,1,0,0,2,0,0,2,0,1,3.36,9- 4-1978,
AT,SD,N,1,0,0,0,0,8.1,4,35,0,2,0,4,0,5,0,0,0,0,0,1,0,0,2,1,0,2.99,9-11-1978,
AT,LA,N,1,0,0,0,0,7,3,29,0,2,2,5,1,2,0,0,0,0,0,1,0,0,0,0,1,2.95,9-16-1978,
VS,CIN,N,1,1,0,0,0,9,6,36,1,1,1,2,1,3,1,0,0,0,0,0,0,0,1,1,0,2.76,9-23-1978,
VS,HOU,N,1,0,0,0,0,8,9,33,1,4,3,1,0,3,1,0,0,0,0,2,0,0,1,0,1,2.81,9-28-1978,
AT,HOU,N,1,0,0,0,0,6,8,26,0,5,5,0,0,3,1,0,0,0,0,1,2,0,1,0,1,7.50,4- 7-1979,
AT,LA,N,1,1,0,0,0,9,4,33,1,2,2,2,0,5,0,0,0,0,0,0,0,0,0,1,0,4.20,4-12-1979,
AT,CIN,N,1,0,0,0,0,0.2,5,9,0,7,7,2,0,1,1,0,0,0,0,2,0,0,0,0,1,8.04,4-17-1979,
VS,SD,N,1,0,0,0,0,5.2,8,27,1,4,4,2,0,3,3,0,0,1,0,0,0,1,1,0,0,7.59,4-22-1979,
VS,CHI,N,1,0,0,0,0,8.2,3,35,0,3,3,6,0,4,0,0,0,0,0,0,0,0,0,0,0,6.30,4-29-1979,
AT,CHI,N,1,0,0,0,0,2.1,7,16,1,8,8,2,0,1,0,0,1,0,0,1,0,0,0,0,0,8.07,5- 6-1979,
AT,STL,N,1,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.83,5-11-1979,
AT,SD,N,1,0,0,0,0,3.2,3,15,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,7.30,6-27-1979,2
VS,CIN,N,1,0,0,0,0,4,8,20,0,4,4,1,1,5,0,0,0,0,0,1,0,0,0,0,0,7.46,9- 4-1979,
AT,SF,N,1,0,0,0,0,6,3,22,0,1,1,1,0,4,1,0,0,1,0,1,0,0,0,1,0,6.70,9-11-1979,
AT,HOU,N,1,0,0,0,0,4,6,21,0,4,4,2,0,1,0,0,1,1,0,1,1,0,0,0,0,6.88,9-19-1979,
VS,HOU,N,1,0,0,0,0,7,8,30,1,2,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,6.36,9-24-1979,1
AT,CIN,N,1,0,0,0,0,8.1,5,30,0,0,0,2,0,4,0,0,0,0,0,1,0,1,0,1,0,5.56,9-29-1979,
AT,CIN,N,1,0,0,0,0,0,4,5,1,5,3,0,0,0,0,0,0,0,0,0,1,0,1,0,1,INF,4-11-1980,
AT,HOU,N,1,0,0,0,0,1.1,6,11,0,5,5,1,0,1,1,0,0,0,0,2,0,0,0,0,1,54.00,4-15-1980,
VS,MON,N,1,0,0,0,0,8,5,31,2,2,2,2,0,3,0,0,0,0,0,0,0,0,0,1,0,9.64,4-27-1980,
AT,PIT,N,1,0,0,0,0,8.1,7,30,0,1,0,0,0,3,0,0,0,0,0,1,0,2,0,0,0,5.09,5- 3-1980,
VS,HOU,N,1,0,0,0,0,7,8,28,4,4,4,1,0,2,0,0,0,0,0,0,0,0,0,1,0,5.11,5- 9-1980,
VS,PHI,N,1,0,0,0,0,2,9,16,0,7,6,1,0,1,0,0,0,1,0,2,0,0,1,0,1,6.75,5-14-1980,
AT,MON,N,1,0,0,0,0,1.2,4,11,1,5,5,1,0,0,0,0,0,1,0,0,0,0,0,0,1,7.94,5-19-1980,
VS,SF,N,1,0,0,0,0,7.2,11,33,1,3,3,0,0,5,1,1,0,0,1,4,0,0,0,1,0,7.00,5-27-1980,
AT,SF,N,1,0,0,0,0,8.2,5,34,0,2,2,2,0,5,0,0,0,2,0,3,0,0,0,0,0,6.04,6- 3-1980,
VS,STL,N,1,0,0,0,0,8,7,31,2,3,3,1,0,3,0,0,1,1,0,2,0,1,0,0,0,5.64,6-11-1980,
VS,PIT,N,1,0,0,0,0,8,8,34,0,2,1,1,0,6,0,0,0,0,0,2,0,1,2,0,0,5.04,6-18-1980,1
AT,CIN,N,1,0,0,0,0,5.1,9,27,1,3,3,3,0,2,1,0,0,0,0,2,0,0,0,0,1,5.05,6-24-1980,
AT,SD,N,1,1,0,0,0,9,8,38,0,2,2,3,1,3,1,0,1,0,0,1,0,0,0,1,0,4.68,6-29-1980,
VS,SD,N,1,1,1,0,0,9,3,31,0,0,0,1,0,4,0,0,0,0,0,0,0,1,1,1,0,4.18,7- 4-1980,
AT,HOU,N,1,0,0,0,0,1.2,6,13,0,5,5,1,0,0,1,0,0,1,0,2,1,0,0,0,1,4.62,7-12-1980,
VS,NY,N,1,1,0,0,0,9,8,35,1,2,2,0,0,3,0,0,0,0,0,2,0,0,1,1,0,4.37,7-16-1980,
VS,PHI,N,1,1,0,0,0,9,7,37,0,2,1,1,0,2,0,0,0,0,0,1,0,0,2,1,0,4.08,7-20-1980,
AT,PHI,N,1,0,0,0,0,3.2,7,18,3,4,4,0,0,2,0,0,0,0,0,1,0,0,0,0,0,4.28,7-25-1980,1
AT,NY,N,1,0,0,0,0,5.1,8,23,0,2,2,0,0,4,0,0,1,0,0,1,2,0,0,0,1,4.23,7-29-1980,
AT,MON,N,1,0,0,0,0,5,7,24,1,5,5,2,0,5,0,0,0,0,0,2,1,0,0,0,1,4.44,8- 3-1980,
VS,SF,N,1,0,0,0,0,7,7,28,1,3,3,1,0,5,0,0,1,0,0,2,0,1,0,1,0,4.40,8- 8-1980,
AT,SF,N,1,0,0,0,0,4,3,18,1,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,1,4.55,8-14-1980,
VS,CHI,N,1,0,0,0,0,6.2,4,28,1,5,4,5,0,4,0,0,1,0,0,1,0,0,0,1,0,4.59,8-20-1980,
AT,PIT,N,1,0,0,0,0,3,5,15,2,4,4,1,0,1,0,1,0,0,0,1,0,0,0,0,0,4.75,8-25-1980,
AT,STL,N,1,0,0,0,0,3.2,7,19,0,4,4,1,0,1,0,0,0,1,0,1,0,1,0,0,1,4.88,8-30-1980,
VS,PIT,N,1,0,0,0,0,6,5,23,1,3,3,1,0,3,0,0,0,0,0,0,0,0,1,0,0,4.86,9- 5-1980,
VS,CIN,N,1,0,0,0,0,0.1,4,5,1,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5.04,9-10-1980,
