at_vs,Opponent,League,GS,CG,SHO,GF,SV,IP,H,BFP,HR,R,ER,BB,IB,SO,SH,SF,WP,HBP,BK,2B,3B,GDP,ROE,W,L,ERA,Date,dblhead_num
AT,LA,N,0,0,0,0,0,0.1,1,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,27.00,4-13-1987,
AT,CIN,N,0,0,0,0,0,1.1,1,5,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,5.40,4-17-1987,
AT,CIN,N,0,0,0,1,0,2,2,8,0,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,7.36,4-18-1987,
AT,CIN,N,0,0,0,0,0,0.2,1,3,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.31,4-19-1987,2
VS,ATL,N,0,0,0,0,0,0.1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,7.71,4-23-1987,
VS,CIN,N,0,0,0,0,0,0.1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.20,4-25-1987,
AT,ATL,N,0,0,0,1,0,1.2,3,7,1,2,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,8.10,5- 1-1987,
AT,ATL,N,0,0,0,1,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,7.04,5- 2-1987,
VS,NY,N,0,0,0,1,0,1,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,6.23,5-13-1987,
VS,NY,N,0,0,0,1,0,2.2,0,9,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1,0,4.76,5-14-1987,
AT,PIT,N,0,0,0,0,0,0.1,1,4,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,5.40,5-19-1987,
AT,PIT,N,0,0,0,1,0,2,1,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4.61,5-20-1987,
VS,STL,N,0,0,0,0,0,0.2,4,6,0,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6.91,5-22-1987,
VS,STL,N,0,0,0,0,0,0.2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6.60,5-23-1987,
VS,PIT,N,0,0,0,1,0,3,2,10,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,5.50,5-26-1987,
AT,STL,N,0,0,0,1,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.21,5-29-1987,
AT,STL,N,0,0,0,0,0,1,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.95,5-31-1987,
AT,CHI,N,0,0,0,0,0,3,7,18,1,5,5,3,0,2,0,1,1,0,0,2,0,1,0,0,0,6.26,6- 3-1987,
VS,SD,N,0,0,0,1,0,1.1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.92,6- 8-1987,
AT,LA,N,0,0,0,1,0,1,4,8,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.39,6-13-1987,
VS,CIN,N,0,0,0,1,0,2,5,9,0,2,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,6.59,6-17-1987,
VS,LA,N,0,0,0,1,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6.35,6-19-1987,
AT,SD,N,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.35,6-24-1987,
AT,SF,N,0,0,0,0,0,0.1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.28,6-27-1987,
AT,CIN,N,0,0,0,0,0,0.2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.14,7- 1-1987,
VS,MON,N,0,0,0,1,0,1,2,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.93,7- 6-1987,
VS,NY,N,0,0,0,0,0,1.1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5.68,7-10-1987,
VS,NY,N,0,0,0,0,0,0.2,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5.57,7-11-1987,
VS,PHI,N,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.40,7-19-1987,
AT,MON,N,0,0,0,1,0,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.09,7-20-1987,
AT,NY,N,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.09,7-24-1987,1
AT,NY,N,0,0,0,0,0,2.2,5,12,0,1,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,4.97,7-24-1987,2
AT,NY,N,0,0,0,0,0,0.1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.93,7-26-1987,
AT,ATL,N,0,0,0,0,0,0.2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.85,7-29-1987,
VS,SD,N,0,0,0,1,0,1,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.72,7-31-1987,
VS,SD,N,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.61,8- 1-1987,
VS,SF,N,0,0,0,0,0,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.57,8- 4-1987,
VS,SF,N,0,0,0,0,0,0.1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4.54,8- 5-1987,
AT,SD,N,0,0,0,1,0,0.1,2,4,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,4.71,8- 8-1987,
AT,SF,N,0,0,0,1,0,0.1,2,3,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5.10,8-10-1987,
AT,SD,N,0,0,0,1,0,1,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4.98,9-11-1987,
AT,SD,N,0,0,0,1,0,2,2,8,1,2,2,1,0,2,0,0,0,0,0,0,0,1,0,0,0,5.16,9-13-1987,
AT,SF,N,0,0,0,1,0,1,1,6,1,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,5.44,9-16-1987,
VS,ATL,N,0,0,0,0,0,0.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.36,10- 1-1987,
VS,CIN,N,0,0,0,0,0,1.2,5,8,0,2,2,0,0,1,0,1,0,0,0,1,0,0,0,0,0,5.55,10- 2-1987,
AT,PHI,N,0,0,0,1,0,2,2,8,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.50,5- 2-1988,
AT,NY,N,0,0,0,0,0,4.1,3,19,1,3,1,2,0,2,0,0,0,0,0,0,0,1,2,0,0,2.84,5- 4-1988,
VS,NY,N,0,0,0,1,0,0.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.57,5-11-1988,
AT,NY,N,0,0,0,1,0,2,1,9,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,2.00,7- 1-1988,2
AT,NY,N,0,0,0,1,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.80,7- 2-1988,
VS,NY,N,0,0,0,0,0,0.1,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.61,7-10-1988,
AT,PHI,N,0,0,0,1,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.38,7-17-1988,
VS,PHI,N,0,0,0,0,0,0,2,3,0,3,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3.97,7-24-1988,
AT,SD,N,0,0,0,0,0,2,1,8,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,3.38,7-26-1988,
AT,LA,N,0,0,0,1,0,1,1,5,0,1,1,0,0,2,0,0,1,0,0,1,0,0,1,0,0,3.77,7-31-1988,
VS,LA,N,0,0,0,1,0,2,1,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.31,8- 6-1988,
VS,SF,N,0,0,0,0,0,0,3,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.86,8-10-1988,
VS,SF,N,0,0,0,1,0,1,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3.63,8-11-1988,
VS,SD,N,0,0,0,0,0,2,1,8,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3.26,8-14-1988,
AT,STL,N,1,0,0,0,0,6,2,22,0,0,0,2,0,4,0,0,0,0,0,0,0,0,1,1,0,2.49,8-17-1988,
AT,CHI,N,0,0,0,0,0,0.2,4,6,1,3,3,0,0,1,0,1,0,0,0,0,1,0,0,0,0,3.46,8-23-1988,
VS,PIT,N,0,0,0,0,0,5.1,3,20,0,0,0,1,0,5,0,0,0,0,0,1,0,0,0,1,0,2.87,8-27-1988,
VS,STL,N,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.78,9- 3-1988,
AT,CIN,N,0,0,0,0,0,0.1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.76,9-13-1988,
VS,SF,N,0,0,0,0,0,0.2,1,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2.70,9-18-1988,
AT,SD,N,0,0,0,0,0,2,1,9,0,0,0,2,0,5,0,0,0,0,0,1,0,0,0,0,0,2.55,9-25-1988,
VS,SD,N,1,0,0,0,0,4.1,7,21,0,4,4,2,0,1,0,0,0,0,0,1,0,0,0,0,1,3.18,9-30-1988,
