at_vs,Opponent,League,GS,CG,SHO,GF,SV,IP,H,BFP,HR,R,ER,BB,IB,SO,SH,SF,WP,HBP,BK,2B,3B,GDP,ROE,W,L,ERA,Date,dblhead_num
AT,OAK,A,1,0,0,0,0,6.1,7,31,0,3,3,6,0,3,0,0,1,0,0,2,0,0,0,0,1,4.26,4-11-1982,2
VS,OAK,A,1,0,0,0,0,1.2,4,11,1,4,4,1,0,0,0,0,0,1,0,1,0,0,0,0,1,7.88,4-17-1982,
VS,MIN,A,1,0,0,0,0,5.2,9,28,0,3,3,2,0,3,0,0,0,0,0,4,0,0,0,1,0,6.59,4-22-1982,
VS,MIN,A,0,0,0,0,0,1.1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.00,4-25-1982,
AT,CLE,A,1,0,0,0,0,0.1,4,7,0,6,6,2,0,0,0,0,0,0,0,1,0,0,0,0,1,9.39,4-28-1982,
AT,BAL,A,1,0,0,0,0,7.1,5,30,1,5,5,5,0,5,0,0,0,1,0,0,0,1,0,0,1,8.34,5- 3-1982,
VS,CLE,A,1,0,0,0,0,7,5,29,0,3,2,4,0,0,1,1,0,0,0,0,0,0,1,0,0,6.98,5-10-1982,
VS,BAL,A,1,0,0,0,0,6.1,4,27,1,2,2,5,0,5,1,0,0,0,0,1,0,0,0,0,0,6.25,5-15-1982,
AT,BOS,A,1,0,0,0,0,3,6,16,3,7,7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7.38,5-20-1982,
VS,BOS,A,1,0,0,0,0,5,6,24,1,2,2,4,0,2,0,0,0,0,0,0,0,0,0,1,0,6.95,5-29-1982,
VS,TEX,A,1,0,0,0,0,4.1,7,21,1,3,3,2,0,4,0,0,0,0,0,1,0,1,1,0,1,6.89,6-15-1982,
VS,TOR,A,1,0,0,0,0,8.1,7,32,0,4,4,3,0,2,0,1,0,0,0,1,0,1,1,1,0,6.51,6-21-1982,
AT,CHI,A,1,0,0,0,0,2.1,5,15,1,4,4,3,0,2,0,0,0,0,0,1,0,0,0,0,0,6.86,7- 3-1982,
VS,BAL,A,1,0,0,0,0,7,11,32,1,3,2,1,0,5,0,0,1,0,0,0,1,2,2,1,0,6.41,7- 8-1982,
AT,BAL,A,1,0,0,0,0,6,5,29,1,4,3,5,0,4,0,1,0,0,0,0,0,1,2,0,1,6.25,7-18-1982,
AT,CLE,A,1,1,1,0,0,9,4,32,0,0,0,3,0,3,0,0,0,0,0,2,0,2,0,1,0,5.56,7-24-1982,
AT,CAL,A,1,0,0,0,0,7,5,29,1,3,3,4,0,3,2,0,0,0,0,1,0,1,0,0,1,5.42,7-29-1982,
AT,OAK,A,1,0,0,0,0,6.1,3,24,1,2,2,2,0,5,0,0,0,0,0,0,0,0,1,1,0,5.25,8- 3-1982,
VS,CAL,A,1,0,0,0,0,2.2,5,17,2,4,4,4,0,1,1,0,0,0,0,0,0,0,0,0,1,5.47,8- 8-1982,
AT,MIN,A,1,0,0,0,0,6.2,4,28,0,1,1,4,0,6,1,1,1,0,0,1,0,0,0,0,0,5.21,8-14-1982,
VS,MIL,A,1,0,0,0,0,5.2,9,29,0,5,5,3,0,3,2,0,0,0,0,0,0,0,0,0,1,5.35,8-20-1982,
VS,DET,A,1,0,0,0,0,6.2,6,27,2,3,3,2,0,3,0,0,0,0,0,0,1,0,0,0,0,5.28,8-26-1982,
VS,KC,A,1,0,0,0,0,8,6,32,1,2,1,1,0,4,0,0,0,0,0,2,0,0,1,1,0,5.01,9- 7-1982,
AT,KC,A,1,0,0,0,0,4.1,10,23,1,6,6,2,0,1,0,0,0,0,0,0,1,0,0,0,1,5.26,9-13-1982,
VS,TEX,A,1,0,0,0,0,1.2,3,11,1,2,2,4,0,2,0,0,0,0,0,0,0,0,0,0,1,5.33,9-18-1982,
VS,CHI,A,1,0,0,0,0,2,9,15,0,5,5,2,0,2,0,0,1,0,0,2,0,0,0,0,1,5.59,9-23-1982,
AT,CHI,A,1,0,0,0,0,5.2,4,23,1,3,3,2,0,3,0,0,2,0,0,1,0,0,0,0,1,5.56,9-28-1982,
AT,TOR,A,1,0,0,0,0,6.2,6,25,0,2,1,2,0,2,0,0,0,0,0,2,0,3,0,0,0,5.36,10- 3-1982,
VS,MIN,A,1,0,0,0,0,6,5,27,1,4,4,6,0,4,0,0,0,0,0,1,0,1,0,0,0,6.00,4- 8-1983,
AT,CAL,A,1,0,0,0,0,5,7,25,1,5,4,2,0,5,0,1,0,0,0,1,0,0,2,0,1,6.55,4-13-1983,
AT,MIN,A,1,0,0,0,0,6.1,8,33,0,6,6,4,0,2,0,2,0,2,0,1,1,0,0,0,1,7.27,4-18-1983,
AT,DET,A,1,0,0,0,0,5,5,23,0,4,4,3,0,4,0,0,2,1,0,0,2,0,0,0,1,7.25,4-23-1983,
AT,TOR,A,1,0,0,0,0,3,6,16,0,2,2,2,0,0,0,0,1,0,0,2,1,0,0,0,0,7.11,7- 2-1983,
AT,BOS,A,1,0,0,0,0,6,5,26,0,1,1,3,1,6,0,0,0,0,0,3,0,0,0,0,0,6.03,7-11-1983,
VS,DET,A,1,1,1,0,0,9,5,33,0,0,0,1,1,9,0,0,0,0,0,1,0,0,0,1,0,4.69,7-16-1983,
VS,BOS,A,1,0,0,0,0,3,7,17,1,6,6,1,0,2,0,0,0,0,0,2,0,0,0,0,0,5.61,7-21-1983,
