at_vs,Opponent,League,GS,CG,SHO,GF,SV,IP,H,BFP,HR,R,ER,BB,IB,SO,SH,SF,WP,HBP,BK,2B,3B,GDP,ROE,W,L,ERA,Date,dblhead_num
AT,ARI,N,0,0,0,1,0,0.2,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.50,4-26-2001,
AT,ARI,N,0,0,0,1,0,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.00,4-29-2001,
VS,MIL,N,0,0,0,0,0,1,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4.50,5- 1-2001,
VS,STL,N,0,0,0,0,0,3,1,14,0,0,0,3,0,3,0,0,1,0,0,0,0,1,2,0,0,1.80,5- 6-2001,
VS,FLA,N,1,0,0,0,0,4,1,20,0,2,2,6,0,3,1,0,0,0,0,1,0,0,1,0,0,3.00,10- 7-2001,
VS,PHI,N,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,4- 4-2002,
VS,NY,N,1,0,0,0,0,6,3,23,0,2,2,2,1,4,1,0,0,1,0,0,0,1,0,0,0,2.57,4- 7-2002,
AT,NY,N,1,0,0,0,0,6,6,24,2,4,4,1,0,5,0,0,0,0,0,2,0,1,0,0,0,4.15,4-15-2002,
VS,FLA,N,1,0,0,0,0,6,4,21,2,2,2,0,0,4,0,0,0,0,0,1,0,1,0,0,0,3.79,4-19-2002,
VS,ARI,N,1,0,0,0,0,5,2,22,1,1,1,5,0,3,0,0,1,1,0,0,0,0,0,0,0,3.38,4-24-2002,
AT,STL,N,1,0,0,0,0,7,0,26,0,0,0,7,0,6,1,0,1,0,0,0,0,1,0,0,0,2.61,5- 3-2002,
VS,LA,N,1,0,0,0,0,5,4,22,0,2,2,3,0,1,0,0,1,0,0,1,0,1,1,1,0,2.75,5- 9-2002,
AT,SF,N,1,0,0,0,0,7,7,31,0,2,2,6,1,4,1,0,0,0,0,3,0,1,0,0,1,2.72,5-14-2002,
AT,COL,N,1,0,0,0,0,6.2,7,28,0,1,1,2,0,4,1,0,0,0,0,0,1,0,0,0,0,2.54,5-19-2002,
VS,MON,N,1,0,0,0,0,5,5,20,1,2,2,1,0,3,1,0,1,0,0,0,0,0,0,1,0,2.63,5-28-2002,
AT,CIN,N,1,0,0,0,0,6.2,5,28,0,5,5,5,1,3,1,0,0,0,0,2,0,1,0,0,1,3.08,6- 2-2002,
AT,TEX,A,1,0,0,0,0,4.2,7,24,0,6,6,3,0,4,0,0,1,0,0,3,0,0,0,0,0,3.68,6- 7-2002,
AT,MIN,A,1,0,0,0,0,7,2,23,0,0,0,2,0,8,0,0,0,1,0,0,0,0,0,1,0,3.33,6-12-2002,
VS,DET,A,0,0,0,1,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.28,6-18-2002,
VS,CHI,A,1,0,0,0,0,6,2,25,1,1,1,5,0,5,1,0,0,0,0,1,0,0,0,1,0,3.15,6-22-2002,
VS,MON,N,1,0,0,0,0,7,5,28,2,5,5,3,0,4,0,0,0,0,0,0,0,1,0,0,1,3.41,7- 2-2002,
VS,CHI,N,0,0,0,0,0,1,1,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3.38,7- 6-2002,
AT,MON,N,1,0,0,0,0,5.2,7,30,1,7,7,8,0,2,1,0,1,1,1,0,0,2,1,0,1,3.84,7-14-2002,
AT,PHI,N,1,0,0,0,0,6,5,24,0,1,0,1,0,4,0,0,1,0,0,1,0,0,0,1,0,3.61,7-19-2002,
AT,FLA,N,1,0,0,0,0,7,1,24,0,0,0,3,0,4,0,0,2,0,0,0,0,1,0,1,0,3.38,7-24-2002,
VS,MIL,N,1,0,0,0,0,7,2,26,1,1,1,4,0,7,0,0,0,0,0,1,0,0,0,1,0,3.25,7-30-2002,
