at_vs,Opponent,League,GS,CG,SHO,GF,SV,IP,H,BFP,HR,R,ER,BB,IB,SO,SH,SF,WP,HBP,BK,2B,3B,GDP,ROE,W,L,ERA,Date,dblhead_num
AT,DET,A,1,0,0,0,0,6.1,6,27,2,4,4,3,0,7,1,0,1,0,0,2,0,0,0,1,0,5.68,7- 3-1966,2
VS,CLE,A,1,1,0,0,0,9,3,30,1,1,1,1,0,5,0,0,0,0,0,0,0,1,0,1,0,2.93,7-10-1966,1
VS,BOS,A,1,0,0,0,0,9,6,36,1,2,2,3,0,6,0,0,0,0,0,0,1,0,0,0,0,2.59,7-17-1966,1
AT,WAS,A,1,0,0,0,0,5,6,22,0,2,0,2,1,5,0,0,0,0,0,2,0,1,1,1,0,2.15,7-22-1966,
AT,BOS,A,1,0,0,0,0,7,7,30,0,2,2,2,0,7,0,1,1,0,0,3,1,0,0,1,0,2.23,7-27-1966,
VS,DET,A,1,0,0,0,0,8,1,28,1,3,3,3,0,9,0,0,0,0,0,0,0,0,0,0,0,2.44,7-31-1966,1
VS,WAS,A,1,0,0,0,0,6.2,6,29,0,3,3,2,0,4,0,1,1,0,0,2,1,0,1,1,0,2.65,8- 4-1966,
VS,MIN,A,1,1,0,0,0,9,7,36,0,1,1,2,0,6,0,0,0,0,0,2,1,0,0,1,0,2.40,8- 8-1966,
AT,MIN,A,1,0,0,0,0,8.1,3,33,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,1,0,2.11,8-14-1966,1
AT,NY,A,1,0,0,0,0,3,7,20,0,5,5,4,1,0,0,1,1,0,0,2,0,0,0,0,1,2.65,8-19-1966,1
AT,BOS,A,1,0,0,0,0,6,6,24,0,2,2,1,0,5,0,0,0,0,0,4,0,1,0,1,0,2.68,8-24-1966,1
AT,CAL,A,1,1,0,0,0,9,7,37,0,1,1,3,0,7,0,0,0,0,0,0,1,0,0,1,0,2.50,8-28-1966,
VS,WAS,A,0,0,0,1,1,2.2,1,9,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2.43,8-31-1966,2
VS,CAL,A,1,1,0,0,0,9,5,33,0,1,1,1,0,7,0,0,0,0,0,2,0,0,0,1,0,2.30,9- 5-1966,
VS,DET,A,1,0,0,0,0,6,6,25,0,0,0,2,0,6,0,0,0,0,0,2,0,0,0,1,0,2.16,9-10-1966,
VS,BAL,A,1,0,0,0,0,6,5,26,0,1,1,4,1,5,0,0,0,0,0,1,0,0,0,0,0,2.13,9-21-1966,
VS,CLE,A,1,0,0,0,0,8,6,34,0,2,1,5,0,6,0,0,0,0,0,1,0,1,0,0,0,2.06,9-25-1966,
AT,DET,A,1,1,0,0,0,9,7,37,1,2,2,4,0,8,0,0,0,0,0,0,0,0,0,1,0,2.06,10- 1-1966,
VS,CLE,A,1,0,0,0,0,7,5,31,0,3,2,3,0,4,0,0,0,0,0,2,0,0,2,1,0,2.57,4-11-1967,
VS,DET,A,0,0,0,0,0,0.2,2,6,0,2,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,4.70,4-16-1967,1
AT,CLE,A,1,0,0,0,0,6,7,26,2,3,3,5,0,5,0,1,0,0,0,0,0,1,0,0,1,4.61,4-19-1967,
AT,BAL,A,1,1,0,0,0,8,11,40,2,5,5,8,0,4,0,0,1,0,0,2,0,1,0,0,1,4.98,4-23-1967,1
AT,BOS,A,1,1,1,0,0,9,5,34,0,0,0,3,0,7,0,0,0,0,0,0,0,0,1,1,0,3.52,4-30-1967,
VS,NY,A,1,0,0,0,0,6.2,4,24,0,1,1,2,0,10,0,0,0,0,0,2,0,1,0,1,0,3.13,5- 7-1967,1
AT,MIN,A,1,1,0,0,0,9,2,30,1,1,1,3,0,7,0,0,0,0,0,0,0,3,1,1,0,2.72,5-12-1967,
