at_vs,Opponent,League,GS,CG,SHO,GF,SV,IP,H,BFP,HR,R,ER,BB,IB,SO,SH,SF,WP,HBP,BK,2B,3B,GDP,ROE,W,L,ERA,Date,dblhead_num
VS,DET,A,0,0,0,1,0,0.1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.00,9- 9-1967,
VS,BAL,A,0,0,0,0,0,3,0,9,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.00,9-11-1967,
VS,CLE,A,0,0,0,0,0,3,3,10,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0.00,9-13-1967,
AT,CLE,A,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.42,9-22-1967,
AT,KC,A,0,0,0,1,0,0.2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.29,9-27-1967,1
VS,CAL,A,0,0,0,0,0,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,4-14-1968,
AT,CAL,A,0,0,0,1,1,2,0,8,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0.00,4-20-1968,
VS,CLE,A,0,0,0,0,0,2,3,9,0,1,1,0,0,2,0,0,3,0,0,1,0,0,0,0,0,2.08,5-10-1968,
AT,BOS,A,0,0,0,1,0,1,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.69,6- 1-1968,
VS,CAL,A,0,0,0,1,0,0.2,1,4,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1.50,6- 4-1968,
VS,OAK,A,0,0,0,0,0,5.2,4,20,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0.77,6- 7-1968,1
AT,WAS,A,0,0,0,0,0,3,2,12,0,1,1,2,0,2,0,0,0,0,0,0,0,1,0,1,0,1.23,6-11-1968,
AT,OAK,A,0,0,0,0,0,3,2,12,0,0,0,3,0,2,0,0,0,0,0,0,0,1,0,0,0,1.02,6-16-1968,2
AT,OAK,A,0,0,0,0,0,0.2,2,7,0,2,2,3,2,0,0,0,0,0,0,2,0,0,0,0,1,1.96,6-19-1968,
VS,CHI,A,0,0,0,0,0,3.1,1,11,1,1,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,2.08,7- 1-1968,
AT,MIN,A,0,0,0,0,0,0.2,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2.01,8-16-1968,
AT,CAL,A,0,0,0,1,0,1,2,6,0,1,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,1.93,8-20-1968,
VS,BOS,A,0,0,0,1,0,7,2,24,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,1,0,1.48,8-25-1968,
VS,WAS,A,1,0,0,0,0,7.1,6,31,2,4,3,3,0,8,0,0,0,0,0,0,0,0,1,0,0,1.91,8-29-1968,
VS,NY,A,1,0,0,0,0,6,5,26,0,3,3,3,0,4,0,0,0,0,0,0,1,0,0,0,0,2.27,9- 2-1968,2
AT,CLE,A,1,0,0,0,0,6.1,3,25,0,3,3,4,0,7,0,0,0,0,0,1,1,1,0,1,0,2.52,9-14-1968,
