at_vs,Opponent,League,GS,CG,SHO,GF,SV,IP,H,BFP,HR,R,ER,BB,IB,SO,SH,SF,WP,HBP,BK,2B,3B,GDP,ROE,W,L,ERA,Date,dblhead_num
VS,MIN,A,0,0,0,1,0,1,2,6,1,3,3,1,0,1,0,0,1,0,0,0,1,0,0,0,0,27.00,4-11-1962,
VS,MIN,A,0,0,0,1,0,1,0,6,0,1,1,3,0,1,0,0,1,0,0,0,0,0,0,0,0,18.00,4-12-1962,
VS,CHI,A,0,0,0,1,0,2,4,13,0,3,3,3,0,1,0,1,0,0,0,0,0,0,0,0,0,15.75,4-13-1962,
AT,CHI,A,0,0,0,0,0,0.2,2,5,0,2,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,17.36,4-21-1962,
VS,BAL,A,0,0,0,0,0,2,1,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0.00,7-24-1962,1
VS,BAL,A,0,0,0,1,1,2,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0.00,7-24-1962,2
AT,DET,A,0,0,0,0,0,2,2,10,1,4,4,2,0,3,0,0,0,0,0,0,0,0,0,0,0,6.00,7-28-1962,
AT,DET,A,0,0,0,1,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.14,7-29-1962,1
AT,DET,A,0,0,0,1,1,1,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,4.50,7-29-1962,2
AT,CLE,A,0,0,0,0,0,0,0,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,4.50,7-31-1962,
AT,CLE,A,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.50,8- 1-1962,2
AT,CLE,A,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4.00,8- 2-1962,
AT,BAL,A,0,0,0,0,0,0,1,2,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.00,8- 3-1962,
AT,BAL,A,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.00,8- 5-1962,
AT,BOS,A,0,0,0,1,0,2,1,9,0,0,0,1,0,4,0,0,0,0,0,1,0,0,1,1,0,5.73,8- 7-1962,
AT,CHI,A,0,0,0,0,0,1,0,5,0,1,1,3,0,1,0,0,0,0,0,0,0,1,0,0,0,6.00,8- 8-1962,2
VS,BOS,A,0,0,0,1,0,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.84,8-14-1962,1
VS,BOS,A,0,0,0,0,0,6.1,6,26,0,1,0,1,0,6,0,0,0,0,0,0,1,1,1,1,0,3.86,8-15-1962,
VS,WAS,A,0,0,0,1,1,2,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.48,8-17-1962,2
VS,NY,A,0,0,0,0,0,0.2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.38,8-21-1962,
VS,NY,A,0,0,0,1,0,2.2,2,11,1,2,2,2,0,2,0,0,0,0,0,0,0,1,0,0,1,3.75,8-22-1962,
VS,NY,A,0,0,0,1,0,5,3,22,0,0,0,3,2,3,2,0,0,0,0,1,0,0,1,1,0,3.10,8-23-1962,
AT,KC,A,0,0,0,0,0,1.2,0,8,0,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,3.23,8-28-1962,
AT,WAS,A,0,0,0,0,0,5.2,7,24,0,1,1,1,0,4,0,0,0,0,0,2,0,0,0,1,0,2.97,8-31-1962,1
AT,WAS,A,0,0,0,1,0,1.2,1,6,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,3.08,9- 1-1962,
AT,NY,A,0,0,0,0,0,0.1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.05,9- 3-1962,1
AT,NY,A,0,0,0,1,1,1,0,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2.97,9- 3-1962,2
AT,NY,A,0,0,0,0,0,0.2,1,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2.92,9- 4-1962,
AT,NY,A,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.92,9- 6-1962,
AT,BAL,A,0,0,0,0,0,0.1,2,3,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3.12,9- 7-1962,
AT,BAL,A,0,0,0,0,0,0.2,1,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3.07,9- 9-1962,
VS,KC,A,0,0,0,0,0,4.1,3,18,0,1,0,2,0,2,0,0,0,0,0,0,0,1,1,0,0,2.78,9-13-1962,
VS,DET,A,0,0,0,0,0,1.2,3,9,0,1,1,1,0,2,1,0,0,0,0,1,0,0,0,0,0,2.87,9-15-1962,
VS,BAL,A,0,0,0,0,0,4.1,5,19,0,2,0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,2.63,9-18-1962,
VS,CLE,A,0,0,0,0,0,2,2,10,0,2,2,1,0,0,0,0,1,0,0,0,0,0,1,0,1,2.87,9-21-1962,
AT,DET,A,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.87,9-25-1962,
AT,CLE,A,0,0,0,1,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.82,9-30-1962,1
VS,CHI,A,0,0,0,0,0,2,1,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.00,4-13-1963,
VS,NY,A,0,0,0,1,0,3,6,14,0,2,2,0,0,3,0,0,0,0,0,2,0,0,0,0,0,3.60,5- 2-1963,
VS,CLE,A,0,0,0,1,0,1,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3.00,5- 5-1963,
