at_vs,Opponent,League,GS,CG,SHO,GF,SV,IP,H,BFP,HR,R,ER,BB,IB,SO,SH,SF,WP,HBP,BK,2B,3B,GDP,ROE,W,L,ERA,Date,dblhead_num
VS,MIL,N,0,0,0,0,0,2,2,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,9- 2-1965,
VS,PHI,N,0,0,0,0,0,1,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0.00,9- 5-1965,
VS,PIT,N,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,9- 6-1965,2
VS,PIT,N,0,0,0,0,0,3.1,5,16,1,3,3,1,0,6,0,0,0,0,0,2,0,0,0,0,0,8.10,6-21-1966,
VS,LA,N,0,0,0,0,0,2,1,7,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5.06,6-29-1966,
AT,HOU,N,0,0,0,0,0,0.1,2,3,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,7.94,7- 2-1966,1
VS,STL,N,0,0,0,0,0,0.2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.11,7-14-1966,2
AT,HOU,N,0,0,0,0,0,1,4,10,0,7,6,3,1,1,0,0,1,0,0,3,0,0,1,0,0,13.50,8-21-1966,
VS,CHI,N,0,0,0,0,0,1,3,6,0,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,14.04,9- 1-1966,
AT,ATL,N,0,0,0,1,0,1,1,6,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,12.54,9-16-1966,
AT,ATL,N,0,0,0,1,0,1,2,6,1,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,12.19,9-18-1966,
AT,CHI,N,0,0,0,1,1,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11.12,9-20-1966,
AT,CHI,N,0,0,0,0,0,0.2,3,6,0,3,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,12.75,9-22-1966,
VS,NY,N,0,0,0,0,0,0.1,1,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,12.41,9-25-1966,
VS,HOU,N,0,0,0,1,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11.48,9-29-1966,
VS,ATL,N,0,0,0,0,0,1.2,4,9,1,3,3,0,0,1,0,0,0,0,1,0,1,0,0,0,1,12.00,10- 1-1966,2
AT,HOU,N,0,0,0,1,1,1,1,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00,4-21-1967,
AT,STL,N,0,0,0,0,0,0.1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00,5- 2-1967,
AT,ATL,N,0,0,0,0,0,1.1,0,5,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.00,5- 7-1967,
AT,NY,N,0,0,0,1,1,2.2,1,10,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0.00,5-10-1967,
VS,PIT,N,0,0,0,0,0,1,1,7,0,2,2,3,0,1,0,0,0,0,0,1,0,0,0,0,0,2.84,5-15-1967,
AT,PHI,N,0,0,0,0,0,1.2,2,10,0,4,4,3,1,2,0,0,0,0,0,1,0,0,0,0,0,6.75,5-18-1967,
AT,PHI,N,0,0,0,1,0,1.2,1,7,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,1,6.52,5-21-1967,
AT,PIT,N,0,0,0,1,0,0.2,1,6,0,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,1,6.97,5-26-1967,
VS,HOU,N,0,0,0,1,0,1,1,5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,6.35,6-11-1967,1
AT,NY,N,0,0,0,0,0,3,2,12,1,2,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,6.28,6-13-1967,2
VS,KC,A,1,0,0,0,0,5,7,23,0,1,1,1,0,3,0,0,1,0,0,0,0,0,0,1,0,1.80,6-24-1970,
AT,NY,A,0,0,0,1,0,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69,7-17-1970,
AT,BOS,A,0,0,0,0,0,0.1,2,5,0,3,3,2,0,0,0,0,0,0,0,2,0,0,0,0,0,6.35,7-19-1970,
