at_vs,Opponent,League,GS,CG,SHO,GF,SV,IP,H,BFP,HR,R,ER,BB,IB,SO,SH,SF,WP,HBP,BK,2B,3B,GDP,ROE,W,L,ERA,Date,dblhead_num
AT,WAS,N,1,0,0,0,0,5,1,21,0,0,0,3,0,6,0,0,1,2,0,0,0,0,0,1,0,0.00,4- 6-2007,
VS,CIN,N,1,0,0,0,0,6.1,7,26,0,2,2,1,0,5,0,0,0,0,0,3,0,1,0,0,1,1.59,4-11-2007,
VS,LA,N,1,0,0,0,0,4,4,18,0,3,3,2,0,3,0,1,0,0,0,1,0,0,0,0,0,2.93,4-17-2007,
VS,NY,N,1,0,0,0,0,6,5,25,1,3,3,4,0,5,0,0,1,0,0,1,0,1,0,0,0,3.38,5- 3-2007,
VS,PHI,N,1,0,0,0,0,7,5,27,2,2,2,2,1,2,0,0,1,0,0,1,0,1,0,1,0,3.18,5- 8-2007,
AT,HOU,N,0,0,0,0,0,1.2,2,7,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,3.30,5-13-2007,
AT,PIT,N,1,0,0,0,0,2.2,6,18,0,7,7,4,0,2,0,0,0,0,0,1,0,0,0,0,0,4.96,5-19-2007,
VS,HOU,N,1,1,0,0,0,9,9,35,0,1,1,1,0,8,0,0,1,1,0,3,0,0,0,1,0,4.10,5-24-2007,
AT,PHI,N,1,0,0,0,0,5,7,23,0,1,1,2,0,3,1,0,0,0,0,2,0,1,0,1,0,3.86,5-29-2007,
VS,BOS,A,1,0,0,0,0,6,7,26,1,2,2,2,0,4,0,0,0,0,0,1,0,1,0,0,0,3.76,6- 9-2007,
AT,BAL,A,1,0,0,0,0,6,6,24,0,3,3,1,0,0,0,1,0,0,0,1,0,1,0,0,0,3.84,6-15-2007,
VS,TB,A,1,0,0,0,0,5.2,8,28,1,4,4,2,0,7,0,0,0,1,0,2,2,1,1,1,0,4.06,6-20-2007,
VS,LA,N,1,0,0,0,0,6,6,25,0,4,1,1,0,2,0,0,0,1,0,1,1,1,1,0,1,3.84,6-25-2007,
VS,LA,N,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.79,6-28-2007,
AT,SF,N,1,0,0,0,0,4,8,23,1,7,7,3,1,2,0,0,0,0,0,1,1,0,0,0,1,4.42,7- 1-2007,
AT,CIN,N,1,0,0,0,0,4.2,6,24,3,6,6,3,0,4,1,0,0,1,0,1,0,0,0,0,1,4.84,7- 6-2007,
AT,MIL,N,1,0,0,0,0,6,7,26,2,4,4,1,0,3,0,0,0,0,0,2,0,0,0,0,1,4.92,7-16-2007,
AT,CHI,N,1,0,0,0,0,4,4,19,0,2,2,3,0,3,0,0,0,0,0,1,1,0,0,0,0,4.90,7-21-2007,
VS,FLA,N,1,0,0,0,0,3,6,19,0,4,4,2,0,2,1,0,1,2,0,1,0,0,0,0,0,5.13,7-26-2007,
AT,SD,N,1,0,0,0,0,6,4,24,0,1,1,2,0,4,1,0,0,0,0,0,1,0,0,0,0,4.91,8- 1-2007,
VS,PIT,N,1,0,0,0,0,6.1,6,27,0,4,4,3,0,5,1,0,0,0,0,2,0,0,0,0,1,4.96,8- 7-2007,
VS,WAS,N,1,0,0,0,0,6.1,4,26,0,1,1,2,0,8,1,0,0,1,0,0,0,0,0,0,0,4.76,8-12-2007,
AT,ATL,N,1,0,0,0,0,7,3,25,3,3,3,0,0,7,1,0,0,1,0,0,0,0,0,1,0,4.70,8-18-2007,
VS,CHI,N,1,0,0,0,0,6,7,25,0,3,3,1,0,2,0,1,0,0,0,2,0,1,0,0,1,4.69,8-24-2007,
AT,SD,N,1,0,0,0,0,7,3,27,1,1,1,1,0,6,0,0,0,2,0,1,0,0,0,0,0,4.51,8-29-2007,
VS,SD,N,1,0,0,0,0,3,4,14,4,5,5,1,0,4,0,0,0,0,0,0,0,0,0,0,1,4.75,9- 3-2007,
VS,STL,N,1,0,0,0,0,2.2,4,16,1,7,2,2,0,1,0,0,0,1,0,2,1,0,1,0,0,4.78,9- 8-2007,
VS,SF,N,1,1,1,0,0,9,2,28,0,0,0,1,0,4,0,0,0,0,0,1,0,2,0,1,0,4.49,9-18-2007,
AT,PIT,N,1,0,0,0,0,6.1,4,21,0,0,0,0,0,4,0,0,0,0,0,1,0,1,0,1,0,4.30,9-27-2007,
AT,COL,N,1,0,0,0,0,6.2,2,24,1,1,1,2,0,9,0,0,0,0,0,1,0,0,0,1,0,1.35,4- 4-2008,
VS,LA,N,1,0,0,0,0,7,7,30,1,3,3,1,0,4,0,1,0,1,0,3,0,0,0,1,0,2.63,4- 9-2008,
AT,SF,N,1,0,0,0,0,6,3,22,0,1,1,2,0,6,0,0,0,0,0,1,0,0,0,1,0,2.29,4-15-2008,
VS,SF,N,1,0,0,0,0,6.1,5,27,1,2,2,1,0,4,0,0,0,2,0,2,0,0,0,1,0,2.42,4-21-2008,
