at_vs,Opponent,League,GS,CG,SHO,GF,SV,IP,H,BFP,HR,R,ER,BB,IB,SO,SH,SF,WP,HBP,BK,2B,3B,GDP,ROE,W,L,ERA,Date,dblhead_num
VS,SF,N,1,0,0,0,0,3.2,4,16,1,2,2,1,0,4,0,0,2,2,0,0,0,1,0,0,0,4.91,6-21-1995,
AT,CHI,N,1,0,0,0,0,5.2,6,25,2,3,3,2,0,6,0,0,0,0,0,0,0,0,0,1,0,4.82,6-26-1995,
AT,HOU,N,1,0,0,0,0,4.2,6,22,0,5,5,2,0,6,0,0,0,0,0,1,0,0,0,0,1,6.43,7- 1-1995,
VS,PHI,N,1,0,0,0,0,3.2,4,19,1,6,6,3,0,1,0,1,2,1,0,1,0,0,0,0,1,8.15,7- 6-1995,
VS,ATL,N,1,0,0,0,0,7,5,29,0,1,1,3,0,9,0,0,0,0,0,0,0,0,0,1,0,6.20,7-12-1995,
VS,STL,N,1,0,0,0,0,6,5,21,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,4.99,7-16-1995,
VS,MON,N,1,0,0,0,0,7,6,26,0,1,1,2,0,5,0,0,0,0,0,0,1,2,0,1,0,4.30,7-22-1995,
AT,PHI,N,1,0,0,0,0,7,8,31,0,3,3,2,0,4,2,0,0,0,0,2,0,0,1,0,0,4.23,7-26-1995,2
AT,NY,N,1,0,0,0,0,6,6,26,1,3,3,3,0,2,0,0,0,0,0,2,0,1,0,0,1,4.26,7-31-1995,
VS,HOU,N,1,0,0,0,0,6,7,25,1,3,3,2,0,4,0,0,0,1,0,2,0,1,0,0,1,4.29,8- 4-1995,2
AT,SF,N,1,0,0,0,0,3,4,16,2,5,5,4,0,3,0,0,0,1,0,1,0,0,0,0,0,4.83,8-10-1995,
AT,SD,N,1,1,1,0,0,9,7,34,0,0,0,2,1,5,0,0,0,0,0,0,0,0,0,1,0,4.19,8-15-1995,
VS,FLA,N,1,0,0,0,0,6,7,28,1,2,2,3,0,3,1,1,0,0,0,1,0,0,1,1,0,4.10,8-20-1995,
VS,CIN,N,1,0,0,0,0,6.2,9,32,2,9,9,3,0,2,0,0,0,0,0,2,1,0,1,0,1,4.76,8-25-1995,
AT,FLA,N,1,0,0,0,0,0.2,5,10,1,6,6,1,0,0,0,0,0,2,0,1,1,0,0,0,1,5.38,9- 4-1995,
AT,CIN,N,0,0,0,1,0,0.1,0,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0.00,7-12-1996,
AT,CIN,N,0,0,0,0,0,1,2,5,2,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,13.50,7-14-1996,
AT,CHI,N,0,0,0,1,0,1,3,9,1,4,4,2,0,1,0,0,0,1,0,1,0,0,0,0,0,23.14,7-15-1996,
VS,CIN,N,0,0,0,1,0,2,4,9,0,2,2,0,0,2,0,0,0,0,0,1,1,0,0,0,0,16.62,7-19-1996,
VS,PHI,N,1,0,0,0,0,4.2,6,22,0,2,2,2,0,5,0,0,0,0,0,0,0,0,0,0,1,10.00,7-27-1996,
AT,NY,N,1,0,0,0,0,4.1,6,21,0,5,5,2,0,6,0,0,0,0,0,1,0,0,0,0,0,10.12,8- 1-1996,
VS,LA,N,1,0,0,0,0,6.2,7,28,1,3,3,3,0,5,1,0,1,0,0,1,0,1,0,0,1,8.10,8- 6-1996,
VS,SD,N,1,0,0,0,0,6.1,7,27,0,4,3,1,0,5,0,1,0,0,0,2,0,1,1,0,1,7.18,8-11-1996,
AT,HOU,N,0,0,0,0,0,2,0,7,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.00,6-19-1998,
VS,KC,A,0,0,0,0,0,2,2,9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00,6-23-1998,
AT,DET,A,1,0,0,0,0,6,9,29,1,1,1,2,0,5,0,0,0,0,0,2,0,0,1,1,0,0.90,6-28-1998,
VS,STL,N,1,0,0,0,0,5,5,24,1,4,4,3,0,5,0,0,0,1,0,2,0,0,1,0,0,3.00,7- 4-1998,
