at_vs,Opponent,League,GS,CG,SHO,GF,SV,IP,H,BFP,HR,R,ER,BB,IB,SO,SH,SF,WP,HBP,BK,2B,3B,GDP,ROE,W,L,ERA,Date,dblhead_num
AT,BOS,A,1,0,0,0,0,1.2,6,13,1,6,6,2,0,0,0,0,1,0,0,2,0,0,0,0,1,32.40,8-13-1981,
AT,BAL,A,0,0,0,0,0,3,2,10,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,11.57,8-15-1981,
AT,NY,A,0,0,0,0,0,0,1,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13.50,8-17-1981,
VS,NY,A,0,0,0,1,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.12,8-28-1981,
VS,NY,A,0,0,0,1,0,0.2,2,5,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11.37,8-29-1981,
VS,MIN,A,0,0,0,0,0,1,2,6,0,3,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,13.50,10- 4-1981,
VS,MON,N,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.00,9-13-1983,
AT,PIT,N,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00,9-15-1983,
AT,PHI,N,0,0,0,0,0,3.1,5,16,0,4,4,1,0,0,0,1,0,0,0,1,0,0,0,0,1,6.75,9-20-1983,
VS,NY,N,1,0,0,0,0,8.1,7,32,3,5,5,1,0,7,0,0,1,0,0,0,0,1,0,1,0,5.93,9-25-1983,
AT,STL,N,1,0,0,0,0,5,4,24,0,3,1,4,0,2,0,0,0,2,0,2,0,2,1,0,1,4.82,9-30-1983,
VS,PIT,N,0,0,0,1,0,1,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00,9-19-1984,
AT,PIT,N,1,0,0,0,0,4,7,19,1,4,4,0,0,3,0,0,0,0,0,3,0,0,1,0,1,7.20,9-25-1984,
VS,STL,N,0,0,0,0,0,1,2,7,0,3,3,2,0,1,0,0,1,0,0,0,0,0,0,0,0,10.50,9-29-1984,
VS,HOU,N,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,9- 4-1985,
VS,CIN,N,0,0,0,0,0,2,1,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.00,9- 6-1985,
VS,CIN,N,1,0,0,0,0,5,8,24,1,4,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,4.50,9- 8-1985,
VS,STL,N,0,0,0,0,0,1.1,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.86,9-13-1985,
AT,PHI,N,1,0,0,0,0,8,5,29,0,1,1,1,0,3,0,0,0,0,0,1,1,0,0,1,0,2.60,9-20-1985,
VS,NY,N,1,0,0,0,0,6,4,24,1,4,4,4,1,5,2,0,0,0,0,0,0,1,1,0,0,3.47,9-25-1985,
VS,PIT,N,1,0,0,0,0,6.2,8,30,0,2,2,3,0,2,0,0,1,0,0,0,0,1,0,1,0,3.30,10- 1-1985,
AT,STL,N,1,1,0,0,0,9,9,35,0,2,2,1,0,3,0,1,0,0,0,3,0,0,0,1,0,3.00,10- 6-1985,
