at_vs,Opponent,League,GS,CG,SHO,GF,SV,IP,H,BFP,HR,R,ER,BB,IB,SO,SH,SF,WP,HBP,BK,2B,3B,GDP,ROE,W,L,ERA,Date,dblhead_num
VS,MON,N,1,0,0,0,0,4,8,21,1,4,3,2,0,0,1,0,0,1,0,1,0,0,0,0,1,6.75,9- 1-1992,
VS,NY,N,1,0,0,0,0,6,7,28,0,1,1,3,2,4,0,0,0,0,0,3,1,0,0,1,0,3.60,9- 6-1992,
AT,SD,N,1,0,0,0,0,8,5,29,0,1,1,1,0,4,0,0,0,0,0,0,1,1,0,1,0,2.50,9-11-1992,
VS,SD,N,1,0,0,0,0,6.1,6,28,0,2,2,3,1,3,0,0,0,0,0,3,0,0,0,1,0,2.59,9-18-1992,
AT,LA,N,1,0,0,0,0,8,4,28,0,0,0,2,0,3,0,0,0,0,0,1,0,1,0,1,0,1.95,9-23-1992,
VS,LA,N,1,0,0,0,0,6,9,25,0,5,4,1,0,0,0,1,0,0,0,2,0,3,0,0,1,2.58,9-29-1992,
VS,SF,N,1,0,0,0,0,7,8,28,1,2,2,1,0,4,1,0,0,0,0,1,0,1,0,0,0,2.58,10- 4-1992,
VS,MON,N,0,0,0,1,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.00,4- 8-1993,
AT,STL,N,1,0,0,0,0,7,4,26,0,1,1,1,0,2,0,0,0,0,0,1,1,0,0,1,0,1.12,4-11-1993,
VS,NY,N,1,0,0,0,0,6,4,21,1,2,2,0,0,4,0,0,0,0,0,1,1,0,0,0,0,1.93,4-18-1993,
AT,CHI,N,1,0,0,0,0,5,8,26,1,6,4,3,0,4,1,0,0,0,0,2,0,0,1,0,1,3.32,4-23-1993,
VS,PIT,N,1,0,0,0,0,7,9,27,0,2,1,1,0,3,0,0,0,1,0,1,0,4,0,1,0,2.77,4-28-1993,
AT,FLA,N,1,0,0,0,0,3.1,9,24,1,5,5,5,0,2,0,0,0,1,0,0,0,1,1,0,1,3.99,5- 4-1993,
AT,HOU,N,1,0,0,0,0,5,9,28,0,6,5,3,0,4,0,0,0,1,0,0,0,1,1,0,1,4.72,5- 9-1993,
VS,COL,N,1,0,0,0,0,7,7,31,1,3,3,4,0,1,0,0,0,0,0,1,0,1,0,1,0,4.57,5-14-1993,
AT,LA,N,1,0,0,0,0,5.2,10,29,0,5,4,2,0,2,1,1,0,2,1,2,0,1,0,0,1,4.79,5-19-1993,
AT,NY,N,1,1,0,0,0,8,6,30,2,4,4,0,0,3,0,0,0,0,0,0,0,0,0,0,1,4.75,5-29-1993,
VS,STL,N,1,0,0,0,0,6,9,28,0,3,3,1,0,3,0,0,2,0,0,2,0,0,0,0,1,4.72,6- 3-1993,
AT,MON,N,1,0,0,0,0,4.1,6,20,0,3,3,2,0,2,0,0,0,0,0,0,0,0,0,0,1,4.82,6- 8-1993,
AT,ATL,N,0,0,0,1,0,0.1,2,4,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,4.93,6-11-1993,
AT,ATL,N,0,0,0,1,0,3.2,4,15,1,2,2,0,0,4,0,0,0,0,0,1,0,0,0,0,0,4.93,6-13-1993,
