at_vs,Opponent,League,GS,CG,SHO,GF,SV,IP,H,BFP,HR,R,ER,BB,IB,SO,SH,SF,WP,HBP,BK,2B,3B,GDP,ROE,W,L,ERA,Date,dblhead_num
VS,NY,N,0,0,0,1,0,2,0,7,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00,6- 6-1968,
VS,ATL,N,0,0,0,0,0,0.2,2,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.38,6- 7-1968,
VS,CIN,N,1,0,0,0,0,3.1,7,17,0,3,2,1,0,2,0,0,0,0,0,2,0,1,0,0,0,4.50,6-13-1968,
VS,HOU,N,0,0,0,0,0,0.1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,4-10-1969,
VS,SF,N,0,0,0,1,0,1,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.00,4-12-1969,
AT,LA,N,0,0,0,0,0,1.1,3,10,0,5,5,2,0,1,1,0,0,0,0,0,1,0,1,0,0,16.88,4-15-1969,
AT,SF,N,0,0,0,0,0,2,2,9,0,0,0,2,1,0,0,0,0,0,0,1,0,1,0,0,0,9.64,4-17-1969,
AT,SF,N,0,0,0,1,1,0.2,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,8.44,4-18-1969,
AT,SF,N,0,0,0,1,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.11,4-20-1969,
VS,ATL,N,0,0,0,1,0,1,3,6,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7.36,4-21-1969,
AT,HOU,N,0,0,0,1,0,0.1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7.04,4-23-1969,
VS,CIN,N,0,0,0,0,0,2,1,6,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5.59,4-25-1969,
VS,CIN,N,0,0,0,1,1,1,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.06,4-27-1969,1
VS,CIN,N,0,0,0,0,0,1,2,7,0,3,2,1,0,1,0,0,0,0,0,1,0,0,1,0,0,6.17,4-27-1969,2
VS,LA,N,0,0,0,1,0,2,1,6,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5.27,4-29-1969,
AT,CIN,N,0,0,0,1,1,2,3,9,0,1,1,0,0,3,0,0,0,0,0,2,0,0,0,0,0,5.17,5- 2-1969,
AT,CIN,N,0,0,0,0,0,3,3,13,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,4.82,5- 4-1969,1
AT,PIT,N,0,0,0,1,1,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.58,5- 6-1969,
AT,STL,N,0,0,0,0,0,1,1,6,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,4.35,5- 9-1969,
AT,STL,N,0,0,0,1,1,1.1,0,5,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,4.09,5-10-1969,
AT,CHI,N,0,0,0,0,0,1,2,9,1,5,5,3,0,1,0,0,1,1,0,0,0,0,0,0,0,5.87,5-13-1969,
AT,CHI,N,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.87,5-14-1969,
VS,STL,N,0,0,0,0,0,0.2,3,6,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,6.08,5-17-1969,
VS,PIT,N,0,0,0,1,0,2,2,8,0,1,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,5.96,5-20-1969,
VS,PIT,N,0,0,0,0,0,0.2,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.81,5-22-1969,
VS,CHI,N,0,0,0,1,0,1,1,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5.60,5-23-1969,
AT,NY,N,0,0,0,1,0,0,2,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5.60,5-28-1969,
VS,NY,N,0,0,0,0,0,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.53,6- 7-1969,
VS,MON,N,0,0,0,0,0,1.2,1,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.22,6-11-1969,
VS,MON,N,0,0,0,1,0,0.2,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.10,6-12-1969,
VS,PHI,N,0,0,0,0,0,2,4,9,1,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5.06,6-13-1969,
AT,LA,N,0,0,0,0,0,1.1,1,4,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5.13,6-16-1969,
AT,LA,N,0,0,0,1,0,1.2,1,6,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,5.14,6-17-1969,1
AT,LA,N,0,0,0,0,0,1.2,1,7,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,4.91,6-18-1969,
AT,HOU,N,0,0,0,0,0,2,2,9,0,1,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,4.89,6-21-1969,
AT,CIN,N,0,0,0,1,0,3,2,11,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,4.54,6-23-1969,
VS,HOU,N,0,0,0,0,0,0.1,0,3,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,4.50,7- 4-1969,
VS,HOU,N,0,0,0,1,0,0.2,1,4,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,4.43,7- 5-1969,
