at_vs,Opponent,League,GS,CG,SHO,GF,SV,IP,H,BFP,HR,R,ER,BB,IB,SO,SH,SF,WP,HBP,BK,2B,3B,GDP,ROE,W,L,ERA,Date,dblhead_num
VS,CIN,N,1,0,0,0,0,5.2,6,23,2,5,5,2,0,7,0,1,0,0,0,1,1,1,0,0,0,7.94,6-24-2001,
AT,MIL,N,0,0,0,1,0,1,1,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6.75,6-29-2001,
AT,MIL,N,1,0,0,0,0,6.1,5,25,1,3,3,3,0,8,0,0,0,0,0,1,0,2,0,1,0,5.54,7- 2-2001,
AT,KC,A,1,0,0,0,0,4.1,8,24,1,6,6,2,0,1,0,0,1,0,0,2,0,0,1,0,0,7.27,7- 7-2001,
VS,CLE,A,1,0,0,0,0,5,5,23,0,3,3,3,0,4,1,0,0,0,0,0,1,0,0,1,0,6.85,7-15-2001,
VS,CHI,N,1,0,0,0,0,5,6,23,1,2,2,3,0,4,0,0,0,0,0,2,0,0,0,1,0,6.26,7-20-2001,
AT,STL,N,1,0,0,0,0,5.1,10,29,1,7,4,1,0,4,0,2,0,1,0,1,0,0,1,0,1,6.34,7-25-2001,
VS,NY,N,1,0,0,0,0,4.2,4,20,0,2,1,3,0,4,0,0,1,0,0,1,0,0,0,0,0,5.79,8- 1-2001,
VS,MIL,N,0,0,0,0,0,3.1,3,15,1,1,1,1,0,7,0,0,0,1,0,0,0,0,0,0,0,5.53,9- 8-2001,
AT,SF,N,0,0,0,0,0,3,1,12,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,5.15,9-18-2001,
VS,CHI,N,1,0,0,0,0,5,6,22,4,6,6,1,0,4,1,0,0,0,0,1,0,0,0,0,0,5.73,9-23-2001,
AT,CHI,N,0,0,0,0,0,3,3,12,0,1,1,1,0,3,0,0,0,1,0,0,0,2,0,0,0,5.57,9-28-2001,
VS,SF,N,1,0,0,0,0,4,4,17,0,2,2,2,0,5,0,0,0,0,0,2,0,0,0,0,0,5.50,10- 3-2001,
VS,SF,N,1,0,0,0,0,2,6,15,0,5,5,3,0,2,0,0,0,0,1,3,0,0,0,0,1,22.50,4-20-2002,
AT,ATL,N,1,0,0,0,0,3,7,18,1,4,4,3,0,4,1,0,1,0,0,0,1,0,0,0,1,16.20,4-26-2002,
VS,MON,N,1,0,0,0,0,6,2,22,0,1,1,2,1,6,1,0,0,0,0,1,0,0,0,1,0,8.18,5- 2-2002,
AT,PHI,N,1,0,0,0,0,6,3,25,1,3,3,4,0,6,0,0,1,0,0,1,0,0,0,0,0,6.88,5- 8-2002,
VS,PHI,N,1,0,0,0,0,7,5,26,0,1,1,2,1,2,0,1,0,0,0,1,0,1,0,1,0,5.25,5-13-2002,
VS,PIT,N,1,0,0,0,0,7,4,26,0,1,1,1,0,8,0,0,0,0,0,2,0,0,0,0,0,4.35,5-18-2002,
VS,CHI,N,1,0,0,0,0,7,5,27,0,2,2,2,0,4,1,1,0,0,0,2,0,1,0,0,0,4.03,5-24-2002,
VS,STL,N,0,0,0,0,0,2,1,9,1,1,1,2,0,1,0,0,0,0,0,0,0,0,0,1,0,4.05,5-29-2002,
AT,ARI,N,1,0,0,0,0,4,6,18,1,4,2,0,0,1,0,1,1,0,0,2,0,0,1,0,1,4.09,6- 3-2002,
AT,OAK,A,1,0,0,0,0,3.2,4,20,0,6,6,5,0,6,0,0,0,0,0,0,0,0,0,0,0,4.91,6- 9-2002,
VS,TEX,A,1,0,0,0,0,2.2,7,15,2,4,4,0,0,3,1,0,0,0,0,2,0,0,0,0,0,5.36,6-14-2002,
AT,MIL,N,1,0,0,0,0,6,5,25,3,3,3,2,1,6,0,0,0,0,0,1,0,0,0,0,1,5.27,6-19-2002,
