at_vs,Opponent,League,GS,CG,SHO,GF,SV,IP,H,BFP,HR,R,ER,BB,IB,SO,SH,SF,WP,HBP,BK,2B,3B,GDP,ROE,W,L,ERA,Date,dblhead_num
VS,NY,N,0,0,0,1,0,2,2,8,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4.50,7-25-1975,
VS,NY,N,0,0,0,0,0,0.2,4,7,0,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,13.50,7-27-1975,2
VS,MON,N,0,0,0,0,0,0.2,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,10.80,7-30-1975,
VS,STL,N,0,0,0,1,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6.75,7-31-1975,
VS,STL,N,0,0,0,1,0,0.2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6.00,8- 1-1975,
VS,STL,N,0,0,0,1,0,2,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.50,8- 3-1975,2
AT,PHI,N,0,0,0,1,1,3,1,12,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3.27,8- 4-1975,
AT,ATL,N,0,0,0,0,0,1.2,2,8,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2.84,8- 8-1975,1
AT,ATL,N,0,0,0,1,0,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.45,8- 9-1975,
AT,CIN,N,0,0,0,1,0,2,4,11,0,1,1,1,0,2,1,0,0,0,0,1,0,0,0,0,0,2.70,8-12-1975,
VS,LA,N,0,0,0,1,0,2.2,1,11,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,2.33,8-21-1975,
VS,HOU,N,0,0,0,0,0,0.1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29,8-22-1975,
VS,HOU,N,0,0,0,1,0,1,2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.18,8-23-1975,
VS,CIN,N,0,0,0,1,0,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,8-26-1975,
VS,CIN,N,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05,8-27-1975,
VS,ATL,N,0,0,0,0,0,0.1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.01,8-31-1975,2
AT,STL,N,0,0,0,1,0,2,4,9,0,2,2,1,1,0,1,0,0,0,0,0,0,1,0,0,0,2.59,9- 1-1975,
AT,STL,N,0,0,0,1,1,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.55,9- 2-1975,
AT,STL,N,0,0,0,1,1,3,2,11,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2.28,9- 3-1975,
AT,PHI,N,0,0,0,1,1,0.2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.22,9- 5-1975,1
AT,PHI,N,0,0,0,0,0,1,3,4,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2.76,9- 5-1975,2
AT,PIT,N,0,0,0,1,1,0.2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.70,9- 9-1975,
VS,STL,N,0,0,0,0,0,1.2,5,10,0,1,0,1,0,0,0,0,1,0,0,1,0,2,1,0,0,2.56,9-11-1975,
VS,PIT,N,0,0,0,0,0,0,2,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.84,9-15-1975,1
VS,PIT,N,0,0,0,1,0,2,1,9,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,2.67,9-16-1975,
AT,MON,N,0,0,0,0,0,1,5,8,1,3,3,0,0,1,0,1,0,0,0,1,0,0,0,0,0,3.38,9-19-1975,
AT,MON,N,0,0,0,1,0,1.1,2,6,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,3.50,9-21-1975,
VS,NY,N,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.50,9-23-1975,
AT,STL,N,0,0,0,1,0,1.1,1,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.00,4- 9-1976,
VS,NY,N,0,0,0,0,0,3.1,3,14,0,0,0,1,0,2,0,0,0,0,0,0,0,1,1,0,0,0.00,4-13-1976,
VS,NY,N,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,4-15-1976,
VS,PHI,N,0,0,0,0,0,0,3,3,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.86,4-17-1976,
VS,PHI,N,0,0,0,0,0,2,3,9,1,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.40,4-18-1976,
VS,MON,N,0,0,0,0,0,0.1,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.14,4-19-1976,
VS,MON,N,0,0,0,0,0,1.2,6,12,1,4,4,3,0,0,0,0,0,0,0,0,2,0,0,0,0,8.31,4-21-1976,
AT,LA,N,0,0,0,1,0,1.1,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,7.20,4-23-1976,
AT,LA,N,0,0,0,0,0,0.2,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.75,4-24-1976,
AT,SD,N,0,0,0,1,0,2,2,9,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6.39,4-26-1976,
AT,SD,N,0,0,0,0,0,3.1,1,14,0,1,1,1,0,3,0,0,0,1,0,1,0,0,1,0,0,5.62,4-29-1976,
AT,SF,N,1,0,0,0,0,5,5,21,0,2,1,2,0,0,0,1,0,0,0,0,0,1,1,0,0,4.71,5- 2-1976,2
VS,LA,N,0,0,0,0,0,2,2,8,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,4.70,5- 4-1976,
VS,LA,N,0,0,0,1,0,2,2,8,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.04,5- 5-1976,
VS,CIN,N,0,0,0,0,0,2.2,1,12,0,0,0,3,1,0,1,0,0,0,0,0,0,1,1,0,0,4.55,5- 7-1976,
VS,CIN,N,0,0,0,0,0,2.2,6,13,3,4,4,0,0,1,0,0,0,0,0,1,0,1,0,0,0,5.34,5- 9-1976,
VS,SD,N,1,0,0,0,0,2.1,9,17,0,7,7,0,0,3,0,0,0,0,0,1,1,0,1,0,1,6.89,5-14-1976,
AT,MON,N,0,0,0,0,0,1.2,2,7,0,1,1,1,0,2,0,0,0,0,0,0,0,1,0,0,0,6.82,5-20-1976,
AT,PIT,N,0,0,0,1,0,4,3,16,0,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,1,6.34,5-22-1976,
AT,PIT,N,0,0,0,0,0,2,3,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.02,5-23-1976,2
AT,PHI,N,0,0,0,0,0,3.1,4,14,1,2,2,1,0,2,0,0,0,0,0,2,0,0,0,0,0,5.98,5-31-1976,2
