at_vs,Opponent,League,GS,CG,SHO,GF,SV,IP,H,BFP,HR,R,ER,BB,IB,SO,SH,SF,WP,HBP,BK,2B,3B,GDP,ROE,W,L,ERA,Date,dblhead_num
AT,CLE,A,1,0,0,0,0,8,6,32,1,4,3,1,0,2,0,0,1,1,0,3,0,1,1,0,0,3.38,4-10-1978,
VS,TEX,A,1,0,0,0,0,5,7,23,0,5,4,3,0,0,0,1,0,0,0,1,1,1,1,0,0,4.85,4-16-1978,
VS,CLE,A,1,0,0,0,0,0,4,5,0,5,5,1,0,0,0,0,0,0,0,1,0,0,0,0,1,8.31,4-22-1978,
VS,BAL,A,1,0,0,0,0,8.1,8,37,1,3,2,4,0,1,0,1,0,0,0,2,0,0,1,0,1,5.91,5- 2-1978,
AT,BAL,A,1,0,0,0,0,7.1,6,27,1,1,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,4.71,5-10-1978,
AT,KC,A,1,1,0,0,0,8,7,34,0,3,3,2,1,1,1,0,0,2,0,4,0,1,1,0,1,4.42,5-15-1978,
AT,TOR,A,1,0,0,0,0,7,7,27,2,3,3,0,0,3,0,0,1,0,0,1,0,0,0,1,0,4.33,5-22-1978,
VS,DET,A,1,0,0,0,0,6,11,28,2,3,3,2,0,2,0,0,0,0,0,2,0,1,0,0,0,4.35,5-28-1978,1
AT,OAK,A,1,0,0,0,0,1,4,7,0,4,4,1,0,1,1,0,0,0,0,2,0,0,0,0,1,4.97,6- 5-1978,
AT,SEA,A,0,0,0,1,0,1,0,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4.88,6-10-1978,
VS,SEA,A,1,0,0,0,0,8,8,33,1,4,4,2,0,2,0,0,0,0,0,1,0,1,0,0,0,4.83,6-17-1978,
AT,BAL,A,0,0,0,1,0,5.2,2,19,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,4.41,6-29-1978,
AT,CLE,A,1,0,0,0,0,3.1,7,21,1,6,5,3,1,3,1,0,0,0,0,2,0,0,2,0,1,4.85,7- 9-1978,
VS,TEX,A,0,0,0,1,0,3,7,16,1,4,4,0,0,1,0,0,0,0,0,2,0,0,0,0,0,5.15,7-13-1978,
AT,KC,A,0,0,0,0,0,1.1,8,13,0,4,4,1,0,0,0,0,0,0,0,1,1,0,0,0,0,5.55,7-21-1978,
VS,KC,A,0,0,0,0,0,5.1,4,18,0,0,0,0,0,2,0,0,0,1,0,1,0,2,0,0,0,0.00,7- 5-1979,
AT,SEA,A,0,0,0,1,1,3,3,14,0,1,1,1,0,2,0,0,0,1,0,1,1,0,0,0,0,1.08,7- 7-1979,
AT,OAK,A,0,0,0,0,0,2.1,1,10,1,2,2,2,0,1,0,0,0,0,0,0,0,0,0,1,0,2.53,7-14-1979,
VS,SEA,A,0,0,0,0,0,3.2,5,19,0,2,2,4,1,0,1,0,0,0,0,0,0,1,0,0,0,3.14,7-20-1979,
VS,CAL,A,0,0,0,1,0,6.2,7,28,0,2,1,2,0,4,0,0,0,0,0,0,0,0,1,0,0,2.57,7-23-1979,
