at_vs,Opponent,League,GS,CG,SHO,GF,SV,IP,H,BFP,HR,R,ER,BB,IB,SO,SH,SF,WP,HBP,BK,2B,3B,GDP,ROE,W,L,ERA,Date,dblhead_num
VS,DET,A,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-,4- 6-1989,
VS,TOR,A,0,0,0,0,0,2,2,8,0,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,4.50,4- 7-1989,
VS,TOR,A,0,0,0,1,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.00,4- 9-1989,
AT,MIL,A,0,0,0,0,0,0.1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.70,4-10-1989,
AT,DET,A,0,0,0,0,0,1.1,2,8,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1.93,4-16-1989,
VS,MIL,A,0,0,0,1,0,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.80,4-17-1989,
AT,TOR,A,0,0,0,0,0,1.2,0,6,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,1.35,4-21-1989,
AT,TOR,A,0,0,0,1,0,0.2,1,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.23,4-22-1989,
AT,CLE,A,0,0,0,0,0,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17,4-26-1989,
VS,BOS,A,0,0,0,0,0,1,1,5,0,0,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,1.04,4-28-1989,
VS,CLE,A,0,0,0,0,0,2,3,14,0,3,3,5,3,3,0,1,2,0,0,1,0,0,0,0,0,3.38,5- 1-1989,
VS,CLE,A,0,0,0,0,0,1.1,0,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3.00,5- 2-1989,
VS,NY,A,0,0,0,0,0,2,1,8,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,2.57,5- 4-1989,
AT,BOS,A,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.57,5- 5-1989,
AT,NY,A,0,0,0,0,0,1,1,5,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,2.40,5- 8-1989,
AT,NY,A,0,0,0,1,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.25,5- 9-1989,
AT,KC,A,0,0,0,0,0,0.1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.20,5-13-1989,
AT,KC,A,0,0,0,0,0,1.1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.04,5-14-1989,
VS,BAL,A,0,0,0,0,0,1.1,0,6,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1.89,5-17-1989,
VS,MIN,A,0,0,0,0,0,0.2,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1.83,5-18-1989,
VS,MIN,A,0,0,0,0,0,0.2,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1.77,5-19-1989,
VS,MIN,A,0,0,0,1,0,0.1,1,5,0,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1.74,5-21-1989,
VS,KC,A,0,0,0,0,0,1.2,2,7,0,1,1,1,0,2,0,0,0,0,0,0,0,1,0,0,0,2.01,5-23-1989,
AT,MIN,A,0,0,0,0,0,1.1,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.90,5-26-1989,
AT,BAL,A,0,0,0,1,0,1.1,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.80,5-29-1989,
AT,SEA,A,0,0,0,1,0,1,0,3,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1.73,6- 4-1989,
VS,CHI,A,0,0,0,0,0,0.2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69,6- 5-1989,
VS,CHI,A,0,0,0,1,0,1.2,3,9,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1.59,6- 7-1989,
VS,OAK,A,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.53,6- 9-1989,
VS,OAK,A,0,0,0,1,0,0.1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52,6-11-1989,
VS,CAL,A,0,0,0,0,0,1,4,8,0,3,2,1,0,1,0,0,0,0,0,2,0,0,0,0,0,2.05,6-14-1989,2
AT,NY,A,0,0,0,0,0,0,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05,6-16-1989,1
AT,BOS,A,0,0,0,0,0,0.1,1,3,0,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2.61,6-20-1989,
AT,BOS,A,0,0,0,0,0,1,1,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2.53,6-21-1989,
VS,CLE,A,0,0,0,1,0,1.1,1,5,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.70,6-24-1989,
AT,CHI,A,0,0,0,1,0,2,0,8,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2.55,6-28-1989,
AT,CAL,A,0,0,0,0,0,1,1,5,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2.72,7- 3-1989,
AT,OAK,A,0,0,0,0,0,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.70,7- 7-1989,
AT,OAK,A,0,0,0,0,0,0.1,1,3,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,2.68,7- 9-1989,
AT,CLE,A,0,0,0,0,0,1,1,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2.61,7-13-1989,
AT,CLE,A,0,0,0,1,0,2,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2.47,7-15-1989,
VS,BOS,A,0,0,0,1,0,1,1,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2.41,7-19-1989,
VS,NY,A,0,0,0,1,1,1.2,1,5,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,2.32,7-20-1989,
VS,NY,A,0,0,0,0,0,0.2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.28,7-22-1989,
VS,TOR,A,0,0,0,0,0,2,0,7,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,2.18,7-25-1989,
VS,MIL,A,0,0,0,0,0,1,4,8,0,4,4,0,0,1,0,0,0,1,0,2,0,0,0,0,0,2.91,7-28-1989,
