at_vs,Opponent,League,GS,CG,SHO,GF,SV,IP,H,BFP,HR,R,ER,BB,IB,SO,SH,SF,WP,HBP,BK,2B,3B,GDP,ROE,W,L,ERA,Date,dblhead_num
AT,BAL,A,0,0,0,1,0,1,1,5,1,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,18.00,6- 9-2012,
AT,MIN,A,0,0,0,0,0,0.2,2,4,0,2,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,21.60,6-12-2012,
VS,TB,A,0,0,0,0,0,0.2,0,6,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,23.14,6-24-2012,2
VS,ARI,N,0,0,0,0,0,2,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,12.46,8- 3-2012,
VS,ATL,N,0,0,0,0,0,1.1,1,5,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,9.53,8- 6-2012,
VS,STL,N,0,0,0,0,0,0.2,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,8.53,8-11-2012,
AT,MIA,N,0,0,0,0,0,0,2,3,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12.79,8-15-2012,
AT,MIL,N,0,0,0,0,0,1.1,1,6,1,2,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,12.91,8-17-2012,
VS,CIN,N,0,0,0,0,0,0.1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.38,8-20-2012,
VS,CIN,N,0,0,0,0,0,0.1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,11.88,8-21-2012,
VS,CIN,N,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10.61,8-23-2012,
VS,WAS,N,0,0,0,0,0,0.1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10.24,8-24-2012,
VS,NY,N,0,0,0,1,0,1,4,8,1,4,4,0,0,0,1,0,0,1,0,1,0,0,0,0,1,12.66,8-28-2012,
AT,ATL,N,0,0,0,0,0,0.1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.09,9- 1-2012,
AT,CIN,N,0,0,0,0,0,0.2,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,12.34,9- 4-2012,
VS,COL,N,0,0,0,0,0,1,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,11.37,9- 9-2012,2
VS,MIA,N,0,0,0,0,0,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.08,9-11-2012,
AT,HOU,N,0,0,0,0,0,2,1,7,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,9.60,9-13-2012,
AT,NY,N,0,0,0,1,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,9.00,9-20-2012,
VS,ATL,N,0,0,0,0,0,2,1,8,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,8.00,9-22-2012,
VS,WAS,N,0,0,0,0,0,3,0,9,0,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,6.86,9-26-2012,
AT,WAS,N,1,0,0,0,0,4,3,16,0,1,1,2,0,3,0,0,0,0,0,1,0,0,0,0,0,6.12,10- 2-2012,
VS,CIN,N,0,0,0,0,0,1.1,4,9,0,3,3,1,1,2,0,0,0,0,0,1,0,0,0,0,0,20.25,5-18-2013,
AT,MIA,N,0,0,0,1,0,1,2,5,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15.43,5-21-2013,
AT,WAS,N,0,0,0,0,0,0.2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,12.00,5-24-2013,
VS,LA,N,0,0,0,0,0,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9.00,8-17-2013,
VS,LA,N,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,7.20,8-18-2013,
VS,COL,N,0,0,0,0,0,1,1,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6.00,8-22-2013,
VS,ARI,N,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.14,8-23-2013,
VS,ARI,N,0,0,0,0,0,1,1,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4.50,8-24-2013,
AT,NY,N,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.00,8-28-2013,
AT,CHI,N,0,0,0,0,0,1,1,4,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,3.60,8-30-2013,
AT,CHI,N,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.27,8-31-2013,
VS,WAS,N,0,0,0,0,0,0.1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3.18,9- 2-2013,
VS,WAS,N,0,0,0,1,0,0.1,1,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,3.09,9- 3-2013,
VS,ATL,N,0,0,0,1,1,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.84,9- 8-2013,
VS,SD,N,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,9-12-2013,
AT,WAS,N,0,0,0,0,0,1,0,4,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2.45,9-14-2013,
VS,MIA,N,0,0,0,0,0,0.2,3,5,0,2,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,3.52,9-17-2013,
VS,MIA,N,0,0,0,0,0,1,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3.31,9-18-2013,
VS,NY,N,0,0,0,0,0,1,2,6,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,3.63,9-22-2013,
AT,MIA,N,0,0,0,0,0,0.1,3,6,0,3,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,5.09,9-23-2013,
AT,ATL,N,0,0,0,1,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.82,9-26-2013,
AT,ATL,N,0,0,0,0,0,1,2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4.58,9-28-2013,
AT,TEX,A,0,0,0,0,0,0.2,2,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.00,3-31-2014,
AT,TEX,A,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,4- 1-2014,
VS,MIL,N,0,0,0,0,0,1.2,2,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00,4- 8-2014,
VS,MIA,N,0,0,0,1,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.00,4-12-2014,
VS,MIA,N,0,0,0,0,0,1,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.00,4-13-2014,
VS,ATL,N,0,0,0,0,0,0,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.23,4-14-2014,
AT,COL,N,0,0,0,1,0,1.1,4,8,0,2,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,7.94,4-18-2014,
AT,COL,N,0,0,0,0,0,0.2,1,4,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,7.11,4-20-2014,
VS,MIA,N,0,0,0,0,0,0.2,3,5,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.00,6-24-2014,
VS,ATL,N,0,0,0,1,0,1,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7.88,6-27-2014,
VS,ATL,N,0,0,0,1,0,2,2,9,1,1,1,2,0,2,0,0,0,0,0,0,0,1,0,0,0,7.20,6-28-2014,2
AT,MIA,N,0,0,0,0,0,1,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.55,7- 2-2014,
AT,PIT,N,0,0,0,1,0,1,1,5,0,1,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,6.75,7- 4-2014,
